id	record_type	path_or_surface	owner	classification	current_state	proof	regression_gate	scorecard_rows
IOSAC-SOURCE-10	ui	packages/ios-app/Tests/Infrastructure/Guards/SourceGuardTests+ChatAffordanceStatus.swift	iOS tests	chat absence gate	retained	Guards against passive cockpit reintroduction in ChatView, chat sheet routing, and the primary message shell while confirming diagnostics placement remains.	xcodebuild/ios_self_adapting_agent_cockpit_baseline_invariants	IOSAC-5/IOSAC-7/IOSAC-8
IOSAC-SOURCE-11	theme	packages/ios-app/Sources/UI/Theme/TronColors.swift	iOS UI	visual baseline	retained	Defines neutral glass backgrounds, emerald primary accent, and semantic status colors.	TronColorsTests/ios_self_adapting_agent_cockpit_baseline_invariants	IOSAC-6
IOSAC-SERVER-01	engine primitive	packages/agent/src/engine/primitives/resource/mod.rs	agent engine	read visibility	retained	Existing resource::list and resource::inspect pure-read primitives are system-visible for engine-client cockpit inspection while writes stay hidden.	meta_primitives/ios_self_adapting_agent_cockpit_baseline_invariants	IOSAC-1/IOSAC-4/IOSAC-8
IOSAC-TEST-01	swift test	packages/ios-app/Tests/Engine/Protocol/WorkerLifecycleDTOTests.swift	iOS tests	protocol coverage	retained	Decodes current worker lifecycle catalog/resource DTO shapes.	xcodebuild	IOSAC-7
IOSAC-TEST-02	swift test	packages/ios-app/Tests/Engine/Transport/Clients/WorkerLifecycleClientTests.swift	iOS tests	client coverage	retained	Asserts worker lifecycle client function ids, resource primitives, and dynamic manifest payloads.	xcodebuild	IOSAC-1/IOSAC-7
IOSAC-TEST-03	swift test	packages/ios-app/Tests/Session/WorkerLifecycle/AgentCockpitStateTests.swift	iOS tests	state coverage	retained	Asserts projection statuses, rows, actions, disabled states, and confirmations.	xcodebuild	IOSAC-2/IOSAC-3/IOSAC-7
IOSAC-TEST-04	swift test	packages/ios-app/Tests/Session/WorkerLifecycle/AgentCockpitViewModelTests.swift	iOS tests	view-model coverage	retained	Asserts refresh, proposal install manifest inspection, disabled-action handling, and ui_surface decoding.	xcodebuild	IOSAC-3/IOSAC-4/IOSAC-7
IOSAC-TEST-05	swift test	packages/ios-app/Tests/UI/Theme/TronColorsTests.swift	iOS tests	theme coverage	retained	Asserts neutral glass light/dark token values.	xcodebuild	IOSAC-6/IOSAC-7
IOSAC-GATE-01	rust test	packages/agent/tests/ios_self_adapting_agent_cockpit_baseline_invariants.rs	agent tests	static gate	retained	Static cockpit proof target for artifacts, source contracts, dynamic surfaces, and CI target wiring.	scripts/tron ci test	IOSAC-8/IOSAC-10
IOSAC-GATE-02	rust test	packages/agent/tests/primitive_minimality_closure_invariants.rs	agent tests	predecessor static gate	retained	Bounds the PMC no-iOS-behavior proof to the completed PMC diff window so later approved iOS cockpit work does not invalidate historical teardown proof.	primitive_minimality_closure_invariants	IOSAC-8/IOSAC-10
