id	path	surface_kind	owner	thin_client_boundary	proof	ios_tests	scorecard_rows
IOSTC-INV-019	packages/ios-app/Sources/Engine/Protocol/GeneratedUI/EngineProtocolTypes+GeneratedUI.swift	ios_timeline_runtime	ios-runtime-protocol-owner	Generated UI DTOs carry runtime-authored surface data and action coordinates	GeneratedUIDTOTests,GeneratedUIRendererTests	GeneratedUIRendererTests	IOSTC-5
IOSTC-INV-020	packages/ios-app/Sources/Engine/Protocol/Agent/EngineProtocolTypes+Agent.swift	ios_chat_session	ios-agent-protocol-owner	Agent prompt DTO routes unified attachments through generic prompt transport	EngineProtocolTypesTests	SourceGuardTests	IOSTC-2,IOSTC-5
IOSTC-INV-021	packages/ios-app/Sources/Engine/Events/Live/AsyncEventStream.swift	ios_events	ios-events-owner	Async live events are a bounded client stream bridge, not canonical event truth	AsyncEventStreamTests	AsyncEventStreamTests	IOSTC-5,IOSTC-6
IOSTC-INV-022	packages/ios-app/Sources/Engine/Events/Live/EventTypeRegistry.swift	ios_events	ios-events-owner	Event classification stays generic over server event names	EventTypeRegistryTests	EventTypeRegistryTests	IOSTC-5
IOSTC-INV-023	packages/ios-app/Sources/Engine/Events/Plugins/EventRegistry.swift	ios_events	ios-events-owner	Plugin registration is the only live event dispatch entry and omits deleted product roots	SourceGuardTests,EventRegistryReferenceCycleTests	SourceGuardTests	IOSTC-2,IOSTC-5
IOSTC-INV-024	packages/ios-app/Sources/Engine/Events/Plugins/Display/DisplayFramePlugin.swift	ios_timeline_runtime	ios-runtime-owner	Display events route generic runtime frames to the renderer	DisplayFrame source audit	GeneratedUIRendererTests	IOSTC-5
IOSTC-INV-025	packages/ios-app/Sources/Engine/Events/Plugins/Server/ServerRestartingPlugin.swift	ios_events	ios-server-event-owner	Server restart status is a narrow event plugin, not launch/restart automation	ServerRestartingPluginTests	ServerRestartingPluginTests	IOSTC-6
IOSTC-INV-026	packages/ios-app/Sources/Engine/Events/Plugins/Lifecycle/ErrorPlugin.swift	ios_events	ios-error-event-owner	Error plugin consumes server-authored failures and drops malformed payloads	ErrorEventProjectionTests	ErrorEventProjectionTests	IOSTC-5,IOSTC-6
IOSTC-INV-027	packages/ios-app/Sources/Engine/Events/Payloads/CapabilityInvocationPayloads.swift	ios_timeline_runtime	ios-capability-event-owner	Capability payloads carry primitive identity, status, result, and trace metadata generically	CapabilityLifecyclePluginTests	CapabilityInvocationDisplayModelTests	IOSTC-5
IOSTC-INV-028	packages/ios-app/Sources/Session/Timeline/Reconstruction/UnifiedEventTransformer.swift	ios_chat_session	ios-session-reconstruction-owner	Stored server events reconstruct chat timeline without product panels	UnifiedEventTransformerTests,UnifiedEventTransformerReconstructionOrderTests	UnifiedEventTransformerTests	IOSTC-5,IOSTC-6
IOSTC-INV-029	packages/ios-app/Sources/Engine/Persistence/SQLite/EventDatabase.swift	ios_persistence	ios-cache-owner	Documents-backed SQLite is a projection cache and never canonical server truth	EventDatabaseTests	EventDatabaseTests	IOSTC-1,IOSTC-7
IOSTC-INV-030	packages/ios-app/Sources/Engine/Persistence/SQLite/Schema/DatabaseSchema.swift	ios_persistence	ios-cache-owner	Schema owner migrates local cache columns and rejects retired cache fields	DatabaseSchemaTests	DatabaseSchemaTests	IOSTC-7
IOSTC-INV-031	packages/ios-app/Sources/Engine/Persistence/Sync/EventStoreManager.swift	ios_persistence	ios-sync-owner	Event store manager refreshes local projections from server APIs	EventStoreManagerTests	EventStoreManagerTests	IOSTC-5,IOSTC-7
IOSTC-INV-032	packages/ios-app/Sources/Engine/Persistence/Sync/SessionSynchronizer.swift	ios_persistence	ios-sync-owner	Session synchronizer rebuilds local session cache from server truth	SessionRefreshServiceTests,EventStoreManagerTests	EventStoreManagerTests	IOSTC-7
IOSTC-INV-033	packages/ios-app/Sources/Engine/Persistence/Sync/EngineStreamCursorStore.swift	ios_persistence	ios-sync-owner	Stream cursors are ACK/diagnostic state only, not replay truth	SyncRepositoryTests	SyncRepositoryTests	IOSTC-6,IOSTC-7
IOSTC-INV-034	packages/ios-app/Sources/Engine/Persistence/Repositories/DraftRepository.swift	ios_persistence	ios-draft-owner	Draft cache is local workflow state and guarded against skill residue	DraftRepositoryTests,SourceGuardTests	DraftRepositoryTests	IOSTC-2,IOSTC-7
IOSTC-INV-035	packages/ios-app/Sources/Session/Chat/ViewModel/ChatViewModel.swift	ios_chat_session	ios-chat-owner	Root view model orchestrates mounted session state through repository protocols	ChatViewModelLifecycleTests,SessionStateInvariantsTests	ChatViewModelLifecycleTests	IOSTC-5,IOSTC-6
IOSTC-INV-036	packages/ios-app/Sources/Session/Chat/ViewModel/ChatViewModel+RuntimeCallbacks.swift	ios_chat_session	ios-chat-owner	Runtime callbacks drain bounded UI/capability event queues without product state	UIUpdateQueueTests,CapabilityInvocationCoordinatorTests	UIUpdateQueueTests	IOSTC-5,IOSTC-6
IOSTC-INV-037	packages/ios-app/Sources/Session/Chat/Coordinators/ConnectionCoordinator.swift	ios_chat_session	ios-connection-owner	Connection coordinator projects repository state into generic shell recovery	ConnectionCoordinatorTests	ConnectionCoordinatorTests	IOSTC-3,IOSTC-6
IOSTC-INV-038	packages/ios-app/Sources/Session/Chat/Coordinators/MessagingCoordinator.swift	ios_chat_session	ios-messaging-owner	Messaging coordinator sends prompts through repository protocol and preserves input state	MessagingCoordinatorTests,SendBlockReasonTests	SendBlockReasonTests	IOSTC-5,IOSTC-6
IOSTC-INV-039	packages/ios-app/Sources/Session/Chat/Messaging/StreamingManager.swift	ios_chat_session	ios-streaming-owner	Streaming manager holds transient text state and supports recovery after disconnect	StreamingManagerTests,StreamingRecoveryTests	StreamingRecoveryTests	IOSTC-5,IOSTC-6
IOSTC-INV-040	packages/ios-app/Sources/Session/Chat/State/SettingsState.swift	ios_settings	ios-settings-state-owner	SettingsState renders last loaded server snapshot and rolls back failed sparse updates	SettingsStateTests,SettingsParityTests	SettingsStateTests,SettingsParityTests	IOSTC-4
IOSTC-INV-041	packages/ios-app/Sources/Session/Timeline/Messages/CapabilityInvocationDisplayModel.swift	ios_timeline_runtime	ios-capability-ui-owner	Capability display derives generic primitive/result rows from runtime payloads	CapabilityInvocationDisplayModelTests	CapabilityInvocationDisplayModelTests	IOSTC-5
IOSTC-INV-042	packages/ios-app/Sources/UI/RuntimeSurfaces/GeneratedRuntimeSurfaceView.swift	ios_timeline_runtime	ios-runtime-ui-owner	Generated runtime surface renderer validates schema/components and submits generic action coordinates	GeneratedUIRendererTests	GeneratedUIRendererTests	IOSTC-5
IOSTC-INV-043	packages/ios-app/Sources/Session/Timeline/Tokens/TokenStateManager.swift	ios_timeline_runtime	ios-token-ui-owner	Token state is timeline presentation metadata and not provider policy	TokenStateManagerTests	TokenStateManagerTests	IOSTC-5
IOSTC-INV-044	packages/ios-app/Sources/Session/Timeline/Activity/SessionActivityStreamManager.swift	ios_timeline_runtime	ios-activity-ui-owner	Activity stream presents generic session activity from server events	SessionActivityStreamTests	SessionActivityStreamTests	IOSTC-5,IOSTC-6
IOSTC-INV-045	packages/ios-app/Sources/Engine/Transport/Clients/Repositories/Defaults/DefaultEngineAccessRepositories.swift	ios_settings	ios-repository-owner	Repository boundary translates UI settings mutations to sparse wire DTOs	SettingsClientTests,SettingsStateTests	SettingsStateTests	IOSTC-4
IOSTC-INV-046	packages/ios-app/Sources/UI/Settings/Pages/AgentSettingsPage.swift	ios_settings	ios-settings-ui-owner	Agent page owns default workspace/model controls only	SettingsParityTests,AgentSettingsPageLayoutTests	SettingsParityTests	IOSTC-4
IOSTC-INV-047	packages/ios-app/Sources/UI/Settings/Pages/ContextSettingsPage.swift	ios_settings	ios-settings-ui-owner	Context page owns compaction controls only	SettingsParityTests,AgentContextSettingsPageTests	SettingsParityTests	IOSTC-4
IOSTC-INV-048	packages/ios-app/Sources/UI/Settings/Pages/ConnectionSettingsPage.swift	ios_settings	ios-settings-ui-owner	Servers page owns paired server rows, unavailable state, diagnostics settings, and local forget/retry actions	ServerSettingsPageTests,SettingsParityTests	ServerSettingsPageTests	IOSTC-3,IOSTC-4,IOSTC-6
IOSTC-INV-049	packages/ios-app/Sources/Support/Pairing/PairingURLParser.swift	ios_pairing_auth	ios-pairing-owner	Pairing parser accepts only bare host/port/token QR and paste payloads	PairingURLParserTests	PairingURLParserTests	IOSTC-3
IOSTC-INV-050	packages/ios-app/Sources/Support/Pairing/Onboarding/PairingStepValidator.swift	ios_pairing_auth	ios-pairing-owner	Pairing validator classifies local input and probe failures into actionable generic errors	PairingValidationTests	PairingValidationTests	IOSTC-3,IOSTC-6
IOSTC-INV-051	packages/ios-app/Sources/Support/Pairing/Onboarding/PairingPersistor.swift	ios_pairing_auth	ios-pairing-owner	Pairing persistor plans local server metadata and token rollback without server profile writes	PairingPersistorTests	PairingPersistorTests	IOSTC-3
IOSTC-INV-052	packages/ios-app/Sources/Support/Pairing/PairedServerStore.swift	ios_pairing_auth	ios-pairing-owner	Local paired-server metadata lives in device storage only	PairedServerStoreTests	PairedServerStoreTests	IOSTC-3,IOSTC-7
IOSTC-INV-053	packages/ios-app/Sources/Support/Storage/PairedServerTokenStore.swift	ios_pairing_auth	ios-token-owner	Bearer tokens live in Keychain and are removed before metadata forget	PairedServerTokenStoreTests	PairedServerTokenStoreTests	IOSTC-3,IOSTC-7
IOSTC-INV-054	packages/ios-app/Sources/Support/Diagnostics/DiagnosticsRedactor.swift	ios_diagnostics	ios-diagnostics-owner	Redactor removes bearer/API/OAuth values, paths, and chat content before bundles/log upload	DiagnosticsRedactorTests	DiagnosticsRedactorTests	IOSTC-7
IOSTC-INV-055	packages/ios-app/Sources/Support/Diagnostics/DiagnosticsBundleBuilder.swift	ios_diagnostics	ios-diagnostics-owner	Bundle builder emits bounded redacted local/server summaries and MetricKit payloads	DiagnosticsBundleBuilderTests	DiagnosticsBundleBuilderTests	IOSTC-7
IOSTC-INV-056	packages/ios-app/Sources/Support/Diagnostics/ClientLogIngestionService.swift	ios_diagnostics	ios-diagnostics-owner	Client log ingestion batches redacted entries, dedupes, and uploads only while connected	ClientLogIngestionServiceTests	ClientLogIngestionServiceTests	IOSTC-7
IOSTC-INV-057	packages/ios-app/Tests/Infrastructure/Guards/SourceGuardTests+ProductSurfaces.swift	ios_tests	ios-test-owner	Swift source guards keep fixed product update/tree/attachment surfaces deleted	SourceGuardTests	SourceGuardTests	IOSTC-2
IOSTC-INV-058	packages/ios-app/Tests/Infrastructure/Guards/SourceGuardTests+PrimitiveShellAbsence.swift	ios_tests	ios-test-owner	Swift source guards keep skills, user-interaction pause, process, hook, prompt picker, and old roots deleted	SourceGuardTests	SourceGuardTests	IOSTC-2
IOSTC-INV-059	packages/ios-app/Tests/Infrastructure/Guards/SourceGuardTests+CapabilityAbsence.swift	ios_tests	ios-test-owner	Swift source guards keep retired tool/capability/source panels absent	SourceGuardTests	SourceGuardTests	IOSTC-2,IOSTC-5
IOSTC-INV-060	packages/ios-app/Tests/Session/Chat/State/SettingsParityTests.swift	ios_tests	ios-test-owner	Settings parity test accounts for user-editable SettingsState fields and stale waivers	SettingsParityTests	SettingsParityTests	IOSTC-4
IOSTC-INV-061	packages/ios-app/Tests/Engine/Protocol/EngineProtocolTypesSettingsTests.swift	ios_tests	ios-test-owner	Settings DTO tests cover full/default/malformed payload decode and sparse update encoding	ServerSettingsTests	ServerSettingsTests	IOSTC-4
IOSTC-INV-062	packages/ios-app/Tests/Support/Pairing/PairingURLParserTests.swift	ios_tests	ios-test-owner	Pairing URL tests cover strict QR/deep-link/paste parsing and malformed host rejection	PairingURLParserTests	PairingURLParserTests	IOSTC-3
IOSTC-INV-063	packages/ios-app/Tests/Support/Pairing/PairingValidationTests.swift	ios_tests	ios-test-owner	Pairing validation tests cover actionable errors and Keychain-vs-auth failure distinction	PairingValidationTests	PairingValidationTests	IOSTC-3,IOSTC-6
IOSTC-INV-064	packages/ios-app/Tests/Engine/Events/EventTypeRegistryTests.swift	ios_tests	ios-test-owner	Event registry tests cover generic persisted event classification	EventTypeRegistryTests	EventTypeRegistryTests	IOSTC-5
IOSTC-INV-065	packages/ios-app/Tests/Engine/Events/ErrorEventProjectionTests.swift	ios_tests	ios-test-owner	Error projection tests cover canonical failure and unknown/future category rendering	ErrorEventProjectionTests	ErrorEventProjectionTests	IOSTC-5,IOSTC-6
IOSTC-INV-066	packages/ios-app/Tests/Session/Timeline/Messages/CapabilityInvocationDisplayModelTests.swift	ios_tests	ios-test-owner	Capability display tests prove primitive/result rendering stays generic	CapabilityInvocationDisplayModelTests	CapabilityInvocationDisplayModelTests	IOSTC-5
IOSTC-INV-067	packages/ios-app/Tests/UI/RuntimeSurfaces/GeneratedUIRendererTests.swift	ios_tests	ios-test-owner	Generated UI tests cover schema/component validation, closed states, and action submission	GeneratedUIRendererTests	GeneratedUIRendererTests	IOSTC-5
IOSTC-INV-068	packages/ios-app/Tests/Support/Diagnostics/DiagnosticsRedactorTests.swift	ios_tests	ios-test-owner	Diagnostics redaction tests prove secrets/paths/chat content are removed	DiagnosticsRedactorTests	DiagnosticsRedactorTests	IOSTC-7
IOSTC-INV-069	packages/ios-app/Tests/Support/Diagnostics/DiagnosticsBundleBuilderTests.swift	ios_tests	ios-test-owner	Diagnostics bundle tests prove bounded redacted event/log summaries	DiagnosticsBundleBuilderTests	DiagnosticsBundleBuilderTests	IOSTC-7
IOSTC-INV-070	packages/ios-app/Tests/Support/Diagnostics/ClientLogIngestionServiceTests.swift	ios_tests	ios-test-owner	Client-log ingestion tests prove bounded, redacted, connected-only upload semantics	ClientLogIngestionServiceTests	ClientLogIngestionServiceTests	IOSTC-7
IOSTC-INV-071	packages/ios-app/Tests/Engine/Persistence/DatabaseSchemaTests.swift	ios_tests	ios-test-owner	Persistence schema tests prove local cache migrations and deleted columns stay absent	DatabaseSchemaTests	DatabaseSchemaTests	IOSTC-7
IOSTC-INV-072	packages/ios-app/Tests/Session/Chat/StreamingRecoveryTests.swift	ios_tests	ios-test-owner	Streaming recovery tests prove disconnected recovery preserves visible text identity	StreamingRecoveryTests	StreamingRecoveryTests	IOSTC-6
IOSTC-INV-073	packages/ios-app/Tests/Session/Chat/SendBlockReasonTests.swift	ios_tests	ios-test-owner	Send-disabled tests prove offline/read-only/compaction disable states are deterministic	SendBlockReasonTests	SendBlockReasonTests	IOSTC-6
IOSTC-INV-074	scripts/tron.d/quality.sh	docs_ci	script-quality-owner	Local CI runs the IOSTC invariant target with the closeout target set	scripts/tron ci test	local Rust static gate	IOSTC-9,IOSTC-10
IOSTC-INV-075	.github/workflows/ci.yml	docs_ci	ci-owner	GitHub static-gates job runs the IOSTC invariant target for docs/iOS/script/CI changes	GitHub static-gates config	static gate	IOSTC-9,IOSTC-10
IOSTC-INV-076	packages/agent/docs/hierarchical-rearchitecture-file-inventory.tsv	predecessor_inventory	hra-owner	HRA tracked-file inventory classifies new IOSTC artifacts	HRA invariant	HRA static gates	IOSTC-9
IOSTC-INV-077	packages/agent/docs/hierarchical-rearchitecture-current-ownership-map.tsv	predecessor_inventory	hra-owner	HRA current ownership map classifies new IOSTC artifacts	HRA invariant	HRA static gates	IOSTC-9
IOSTC-INV-078	packages/agent/docs/primitive-code-cleanup-file-inventory.tsv	predecessor_inventory	pcc-owner	PCC file inventory classifies new IOSTC artifacts	PCC invariant	PCC static gates	IOSTC-9
IOSTC-INV-079	packages/agent/docs/true-primitive-cleanup-retention-inventory.tsv	predecessor_inventory	tpc-owner	TPC retention inventory classifies new IOSTC artifacts	TPC invariant	TPC static gates	IOSTC-9
IOSTC-INV-080	packages/agent/docs/public-protocol-api-contract-discipline-inventory.tsv	predecessor_inventory	ppacd-owner	PPACD inventory records IOSTC protocol/iOS parity extension	PPACD invariant	PPACD static gates	IOSTC-9
IOSTC-INV-081	packages/agent/docs/configuration-profile-environment-discipline-inventory.tsv	predecessor_inventory	cpe-owner	CPE inventory records IOSTC settings parity extension	CPE invariant	CPE static gates	IOSTC-4,IOSTC-9
IOSTC-INV-082	packages/agent/docs/release-install-upgrade-rollback-discipline-inventory.tsv	predecessor_inventory	riurd-owner	RIURD inventory records IOSTC generated-project discipline extension	RIURD invariant	RIURD static gates	IOSTC-8,IOSTC-9
IOSTC-INV-083	packages/agent/docs/observability-diagnostics-auditability-inventory.tsv	predecessor_inventory	oda-owner	ODA inventory records IOSTC diagnostics/redaction extension	ODA invariant	ODA static gates	IOSTC-7,IOSTC-9
IOSTC-INV-084	packages/agent/docs/data-integrity-storage-evolution-migration-discipline-inventory.tsv	predecessor_inventory	dsemd-owner	DSEMD inventory records IOSTC local persistence/cache extension	DSEMD invariant	DSEMD static gates	IOSTC-7,IOSTC-9
IOSTC-INV-085	packages/agent/docs/security-authority-capability-boundaries-inventory.tsv	predecessor_inventory	sacb-owner	SACB inventory records IOSTC pairing/auth custody extension	SACB invariant	SACB static gates	IOSTC-3,IOSTC-9
IOSTC-INV-086	packages/agent/docs/concurrency-scheduling-discipline-inventory.tsv	predecessor_inventory	csd-owner	CSD inventory records IOSTC static gate and iOS scheduling proof extension	CSD invariant	CSD static gates	IOSTC-6,IOSTC-9
IOSTC-INV-087	packages/agent/docs/state-ownership-lifecycle-inventory.tsv	predecessor_inventory	sol-owner	SOL inventory records IOSTC local-client state ownership extension	SOL invariant	SOL static gates	IOSTC-7,IOSTC-9
IOSTC-INV-088	packages/agent/docs/developer-experience-repo-hygiene-automation-scorecard.md	predecessor_inventory	dxrha-owner	DXRHA scorecard records iOS generated-project and simulator workflow discipline	DXRHA invariant	static gate	IOSTC-8,IOSTC-9
IOSTC-INV-089	packages/agent/docs/developer-experience-repo-hygiene-automation-evidence-manifest.md	predecessor_inventory	dxrha-owner	DXRHA evidence records XcodeGen drift proof after iOS 26.5 simulator availability	DXRHA invariant	static gate	IOSTC-8,IOSTC-9
IOSTC-INV-090	packages/agent/docs/developer-experience-repo-hygiene-automation-inventory.md	predecessor_inventory	dxrha-owner	DXRHA inventory records iOS docs, XcodeGen, and generated project policy	DXRHA invariant	static gate	IOSTC-8,IOSTC-9
IOSTC-INV-091	packages/agent/docs/developer-experience-repo-hygiene-automation-inventory.tsv	predecessor_inventory	dxrha-owner	DXRHA TSV records iOS project and docs workflow rows	DXRHA invariant	static gate	IOSTC-8,IOSTC-9
IOSTC-INV-092	packages/agent/tests/developer_experience_repo_hygiene_automation_invariants.rs	predecessor_inventory	dxrha-owner	DXRHA invariant source-checks iOS generated-project drift commands and README wiring	DXRHA invariant	static gate	IOSTC-8,IOSTC-10
IOSTC-INV-093	packages/agent/docs/documentation-evidence-scorecard-integrity-scorecard.md	predecessor_inventory	desi-owner	DESI scorecard records README and evidence integrity proof	DESI invariant	static gate	IOSTC-9,IOSTC-10
IOSTC-INV-094	packages/agent/docs/documentation-evidence-scorecard-integrity-evidence-manifest.md	predecessor_inventory	desi-owner	DESI evidence records IOSTC rerun and XcodeGen drift proof	DESI invariant	static gate	IOSTC-8,IOSTC-9,IOSTC-10
IOSTC-INV-095	packages/agent/docs/documentation-evidence-scorecard-integrity-inventory.md	predecessor_inventory	desi-owner	DESI inventory records iOS docs and thin-client closeout artifacts	DESI invariant	static gate	IOSTC-9
IOSTC-INV-096	packages/agent/docs/documentation-evidence-scorecard-integrity-inventory.tsv	predecessor_inventory	desi-owner	DESI TSV records IOSTC scorecard evidence inventory and invariant surfaces	DESI invariant	static gate	IOSTC-9
IOSTC-INV-097	packages/agent/tests/documentation_evidence_scorecard_integrity_invariants.rs	predecessor_inventory	desi-owner	DESI invariant source-checks README iOS proof references and evidence integrity	DESI invariant	static gate	IOSTC-9,IOSTC-10
IOSTC-INV-098	packages/agent/docs/self-sufficient-agent-runtime-readiness-scorecard.md	predecessor_inventory	ssarr-owner	SSARR scorecard records iOS generic-shell readiness without Swift source changes	SSARR invariant	static gate	IOSTC-9,IOSTC-10
IOSTC-INV-099	packages/agent/docs/self-sufficient-agent-runtime-readiness-evidence-manifest.md	predecessor_inventory	ssarr-owner	SSARR evidence records no-touch iOS rationale and XcodeGen drift validation	SSARR invariant	static gate	IOSTC-9,IOSTC-10
IOSTC-INV-100	packages/agent/docs/self-sufficient-agent-runtime-readiness-inventory.md	predecessor_inventory	ssarr-owner	SSARR inventory classifies iOS generic runtime rendering as readiness substrate only	SSARR invariant	static gate	IOSTC-9,IOSTC-10
IOSTC-INV-101	packages/agent/docs/self-sufficient-agent-runtime-readiness-inventory.tsv	predecessor_inventory	ssarr-owner	SSARR TSV maps iOS shell readiness and forbidden successor panels	SSARR invariant	static gate	IOSTC-9,IOSTC-10
IOSTC-INV-102	packages/agent/tests/self_sufficient_agent_runtime_readiness_invariants.rs	predecessor_inventory	ssarr-owner	SSARR invariant rejects iOS successor product panel reintroduction	SSARR invariant	static gate	IOSTC-9,IOSTC-10
IOSTC-INV-103	packages/agent/docs/primitive-minimality-closure-scorecard.md	predecessor_inventory	pmc-owner	PMC scorecard records no Swift source changes	PMC invariant	static gate	IOSTC-9,IOSTC-10
IOSTC-INV-104	packages/agent/docs/primitive-minimality-closure-evidence-manifest.md	predecessor_inventory	pmc-owner	PMC evidence records XcodeGen drift validation and no-touch iOS rationale	PMC invariant	static gate	IOSTC-9,IOSTC-10
IOSTC-INV-105	packages/agent/docs/primitive-minimality-closure-inventory.md	predecessor_inventory	pmc-owner	PMC inventory classifies iOS as no behavior-change scope	PMC invariant	static gate	IOSTC-9,IOSTC-10
IOSTC-INV-106	packages/agent/docs/primitive-minimality-closure-inventory.tsv	predecessor_inventory	pmc-owner	PMC TSV keeps iOS no-touch scope machine-checkable	PMC invariant	static gate	IOSTC-9,IOSTC-10
IOSTC-INV-107	packages/agent/tests/primitive_minimality_closure_invariants.rs	predecessor_inventory	pmc-owner	PMC invariant rejects iOS source behavior changes in the closure diff	PMC invariant	static gate	IOSTC-9,IOSTC-10
