id	path	surface_kind	owner	closure_action	essentiality	proof	regression_gate	scorecard_rows
PMC-INV-015	packages/agent/src/engine/durability/streams/sqlite_store.rs	engine_stream_query	engine-stream-owner	retained_contract	Durable stream trace query helper supports audit/replay inspection	ODA/DSEMD/DRC guards cover stream evidence	scripts/tron ci fmt check clippy test	PMC-5,PMC-9
PMC-INV-016	packages/agent/src/engine/durability/resources/store/mod.rs	engine_resource_query	engine-resource-owner	retained_contract	Resource type query helper preserves typed resource inspection substrate	SOL/DSEMD/ODA guards cover resource lifecycle evidence	scripts/tron ci fmt check clippy test	PMC-5,PMC-9
PMC-INV-017	packages/agent/docs/primitive-minimality-closure-scorecard.md	scorecard	pmc-docs-owner	static_gate	Closed 100-point minimality closure scorecard	DESI and PMC parse scorecard arithmetic	primitive_minimality_closure_invariants	PMC-6,PMC-9
PMC-INV-018	packages/agent/docs/primitive-minimality-closure-evidence-manifest.md	evidence_manifest	pmc-docs-owner	static_gate	Command evidence, failed attempts, retained-surface rationale, and final closeout proof	PMC checks command ledger and placeholder absence	primitive_minimality_closure_invariants	PMC-6,PMC-9
PMC-INV-019	packages/agent/docs/primitive-minimality-closure-inventory.md	inventory	pmc-docs-owner	static_gate	Human-readable classification of removed and retained minimality surfaces	PMC checks controlled vocabulary and required sections	primitive_minimality_closure_invariants	PMC-6,PMC-9
PMC-INV-020	packages/agent/docs/primitive-minimality-closure-inventory.tsv	inventory	pmc-docs-owner	static_gate	Machine-readable minimality inventory with removed/retained/static-gate rows	PMC parses schema rows and coverage	primitive_minimality_closure_invariants	PMC-6,PMC-9
PMC-INV-021	packages/agent/tests/primitive_minimality_closure_invariants.rs	invariant_test	pmc-test-owner	static_gate	Static and source-backed guard over artifacts, deleted helpers, retained contracts, README, and CI parity	cargo test --test primitive_minimality_closure_invariants	primitive_minimality_closure_invariants	PMC-6,PMC-8,PMC-9
PMC-INV-022	scripts/tron.d/quality.sh	local_gate	quality-owner	static_gate	Local closeout target set includes PMC in parity order	PMC parses local target array	primitive_minimality_closure_invariants	PMC-6,PMC-9
PMC-INV-023	.github/workflows/ci.yml	github_gate	ci-owner	static_gate	GitHub rust-static-gates includes PMC in the same order as local CI	PMC parses GitHub target block	primitive_minimality_closure_invariants	PMC-6,PMC-9
PMC-INV-024	README.md	root_doc	root-docs-owner	static_gate	Canonical living-doc and testing map includes PMC artifacts and target	PMC checks README paths and target name	primitive_minimality_closure_invariants	PMC-7,PMC-9
PMC-INV-025	packages/agent/docs/self-sufficient-agent-runtime-readiness-scorecard.md	historical_evidence	ssarr-docs-owner	historical_evidence	SSARR remains predecessor evidence and baseline context, not a current runtime feature implementation	PMC classifies predecessor scorecards instead of deleting provenance	primitive_minimality_closure_invariants	PMC-0,PMC-6
