id	path	surface_kind	owner	canonical_source	write_or_override_rule	proof	scorecard_rows
CPE-INV-038	packages/ios-app/Sources/UI/Settings/Pages/EngineSettingsPage.swift	ios_settings	ios-ui-owner	Server-owned engine settings controls	User controls workspace, model, compaction thresholds, and local transcription through SettingsMutation	iOS UI settings tests	CPE-6,CPE-7
CPE-INV-039	packages/ios-app/Tests/UI/Settings/EngineSettingsPageLayoutTests.swift	ios_settings	ios-test-owner	Engine settings UI guard	Layout tests exclude diagnostics and storage policy controls while retaining Engine-owned Local Transcription	iOS UI settings tests	CPE-6,CPE-9
CPE-INV-040	packages/ios-app/Sources/UI/Settings/Shell/SettingsView+MainSection.swift	ios_settings	ios-ui-owner	Server settings status surface	Surfaces active-server settings load and connection failures without stale policy controls	iOS UI settings tests	CPE-6,CPE-7
CPE-INV-041	packages/ios-app/Tests/Engine/Protocol/EngineProtocolTypesSettingsTests.swift	ios_settings	ios-test-owner	Settings protocol tests	Full, default fixture, update encode, missing field, and malformed type tests	iOS 26.5 simulator test	CPE-6,CPE-7,CPE-10
CPE-INV-042	packages/ios-app/Tests/Session/Chat/State/SettingsStateTests.swift	ios_settings	ios-test-owner	Settings state tests	Apply, clear, and rollback behavior for server settings	iOS tests	CPE-6,CPE-7
CPE-INV-043	packages/ios-app/Tests/Session/Chat/State/SettingsParityTests.swift	ios_settings	ios-test-owner	iOS parity meta-test	SettingsState fields must be UI-wired or explicitly waived with reason	iOS tests and CPE invariant	CPE-6,CPE-9
CPE-INV-044	packages/ios-app/Tests/Infrastructure/Fixtures/ServerSettingsFixture.swift	ios_settings	ios-test-owner	Server settings fixture	Fixture now builds an explicit full server-like snapshot before partial overrides	iOS protocol tests	CPE-6,CPE-7
CPE-INV-045	packages/mac-app/Sources/Server/Paths/ServerSettingsProfile.swift	mac_wrapper	mac-wrapper-owner	Mac sparse overlay reader/writer	Wrapper owns only settings.server.tailscaleIp and seeds v3 sparse metadata	Mac ServerSettingsWriter tests	CPE-4,CPE-5
CPE-INV-046	packages/mac-app/Sources/App/Composition/EnvironmentSetup.swift	mac_wrapper	mac-wrapper-owner	Mac environment dependency surface	Reads/writes tailscaleIp through settings profile path and exposes TronPaths env behavior	Mac tests	CPE-5,CPE-8
CPE-INV-047	packages/mac-app/Sources/Server/Paths/TronPaths.swift	mac_wrapper	mac-wrapper-owner	Mac TRON_DATA_DIR, TRON_HOME_NAME, TRON_MAC_INSTALL_MODE	Mac wrapper path env rules mirror Rust path owner and isolated install behavior	Mac TronPaths tests	CPE-5,CPE-8
CPE-INV-048	packages/mac-app/Tests/Server/Paths/ServerSettingsReaderTests.swift	mac_wrapper	mac-test-owner	Mac settings reader/writer tests	Missing overlay seed, preservation, and removal behavior are guarded	Mac tests	CPE-4,CPE-5
CPE-INV-049	scripts/tron	script_env	cli-owner	CLI dispatch and ensure_tron_home	Every command seeds/revalidates Tron Home before dispatch	README and script audit	CPE-4,CPE-5,CPE-8
CPE-INV-050	scripts/tron.d/dev.sh	script_env	cli-owner	Dev LaunchAgent env	Exports HOME, TRON_DATA_DIR, TRON_REPO_ROOT, and TRON_DEV_BINARY for background dev takeover; foreground RUST_LOG filters stderr only	script audit and PERF guard	CPE-5,CPE-8
CPE-INV-051	scripts/tron.d/manual-deploy.sh	script_env	cli-owner	Contributor LaunchAgent env	Exports only HOME, TRON_DATA_DIR, and TRON_REPO_ROOT; diagnostics policy remains engine-managed	script audit	CPE-5,CPE-8
CPE-INV-052	scripts/tron.d/quality.sh	docs_ci	ci-owner	Local closeout target list	Runs configuration_profile_environment_discipline_invariants in tron ci test	CPE invariant	CPE-8,CPE-9,CPE-10
CPE-INV-053	.github/workflows/ci.yml	docs_ci	ci-owner	GitHub static gates	Runs configuration_profile_environment_discipline_invariants in rust-static-gates	CPE invariant	CPE-8,CPE-9,CPE-10
CPE-INV-054	.codex/environments/environment.toml	script_env	codex-env-owner	Codex local actions	Uses generic TRON_IOS_DEVICE_NAME and explicit scheme/config env for iOS helper	CPE invariant	CPE-5,CPE-8
CPE-INV-055	scripts/tron-ios-beta	script_env	ios-helper-owner	iOS physical-device helper env	Owns TRON_IOS_DEVICE_ID, TRON_IOS_DEVICE_NAME, TRON_IOS_DESTINATION, TRON_IOS_SCHEME, TRON_IOS_CONFIGURATION, TRON_IOS_LAUNCH_TIMEOUT_SECONDS	helper docs and skill	CPE-5,CPE-8
CPE-INV-056	README.md	docs_ci	readme-owner	Root front door	Product overview, quick start, primary validation, and links to detailed settings reference stay truthful	CPE invariant	CPE-2,CPE-8,CPE-10
CPE-INV-058	packages/agent/docs/performance-resource-governance-inventory.tsv	predecessor_inventory	perf-owner	PERF current-lineage inventory	CPE extends PERF startup/resource proof with configuration/env discipline	CPE and PERF invariants	CPE-0,CPE-8
CPE-INV-059	packages/agent/docs/provider-model-boundary-discipline-inventory.tsv	predecessor_inventory	pmbd-owner	PMBD predecessor inventory	CPE confirms provider routing settings and provider API config remain canonical	CPE invariant	CPE-0,CPE-8
CPE-INV-060	packages/agent/docs/public-protocol-api-contract-discipline-inventory.tsv	predecessor_inventory	ppacd-owner	PPACD predecessor inventory	CPE tightens iOS settings DTO decode strictness and settings parity	CPE invariant	CPE-0,CPE-8
CPE-INV-061	packages/agent/docs/off-plan-saa-authorship-teardown-cleanup-inventory.tsv	predecessor_inventory	post-ppacd-cleanup-owner	Post-PPACD cleanup predecessor inventory	CPE classified as original configuration hardening after PERF	CPE invariant	CPE-0,CPE-8
CPE-INV-063	packages/agent/docs/observability-diagnostics-auditability-inventory.tsv	predecessor_inventory	oda-owner	ODA predecessor inventory	CPE preserves settings error surfacing without secret/personal data leakage	CPE invariant	CPE-0,CPE-8
CPE-INV-067	packages/agent/docs/failure-semantics-inventory.tsv	predecessor_inventory	fsc-owner	FSC predecessor inventory	CPE preserves malformed config failure surfacing through existing error envelopes	CPE invariant	CPE-0,CPE-8
CPE-INV-068	packages/agent/docs/determinism-replayability-inventory.tsv	predecessor_inventory	drc-owner	DRC predecessor inventory	CPE preserves reproducible defaults and profile spec hashes	CPE invariant	CPE-0,CPE-8
CPE-INV-073	packages/agent/docs/release-install-upgrade-rollback-discipline-inventory.tsv	predecessor_inventory	riurd-owner	RIURD release/install inventory	Release / Install / Upgrade / Rollback Discipline preserves CPE profile/env defaults through setup, install, update, and rollback	RIURD invariant	CPE-8
CPE-INV-074	packages/agent/docs/ios-thin-client-generic-runtime-shell-inventory.tsv	predecessor_inventory	iostc-owner	IOSTC iOS settings inventory	iOS Thin Client / Generic Runtime Shell preserves CPE settings parity, sparse update, malformed decode, reset/default, and tailscaleIp ownership proof	IOSTC invariant	CPE-6,CPE-8
CPE-INV-085	packages/agent/docs/self-sufficient-agent-runtime-readiness-scorecard.md	predecessor_inventory	ssarr-owner	SSARR readiness scorecard	No settings or profile behavior is added by SSARR	SSARR invariant	CPE-8
CPE-INV-086	packages/agent/docs/self-sufficient-agent-runtime-readiness-evidence-manifest.md	predecessor_inventory	ssarr-owner	SSARR readiness evidence	Evidence records no settings or environment implementation changes	SSARR invariant	CPE-8
CPE-INV-087	packages/agent/docs/self-sufficient-agent-runtime-readiness-inventory.md	predecessor_inventory	ssarr-owner	SSARR readiness inventory	Inventory classifies settings/profile as future prerequisite only	SSARR invariant	CPE-8
CPE-INV-088	packages/agent/docs/self-sufficient-agent-runtime-readiness-inventory.tsv	predecessor_inventory	ssarr-owner	SSARR readiness machine inventory	TSV maps settings/profile ownership without new keys	SSARR invariant	CPE-8
CPE-INV-089	packages/agent/tests/self_sufficient_agent_runtime_readiness_invariants.rs	predecessor_inventory	ssarr-owner	SSARR readiness invariant	Static gate rejects unowned successor state and settings drift claims	SSARR invariant	CPE-8
CPE-INV-090	packages/agent/docs/primitive-minimality-closure-scorecard.md	predecessor_inventory	pmc-owner	PMC minimality scorecard	No settings or profile behavior is added by PMC	PMC invariant	CPE-8
CPE-INV-091	packages/agent/docs/primitive-minimality-closure-evidence-manifest.md	predecessor_inventory	pmc-owner	PMC minimality evidence	Evidence records no settings or environment implementation changes	PMC invariant	CPE-8
CPE-INV-092	packages/agent/docs/primitive-minimality-closure-inventory.md	predecessor_inventory	pmc-owner	PMC minimality inventory	Inventory classifies provider config fields as retained contracts	PMC invariant	CPE-8
CPE-INV-093	packages/agent/docs/primitive-minimality-closure-inventory.tsv	predecessor_inventory	pmc-owner	PMC minimality machine inventory	TSV maps retained settings/profile contracts without new keys	PMC invariant	CPE-8
CPE-INV-094	packages/agent/tests/primitive_minimality_closure_invariants.rs	predecessor_inventory	pmc-owner	PMC minimality invariant	Static gate rejects settings/auth/profile DTO expansion	PMC invariant	CPE-8
