operation	family	currentOwner	ownershipClass	replacementTarget	contractScore	authorityScore	evidenceScore	providerSafetyScore	replayScore	bindingScore	rollbackScore	visibilityScore	testScore	nextAction
filesystem_write	filesystem	domains::capability::operations::filesystem + domains::filesystem	adapter_replaceable	future_filesystem_adapter_requires_exact_root_authority_preview_commit_evidence_provider_safe_refs_replay_idempotency_and_rollback_disable_refs	2	3	2	3	2	2	1	2	3	shadow_trial
filesystem_edit	filesystem	domains::capability::operations::filesystem + domains::filesystem	adapter_replaceable	future_filesystem_adapter_requires_exact_root_authority_preview_commit_evidence_provider_safe_refs_replay_idempotency_and_rollback_disable_refs	2	3	2	3	2	2	1	2	3	shadow_trial
filesystem_apply_patch	filesystem	domains::capability::operations::filesystem + domains::filesystem	adapter_replaceable	future_filesystem_adapter_requires_exact_root_authority_preview_commit_evidence_provider_safe_refs_replay_idempotency_and_rollback_disable_refs	2	3	2	3	2	2	1	2	3	shadow_trial
git_status	git	domains::capability::operations::git + domains::git	adapter_replaceable	future_git_adapter_requires_exact_repo_authority_head_index_evidence_provider_safe_refs_replay_idempotency_and_rollback_disable_refs	2	3	2	3	2	2	1	2	3	shadow_trial
git_diff	git	domains::capability::operations::git + domains::git	adapter_replaceable	future_git_adapter_requires_exact_repo_authority_head_index_evidence_provider_safe_refs_replay_idempotency_and_rollback_disable_refs	2	3	2	3	2	2	1	2	3	shadow_trial
git_branch_inventory	git	domains::capability::operations::git + domains::git	adapter_replaceable	future_git_adapter_requires_exact_repo_authority_head_index_evidence_provider_safe_refs_replay_idempotency_and_rollback_disable_refs	2	3	2	3	2	2	1	2	3	shadow_trial
git_stage	git	domains::capability::operations::git + domains::git	adapter_replaceable	future_git_adapter_requires_exact_repo_authority_head_index_evidence_provider_safe_refs_replay_idempotency_and_rollback_disable_refs	2	3	2	3	2	2	1	2	3	shadow_trial
git_unstage	git	domains::capability::operations::git + domains::git	adapter_replaceable	future_git_adapter_requires_exact_repo_authority_head_index_evidence_provider_safe_refs_replay_idempotency_and_rollback_disable_refs	2	3	2	3	2	2	1	2	3	shadow_trial
git_commit	git	domains::capability::operations::git + domains::git	adapter_replaceable	future_git_adapter_requires_exact_repo_authority_head_index_evidence_provider_safe_refs_replay_idempotency_and_rollback_disable_refs	2	3	2	3	2	2	1	2	3	shadow_trial
git_branch_start	git	domains::capability::operations::git + domains::git	adapter_replaceable	future_git_adapter_requires_exact_repo_authority_head_index_evidence_provider_safe_refs_replay_idempotency_and_rollback_disable_refs	2	3	2	3	2	2	1	2	3	shadow_trial
process_run	core	domains::capability::operations::process	adapter_replaceable	future_process_adapter_requires_exact_workdir_authority_network_none_bounded_output_replay_idempotency_and_rollback_disable_refs	2	2	2	3	2	2	1	2	3	shadow_trial
job_start	jobs	domains::capability::operations::jobs + domains::jobs	adapter_replaceable	future_jobs_adapter_requires_supervised_runtime_authority_lifecycle_evidence_provider_safe_refs_replay_idempotency_and_rollback_disable_refs	2	3	3	3	2	2	1	2	3	shadow_trial
job_status	jobs	domains::capability::operations::jobs + domains::jobs	adapter_replaceable	future_jobs_adapter_requires_supervised_runtime_authority_lifecycle_evidence_provider_safe_refs_replay_idempotency_and_rollback_disable_refs	2	3	3	3	2	2	1	2	3	shadow_trial
job_list	jobs	domains::capability::operations::jobs + domains::jobs	adapter_replaceable	future_jobs_adapter_requires_supervised_runtime_authority_lifecycle_evidence_provider_safe_refs_replay_idempotency_and_rollback_disable_refs	2	3	3	3	2	2	1	2	3	shadow_trial
job_log	jobs	domains::capability::operations::jobs + domains::jobs	adapter_replaceable	future_jobs_adapter_requires_supervised_runtime_authority_lifecycle_evidence_provider_safe_refs_replay_idempotency_and_rollback_disable_refs	2	3	3	3	2	2	1	2	3	shadow_trial
job_cancel	jobs	domains::capability::operations::jobs + domains::jobs	adapter_replaceable	future_jobs_adapter_requires_supervised_runtime_authority_lifecycle_evidence_provider_safe_refs_replay_idempotency_and_rollback_disable_refs	2	3	3	3	2	2	1	2	3	shadow_trial
goal_create	goals_questions	domains::capability::operations::goals	record_plane	modules_may_extend_workflows_but_must_not_bypass_durable_record_custody	2	3	3	3	3	0	0	1	2	document
goal_list	goals_questions	domains::capability::operations::goals	record_plane	modules_may_extend_workflows_but_must_not_bypass_durable_record_custody	2	3	3	3	3	0	0	1	2	document
goal_inspect	goals_questions	domains::capability::operations::goals	record_plane	modules_may_extend_workflows_but_must_not_bypass_durable_record_custody	2	3	3	3	3	0	0	1	2	document
goal_cancel	goals_questions	domains::capability::operations::goals	record_plane	modules_may_extend_workflows_but_must_not_bypass_durable_record_custody	2	3	3	3	3	0	0	1	2	document
question_create	goals_questions	domains::capability::operations::goals	record_plane	modules_may_extend_workflows_but_must_not_bypass_durable_record_custody	2	3	3	3	3	0	0	1	2	document
question_list	goals_questions	domains::capability::operations::goals	record_plane	modules_may_extend_workflows_but_must_not_bypass_durable_record_custody	2	3	3	3	3	0	0	1	2	document
question_inspect	goals_questions	domains::capability::operations::goals	record_plane	modules_may_extend_workflows_but_must_not_bypass_durable_record_custody	2	3	3	3	3	0	0	1	2	document
question_answer	goals_questions	domains::capability::operations::goals	record_plane	modules_may_extend_workflows_but_must_not_bypass_durable_record_custody	2	3	3	3	3	0	0	1	2	document
trace_list	trace	domains::capability::operations::trace	kernel_locked	engine_audit_substrate_stays_engine_owned	3	3	3	3	3	0	0	2	3	none
trace_get	trace	domains::capability::operations::trace	kernel_locked	engine_audit_substrate_stays_engine_owned	3	3	3	3	3	0	0	2	3	none
log_recent	logs	domains::capability::operations::logs	kernel_locked	engine_log_filter_substrate_stays_engine_owned	2	3	2	3	2	0	0	2	2	document
replay_manifest	core	domains::capability::operations::replay	kernel_locked	replay_manifest_stays_engine_owned_audit_substrate	3	3	3	3	3	0	0	2	3	none
catalog_search	catalog_discovery	domains::capability::operations::catalog	kernel_locked	capability_catalog_trust_substrate_stays_engine_owned	3	3	3	3	3	0	0	3	3	none
catalog_inspect	catalog_discovery	domains::capability::operations::catalog	kernel_locked	capability_catalog_trust_substrate_stays_engine_owned	3	3	3	3	3	0	0	3	3	none
catalog_conformance	catalog_discovery	domains::capability::operations::catalog	kernel_locked	capability_catalog_trust_substrate_stays_engine_owned	3	3	3	3	3	0	0	3	3	none
memory_status	memory	domains::capability::operations::memory + domains::memory	record_plane	future_memory_modules_may_add_retrieval_or_retention_only_after_activation_policy	2	3	3	3	2	0	0	2	2	add_binding_policy
memory_list	memory	domains::capability::operations::memory + domains::memory	record_plane	future_memory_modules_may_add_retrieval_or_retention_only_after_activation_policy	2	3	3	3	2	0	0	2	2	add_binding_policy
memory_inspect	memory	domains::capability::operations::memory + domains::memory	record_plane	future_memory_modules_may_add_retrieval_or_retention_only_after_activation_policy	2	3	3	3	2	0	0	2	2	add_binding_policy
memory_query_list	memory	domains::capability::operations::memory + domains::memory	record_plane	future_memory_modules_may_add_retrieval_or_retention_only_after_activation_policy	2	3	3	3	2	0	0	2	2	add_binding_policy
memory_query_inspect	memory	domains::capability::operations::memory + domains::memory	record_plane	future_memory_modules_may_add_retrieval_or_retention_only_after_activation_policy	2	3	3	3	2	0	0	2	2	add_binding_policy
memory_decision_list	memory	domains::capability::operations::memory + domains::memory	record_plane	future_memory_modules_may_add_retrieval_or_retention_only_after_activation_policy	2	3	3	3	2	0	0	2	2	add_binding_policy
memory_decision_inspect	memory	domains::capability::operations::memory + domains::memory	record_plane	future_memory_modules_may_add_retrieval_or_retention_only_after_activation_policy	2	3	3	3	2	0	0	2	2	add_binding_policy
context_control_snapshot	context_control	domains::capability::operations::context_control + domains::context_control	record_plane	modules_may_consume_context_audit_refs_but_must_not_bypass_epoch_or_action_records	3	3	3	3	3	0	0	3	3	none
context_control_compact	context_control	domains::capability::operations::context_control + domains::context_control	record_plane	compaction_strategy_requires_summarizer_seam_provider_safe_summary_context_audit_records_replay_idempotency_and_rollback_disable_refs	3	3	3	3	3	1	1	3	3	shadow_trial
context_control_clear	context_control	domains::capability::operations::context_control + domains::context_control	record_plane	modules_may_consume_context_audit_refs_but_must_not_bypass_epoch_or_action_records	3	3	3	3	3	0	0	3	3	none
context_control_action_list	context_control	domains::capability::operations::context_control + domains::context_control	record_plane	modules_may_consume_context_audit_refs_but_must_not_bypass_epoch_or_action_records	3	3	3	3	3	0	0	3	3	none
context_control_action_inspect	context_control	domains::capability::operations::context_control + domains::context_control	record_plane	modules_may_consume_context_audit_refs_but_must_not_bypass_epoch_or_action_records	3	3	3	3	3	0	0	3	3	none
context_survivor_record	context_control	domains::capability::operations::context_control + domains::context_control	record_plane	modules_may_consume_survivor_policy_refs_but_must_not_bypass_server_owned_context_policy_records	3	3	3	3	3	0	0	2	3	none
context_survivor_list	context_control	domains::capability::operations::context_control + domains::context_control	record_plane	modules_may_consume_survivor_policy_refs_but_must_not_bypass_server_owned_context_policy_records	3	3	3	3	3	0	0	2	3	none
context_survivor_disable	context_control	domains::capability::operations::context_control + domains::context_control	record_plane	modules_may_consume_survivor_policy_refs_but_must_not_bypass_server_owned_context_policy_records	3	3	3	3	3	0	0	2	3	none
context_exclusion_record	context_control	domains::capability::operations::context_control + domains::context_control	record_plane	modules_may_consume_exclusion_policy_refs_but_must_not_bypass_server_owned_context_policy_records	3	3	3	3	3	0	0	2	3	none
context_exclusion_list	context_control	domains::capability::operations::context_control + domains::context_control	record_plane	modules_may_consume_exclusion_policy_refs_but_must_not_bypass_server_owned_context_policy_records	3	3	3	3	3	0	0	2	3	none
context_exclusion_disable	context_control	domains::capability::operations::context_control + domains::context_control	record_plane	modules_may_consume_exclusion_policy_refs_but_must_not_bypass_server_owned_context_policy_records	3	3	3	3	3	0	0	2	3	none
context_policy_snapshot	context_control	domains::capability::operations::context_control + domains::context_control	record_plane	replacement_summarizers_must_consume_policy_snapshot_refs_and_preserve_server_owned_context_policy_custody	3	3	3	3	3	0	0	2	3	none
media_create	media	domains::capability::operations::media + domains::media	record_plane	modules_may_add_media_producers_but_not_bypass_resource_custody	2	3	3	3	2	0	0	1	2	document
media_list	media	domains::capability::operations::media + domains::media	record_plane	modules_may_add_media_producers_but_not_bypass_resource_custody	2	3	3	3	2	0	0	1	2	document
media_inspect	media	domains::capability::operations::media + domains::media	record_plane	modules_may_add_media_producers_but_not_bypass_resource_custody	2	3	3	3	2	0	0	1	2	document
media_archive	media	domains::capability::operations::media + domains::media	record_plane	modules_may_add_media_producers_but_not_bypass_resource_custody	2	3	3	3	2	0	0	1	2	document
import_history_record	import_history	domains::capability::operations::import_history + domains::import	record_plane	modules_may_add_import_producers_but_not_bypass_import_history_records	2	3	3	3	2	0	0	1	2	document
import_history_list	import_history	domains::capability::operations::import_history + domains::import	record_plane	modules_may_add_import_producers_but_not_bypass_import_history_records	2	3	3	3	2	0	0	1	2	document
import_history_inspect	import_history	domains::capability::operations::import_history + domains::import	record_plane	modules_may_add_import_producers_but_not_bypass_import_history_records	2	3	3	3	2	0	0	1	2	document
repository_tree_snapshot	repository_tree	domains::capability::operations::repository_tree + domains::repository	record_plane	modules_may_add_repository_scanners_but_not_bypass_tree_snapshot_records	2	3	3	3	2	0	0	1	2	document
repository_tree_list	repository_tree	domains::capability::operations::repository_tree + domains::repository	record_plane	modules_may_add_repository_scanners_but_not_bypass_tree_snapshot_records	2	3	3	3	2	0	0	1	2	document
repository_tree_inspect	repository_tree	domains::capability::operations::repository_tree + domains::repository	record_plane	modules_may_add_repository_scanners_but_not_bypass_tree_snapshot_records	2	3	3	3	2	0	0	1	2	document
import_preview_record	import_preview	domains::capability::operations::import_preview + domains::import	record_plane	modules_may_add_preview_producers_but_not_bypass_preview_records	2	3	3	3	2	0	0	1	2	document
import_preview_list	import_preview	domains::capability::operations::import_preview + domains::import	record_plane	modules_may_add_preview_producers_but_not_bypass_preview_records	2	3	3	3	2	0	0	1	2	document
import_preview_inspect	import_preview	domains::capability::operations::import_preview + domains::import	record_plane	modules_may_add_preview_producers_but_not_bypass_preview_records	2	3	3	3	2	0	0	1	2	document
program_execution_record	program_execution	domains::capability::operations::program_execution + domains::program_execution	record_plane	modules_may_add_execution_metadata_but_not_bypass_program_execution_records	2	3	3	3	2	0	0	1	2	document
program_execution_list	program_execution	domains::capability::operations::program_execution + domains::program_execution	record_plane	modules_may_add_execution_metadata_but_not_bypass_program_execution_records	2	3	3	3	2	0	0	1	2	document
program_execution_inspect	program_execution	domains::capability::operations::program_execution + domains::program_execution	record_plane	modules_may_add_execution_metadata_but_not_bypass_program_execution_records	2	3	3	3	2	0	0	1	2	document
prompt_artifact_record	prompt_artifacts	domains::capability::operations::prompt_artifacts + domains::prompt_artifacts	record_plane	modules_may_add_prompt_artifact_producers_but_not_bypass_artifact_custody	2	3	3	3	2	0	0	1	2	document
prompt_artifact_list	prompt_artifacts	domains::capability::operations::prompt_artifacts + domains::prompt_artifacts	record_plane	modules_may_add_prompt_artifact_producers_but_not_bypass_artifact_custody	2	3	3	3	2	0	0	1	2	document
prompt_artifact_inspect	prompt_artifacts	domains::capability::operations::prompt_artifacts + domains::prompt_artifacts	record_plane	modules_may_add_prompt_artifact_producers_but_not_bypass_artifact_custody	2	3	3	3	2	0	0	1	2	document
update_diagnostic_record	update_diagnostics	domains::capability::operations::update_diagnostics + domains::update_diagnostics	record_plane	modules_may_add_diagnostics_but_not_bypass_update_diagnostic_records	2	3	3	3	2	0	0	2	2	document
update_diagnostic_list	update_diagnostics	domains::capability::operations::update_diagnostics + domains::update_diagnostics	record_plane	modules_may_add_diagnostics_but_not_bypass_update_diagnostic_records	2	3	3	3	2	0	0	2	2	document
update_diagnostic_inspect	update_diagnostics	domains::capability::operations::update_diagnostics + domains::update_diagnostics	record_plane	modules_may_add_diagnostics_but_not_bypass_update_diagnostic_records	2	3	3	3	2	0	0	2	2	document
device_register	device	domains::capability::operations::device + domains::device	governance_locked	device_token_custody_requires_trusted_internal_transport	2	3	3	3	2	0	0	1	2	document
device_unregister	device	domains::capability::operations::device + domains::device	governance_locked	device_token_custody_requires_trusted_internal_transport	2	3	3	3	2	0	0	1	2	document
device_list	device	domains::capability::operations::device + domains::device	record_plane	modules_may_inspect_redacted_device_evidence_but_not_bypass_token_custody	2	3	3	3	2	0	0	1	2	document
device_inspect	device	domains::capability::operations::device + domains::device	record_plane	modules_may_inspect_redacted_device_evidence_but_not_bypass_token_custody	2	3	3	3	2	0	0	1	2	document
notification_send	notifications	domains::capability::operations::notifications + domains::notifications	governance_locked	delivery_policy_stays_server_governed_until_push_transport_policy_exists	2	3	3	3	2	0	0	1	2	document
notification_list	notifications	domains::capability::operations::notifications + domains::notifications	record_plane	modules_may_extend_notification_workflows_but_not_bypass_inbox_delivery_records	2	3	3	3	2	0	0	1	2	document
notification_inspect	notifications	domains::capability::operations::notifications + domains::notifications	record_plane	modules_may_extend_notification_workflows_but_not_bypass_inbox_delivery_records	2	3	3	3	2	0	0	1	2	document
notification_mark_read	notifications	domains::capability::operations::notifications + domains::notifications	record_plane	modules_may_extend_notification_workflows_but_not_bypass_inbox_delivery_records	2	3	3	3	2	0	0	1	2	document
notification_mark_all_read	notifications	domains::capability::operations::notifications + domains::notifications	record_plane	modules_may_extend_notification_workflows_but_not_bypass_inbox_delivery_records	2	3	3	3	2	0	0	1	2	document
procedural_definition_record	procedural	domains::capability::operations::procedural + domains::procedural	governance_locked	activation_framework_governs_future_learned_behavior	2	3	3	3	2	0	0	2	2	add_binding_policy
procedural_state_list	procedural	domains::capability::operations::procedural + domains::procedural	governance_locked	activation_framework_governs_future_learned_behavior	2	3	3	3	2	0	0	2	2	add_binding_policy
procedural_state_inspect	procedural	domains::capability::operations::procedural + domains::procedural	governance_locked	activation_framework_governs_future_learned_behavior	2	3	3	3	2	0	0	2	2	add_binding_policy
procedural_activation_request_record	procedural	domains::capability::operations::procedural + domains::procedural	governance_locked	activation_framework_governs_future_learned_behavior	2	3	3	3	2	0	0	2	2	add_binding_policy
procedural_activation_request_list	procedural	domains::capability::operations::procedural + domains::procedural	governance_locked	activation_framework_governs_future_learned_behavior	2	3	3	3	2	0	0	2	2	add_binding_policy
procedural_activation_request_inspect	procedural	domains::capability::operations::procedural + domains::procedural	governance_locked	activation_framework_governs_future_learned_behavior	2	3	3	3	2	0	0	2	2	add_binding_policy
procedural_activation_decision_record	procedural	domains::capability::operations::procedural + domains::procedural	governance_locked	activation_framework_governs_future_learned_behavior	2	3	3	3	2	0	0	2	2	add_binding_policy
procedural_activation_decision_list	procedural	domains::capability::operations::procedural + domains::procedural	governance_locked	activation_framework_governs_future_learned_behavior	2	3	3	3	2	0	0	2	2	add_binding_policy
procedural_activation_decision_inspect	procedural	domains::capability::operations::procedural + domains::procedural	governance_locked	activation_framework_governs_future_learned_behavior	2	3	3	3	2	0	0	2	2	add_binding_policy
schedule_create	scheduler	domains::capability::operations::scheduler + domains::scheduler	record_plane	modules_may_extend_scheduling_workflows_but_must_not_bypass_schedule_records	2	3	3	3	2	0	0	1	2	document
schedule_list	scheduler	domains::capability::operations::scheduler + domains::scheduler	record_plane	modules_may_extend_scheduling_workflows_but_must_not_bypass_schedule_records	2	3	3	3	2	0	0	1	2	document
schedule_inspect	scheduler	domains::capability::operations::scheduler + domains::scheduler	record_plane	modules_may_extend_scheduling_workflows_but_must_not_bypass_schedule_records	2	3	3	3	2	0	0	1	2	document
schedule_cancel	scheduler	domains::capability::operations::scheduler + domains::scheduler	record_plane	modules_may_extend_scheduling_workflows_but_must_not_bypass_schedule_records	2	3	3	3	2	0	0	1	2	document
schedule_fire_due	scheduler	domains::capability::operations::scheduler + domains::scheduler	record_plane	modules_may_extend_scheduling_workflows_but_must_not_bypass_schedule_records	2	3	3	3	2	0	0	1	2	document
tool_source_list	tool_sources	domains::capability::operations::tool_sources + domains::tool_sources	governance_locked	tool_source_provenance_is_inspect_only_and_not_an_execution_route	2	3	2	3	2	0	0	1	2	document
tool_source_inspect	tool_sources	domains::capability::operations::tool_sources + domains::tool_sources	governance_locked	tool_source_provenance_is_inspect_only_and_not_an_execution_route	2	3	2	3	2	0	0	1	2	document
subagent_launch	subagents	domains::capability::operations::subagents + domains::subagents	adapter_replaceable	future_subagent_adapter_requires_task_runtime_authority_merge_evidence_provider_safe_refs_replay_idempotency_and_rollback_disable_refs	2	3	3	3	2	2	1	2	3	shadow_trial
subagent_status	subagents	domains::capability::operations::subagents + domains::subagents	adapter_replaceable	future_subagent_adapter_requires_task_runtime_authority_merge_evidence_provider_safe_refs_replay_idempotency_and_rollback_disable_refs	2	3	3	3	2	2	1	2	3	shadow_trial
subagent_result	subagents	domains::capability::operations::subagents + domains::subagents	adapter_replaceable	future_subagent_adapter_requires_task_runtime_authority_merge_evidence_provider_safe_refs_replay_idempotency_and_rollback_disable_refs	2	3	3	3	2	2	1	2	3	shadow_trial
subagent_cancel	subagents	domains::capability::operations::subagents + domains::subagents	adapter_replaceable	future_subagent_adapter_requires_task_runtime_authority_merge_evidence_provider_safe_refs_replay_idempotency_and_rollback_disable_refs	2	3	3	3	2	2	1	2	3	shadow_trial
subagent_task_list	subagents	domains::capability::operations::subagents + domains::subagents	record_plane	modules_may_produce_subagent_task_evidence_but_not_bypass_task_custody	2	3	3	3	2	0	0	2	2	document
subagent_task_inspect	subagents	domains::capability::operations::subagents + domains::subagents	record_plane	modules_may_produce_subagent_task_evidence_but_not_bypass_task_custody	2	3	3	3	2	0	0	2	2	document
worker_package_list	worker_packages	domains::capability::operations::worker_packages + domains::workers	governance_locked	worker_package_lifecycle_inspection_is_governance	2	3	3	3	2	0	0	2	2	document
worker_package_inspect	worker_packages	domains::capability::operations::worker_packages + domains::workers	governance_locked	worker_package_lifecycle_inspection_is_governance	2	3	3	3	2	0	0	2	2	document
module_list	module_registry	domains::capability::operations::module_manifest + domains::module_registry	governance_locked	module_manifest_registry_governance_pipeline	3	3	3	3	3	0	0	2	3	none
module_inspect	module_registry	domains::capability::operations::module_manifest + domains::module_registry	governance_locked	module_manifest_registry_governance_pipeline	3	3	3	3	3	0	0	2	3	none
module_proposal_record	module_authoring	domains::capability::operations::module_authoring + domains::module_authoring	governance_locked	authoring_record_governance_pipeline	3	3	3	3	3	0	0	2	3	none
module_proposal_list	module_authoring	domains::capability::operations::module_authoring + domains::module_authoring	governance_locked	authoring_record_governance_pipeline	3	3	3	3	3	0	0	2	3	none
module_proposal_inspect	module_authoring	domains::capability::operations::module_authoring + domains::module_authoring	governance_locked	authoring_record_governance_pipeline	3	3	3	3	3	0	0	2	3	none
module_validation_record	module_validation	domains::capability::operations::module_validation + domains::module_validation	governance_locked	validation_gate_governance_pipeline	3	3	3	3	3	0	0	2	3	none
module_validation_list	module_validation	domains::capability::operations::module_validation + domains::module_validation	governance_locked	validation_gate_governance_pipeline	3	3	3	3	3	0	0	2	3	none
module_validation_inspect	module_validation	domains::capability::operations::module_validation + domains::module_validation	governance_locked	validation_gate_governance_pipeline	3	3	3	3	3	0	0	2	3	none
module_install_request_record	module_install	domains::capability::operations::module_install + domains::module_install	governance_locked	install_gate_governance_pipeline	3	3	3	3	3	0	0	2	3	none
module_install_request_list	module_install	domains::capability::operations::module_install + domains::module_install	governance_locked	install_gate_governance_pipeline	3	3	3	3	3	0	0	2	3	none
module_install_request_inspect	module_install	domains::capability::operations::module_install + domains::module_install	governance_locked	install_gate_governance_pipeline	3	3	3	3	3	0	0	2	3	none
module_install_decision_record	module_install	domains::capability::operations::module_install + domains::module_install	governance_locked	install_gate_governance_pipeline	3	3	3	3	3	0	0	2	3	none
module_install_decision_list	module_install	domains::capability::operations::module_install + domains::module_install	governance_locked	install_gate_governance_pipeline	3	3	3	3	3	0	0	2	3	none
module_install_decision_inspect	module_install	domains::capability::operations::module_install + domains::module_install	governance_locked	install_gate_governance_pipeline	3	3	3	3	3	0	0	2	3	none
module_dependency_request_record	module_dependencies	domains::capability::operations::module_dependencies + domains::module_dependencies	governance_locked	dependency_policy_governance_pipeline	3	3	3	3	3	0	0	2	3	none
module_dependency_request_list	module_dependencies	domains::capability::operations::module_dependencies + domains::module_dependencies	governance_locked	dependency_policy_governance_pipeline	3	3	3	3	3	0	0	2	3	none
module_dependency_request_inspect	module_dependencies	domains::capability::operations::module_dependencies + domains::module_dependencies	governance_locked	dependency_policy_governance_pipeline	3	3	3	3	3	0	0	2	3	none
module_dependency_decision_record	module_dependencies	domains::capability::operations::module_dependencies + domains::module_dependencies	governance_locked	dependency_policy_governance_pipeline	3	3	3	3	3	0	0	2	3	none
module_dependency_decision_list	module_dependencies	domains::capability::operations::module_dependencies + domains::module_dependencies	governance_locked	dependency_policy_governance_pipeline	3	3	3	3	3	0	0	2	3	none
module_dependency_decision_inspect	module_dependencies	domains::capability::operations::module_dependencies + domains::module_dependencies	governance_locked	dependency_policy_governance_pipeline	3	3	3	3	3	0	0	2	3	none
module_dependency_policy_activate	module_dependencies	domains::capability::operations::module_dependencies + domains::module_dependencies	governance_locked	dependency_policy_governance_pipeline	3	3	3	3	3	0	0	2	3	none
module_dependency_policy_list	module_dependencies	domains::capability::operations::module_dependencies + domains::module_dependencies	governance_locked	dependency_policy_governance_pipeline	3	3	3	3	3	0	0	2	3	none
module_dependency_policy_inspect	module_dependencies	domains::capability::operations::module_dependencies + domains::module_dependencies	governance_locked	dependency_policy_governance_pipeline	3	3	3	3	3	0	0	2	3	none
capability_binding_request_record	capability_binding	domains::capability::operations::capability_binding + domains::capability_binding	governance_locked	binding_policy_governance_pipeline	3	3	3	3	3	0	0	2	3	none
capability_binding_request_list	capability_binding	domains::capability::operations::capability_binding + domains::capability_binding	governance_locked	binding_policy_governance_pipeline	3	3	3	3	3	0	0	2	3	none
capability_binding_request_inspect	capability_binding	domains::capability::operations::capability_binding + domains::capability_binding	governance_locked	binding_policy_governance_pipeline	3	3	3	3	3	0	0	2	3	none
capability_binding_decision_record	capability_binding	domains::capability::operations::capability_binding + domains::capability_binding	governance_locked	binding_policy_governance_pipeline	3	3	3	3	3	0	0	2	3	none
capability_binding_decision_list	capability_binding	domains::capability::operations::capability_binding + domains::capability_binding	governance_locked	binding_policy_governance_pipeline	3	3	3	3	3	0	0	2	3	none
capability_binding_decision_inspect	capability_binding	domains::capability::operations::capability_binding + domains::capability_binding	governance_locked	binding_policy_governance_pipeline	3	3	3	3	3	0	0	2	3	none
capability_binding_policy_activate	capability_binding	domains::capability::operations::capability_binding + domains::capability_binding	governance_locked	binding_policy_governance_pipeline	3	3	3	3	3	0	0	2	3	none
capability_binding_policy_list	capability_binding	domains::capability::operations::capability_binding + domains::capability_binding	governance_locked	binding_policy_governance_pipeline	3	3	3	3	3	0	0	2	3	none
capability_binding_policy_inspect	capability_binding	domains::capability::operations::capability_binding + domains::capability_binding	governance_locked	binding_policy_governance_pipeline	3	3	3	3	3	0	0	2	3	none
capability_binding_cockpit_overview	capability_binding	domains::capability::operations::capability_binding + domains::capability_binding	governance_locked	binding_policy_governance_pipeline	3	3	3	3	3	0	0	3	3	none
capability_shadow_trial_request_record	capability_binding	domains::capability::operations::capability_binding + domains::capability_binding	governance_locked	shadow_trial_governance_pipeline	3	3	3	3	3	0	0	2	3	none
capability_shadow_trial_decision_record	capability_binding	domains::capability::operations::capability_binding + domains::capability_binding	governance_locked	shadow_trial_governance_pipeline	3	3	3	3	3	0	0	2	3	none
capability_shadow_trial_run_record	capability_binding	domains::capability::operations::capability_binding + domains::capability_binding	governance_locked	shadow_trial_governance_pipeline	3	3	3	3	3	0	0	2	3	none
