id	path	language	surface	owner	schema_or_path_mechanism	lock_or_transaction_behavior	generation_or_version_behavior	crash_restart_or_archive_behavior	verification	dsemd_rows
DSEMD-INV-015	packages/agent/src/shared/storage/maintenance.rs	Rust	shared_storage	shared-storage-owner	Retention/checkpoint/export/size budget helpers	Retention deletes and audit insert commit together	Records checkpoint/export/retention rows	Checkpoint runs after committed cleanup	shared::storage tests	DSEMD-3,DSEMD-4,DSEMD-8
DSEMD-INV-016	packages/agent/src/shared/storage/payloads.rs	Rust	shared_storage	shared-storage-owner	Content-addressed blob and payload-ref helpers	Owner ref upserts are DB writes on caller connection	Payload refs carry owner and retention class	Blob refs resolve through shared owner table	shared::storage tests	DSEMD-3,DSEMD-5,DSEMD-6
DSEMD-INV-017	packages/agent/src/shared/storage/stats.rs	Rust	shared_storage	shared-storage-owner	Storage stats and payload owner summaries	Read-only stats connection applies storage pragmas	Reads current shared schema	Reports WAL/SHM/blob/ref state	shared::storage tests	DSEMD-3,DSEMD-4,DSEMD-6
DSEMD-INV-018	packages/agent/src/shared/storage/tests.rs	Rust	shared_storage	shared-storage-owner	Focused corruption drill tests	Temp-dir/in-memory only	Tests generation marker and schema drift	Tests archive sidecars and retention ordering	shared::storage pass	DSEMD-2,DSEMD-3,DSEMD-4,DSEMD-8
DSEMD-INV-019	packages/agent/src/domains/session/event_store/sqlite/connection.rs	Rust	event_store	event-store-sqlite-owner	Event-store pool pragmas and integrity helper	WAL, busy timeout, foreign keys per pooled connection	No separate generation marker; uses unified DB	Integrity check surfaces corruption before writes	unit tests	DSEMD-2,DSEMD-3,DSEMD-6
DSEMD-INV-020	packages/agent/src/domains/session/event_store/sqlite/process_lock.rs	Rust	event_store	event-store-sqlite-owner	`tron.sqlite.lock` flock sidecar	Cross-process exclusive lock	No schema version	Prevents multiple daemons racing sequence allocation	unit tests	DSEMD-1,DSEMD-3
DSEMD-INV-021	packages/agent/src/domains/session/event_store/sqlite/migrations/mod.rs	Rust	event_store	event-store-sqlite-owner	Versioned event-store migration runner	Each migration runs in transaction	`schema_version` tracks v001 clean-break schema	FK check runs before migration commit	migration tests	DSEMD-2,DSEMD-6,DSEMD-8
DSEMD-INV-022	packages/agent/src/domains/session/event_store/sqlite/migrations/v001_schema.sql	SQL	event_store	event-store-sqlite-owner	Session/event/blob/log/trace schema	SQLite constraints and indexes	Single primitive clean-break migration	Rejects invalid row shapes through constraints	migration tests	DSEMD-2,DSEMD-6
DSEMD-INV-023	packages/agent/src/domains/session/event_store/store/event_store/mod.rs	Rust	event_store	event-store-owner	Transactional EventStore facade	Write methods run in one SQLite transaction	Event sequence is durable per session	Append-only event log except explicit delete_session	store tests	DSEMD-3,DSEMD-6
DSEMD-INV-024	packages/agent/src/domains/session/event_store/store/event_store/event_log.rs	Rust	event_store	event-store-owner	Event append and sequence allocation	Per-session lock plus transaction	Sequence allocated under lock and DB uniqueness	Crash before commit leaves no partial event	store tests	DSEMD-3,DSEMD-6
DSEMD-INV-025	packages/agent/src/domains/session/event_store/store/event_store/locking.rs	Rust	event_store	event-store-owner	Session/global write locks and busy retry	In-process mutexes plus retry policy	No schema version	Serializes write paths before SQLite contention	store tests	DSEMD-3,DSEMD-6
DSEMD-INV-026	packages/agent/src/domains/session/event_store/store/event_store/logs.rs	Rust	event_store	log-storage-owner	Bounded logs table access	Ingest/query through EventStore owner	Uses event-store schema	Log rows redacted/deduplicated before persistence	ODA tests	DSEMD-6,DSEMD-7
DSEMD-INV-027	packages/agent/src/domains/session/event_store/store/event_store/trace_log.rs	Rust	event_store	trace-storage-owner	Trace record append/update/query	Trace writes use EventStore connection owner	Uses event-store schema	Replay/debug rows are ordered and bounded	primitive trace tests	DSEMD-6
DSEMD-INV-028	packages/agent/src/domains/session/event_store/reconstruction/mod.rs	Rust	event_store	reconstruction-owner	Deterministic reconstruction over persisted events	Read-only over ordered event rows	Uses event-store payload types	Deleted/compacted events handled by durable history	reconstruction tests	DSEMD-6
DSEMD-INV-029	packages/agent/src/domains/session/replay/mod.rs	Rust	event_store	replay-owner	Replay manifest and session replay APIs	Read-only over event and engine rows	Manifest hashes version replay output	Crash/restart proof comes from durable row joins	DRC tests	DSEMD-6,DSEMD-8
DSEMD-INV-030	packages/agent/src/engine/durability/mod.rs	Rust	engine_durability	engine-durability-owner	Durability module ownership docs	No direct DB writes	Documents constructor storage validation	Progressive docs align with source	module docs	DSEMD-5
DSEMD-INV-031	packages/agent/src/engine/durability/ledger/sqlite_store/mod.rs	Rust	engine_durability	engine-ledger-owner	Ledger table schema and invocation/idempotency persistence	Constructor applies pragmas and shared schema first	Shared `storage_generation` plus owner tables	Reopen tests preserve durable ledger rows	durability tests	DSEMD-3,DSEMD-5,DSEMD-8
DSEMD-INV-032	packages/agent/src/engine/durability/queue/sqlite_store.rs	Rust	engine_durability	engine-queue-owner	Queue items, leases, attempts, retry lifecycle	Constructor applies pragmas and shared schema first	Shared `storage_generation` plus queue tables	At-least-once handoff survives reopen	durability tests	DSEMD-3,DSEMD-5
DSEMD-INV-033	packages/agent/src/engine/durability/streams/sqlite_store.rs	Rust	engine_durability	engine-stream-owner	Stream event cursors and subscriptions	Constructor applies pragmas and shared schema first	Shared `storage_generation` plus stream tables	Cursor ordering supports replay/poll restart	durability tests	DSEMD-3,DSEMD-5,DSEMD-6
DSEMD-INV-034	packages/agent/src/engine/durability/state.rs	Rust	engine_durability	engine-state-owner	Scoped state entries with revisions and CAS	Constructor applies pragmas and shared schema first	Shared `storage_generation` plus state table	CAS conflict prevents stale overwrite	durability tests	DSEMD-3,DSEMD-5
DSEMD-INV-035	packages/agent/src/engine/durability/resources/store/mod.rs	Rust	engine_durability	engine-resource-owner	Resource definitions/resources/versions/links/events	Constructor applies pragmas and shared schema first	Shared `storage_generation` plus resource tables	Version CAS preserves resource lineage	durability tests	DSEMD-3,DSEMD-5
DSEMD-INV-036	packages/agent/src/engine/authority/grants/mod.rs	Rust	engine_durability	grant-store-owner	Durable authority grants and budget events	Constructor applies pragmas and shared schema first	Shared `storage_generation` plus grant tables	Budget consumption is transactional	SACB and durability tests	DSEMD-3,DSEMD-5
DSEMD-INV-037	packages/agent/src/engine/authority/leases.rs	Rust	engine_durability	lease-store-owner	Resource lease rows	Constructor applies pragmas and shared schema first	Shared `storage_generation` plus lease table	Lease conflicts fail visibly	durability tests	DSEMD-3,DSEMD-5
DSEMD-INV-038	packages/agent/src/engine/authority/compensation.rs	Rust	engine_durability	compensation-store-owner	Compensation audit rows	Constructor applies pragmas and shared schema first	Shared `storage_generation` plus compensation table	Append/read semantics preserve audit record	durability tests	DSEMD-3,DSEMD-5
DSEMD-INV-039	packages/agent/src/engine/tests/durability/sqlite_storage_discipline.rs	Rust	engine_durability	engine-test-owner	Constructor discipline tests	Temp-dir SQLite fixtures only	Tests marker creation and drift refusal	Prevents owner tables over corrupt shared schema	durability pass	DSEMD-5,DSEMD-8
DSEMD-INV-040	packages/agent/src/engine/invocation/host/bootstrap.rs	Rust	engine_durability	engine-host-owner	SQLite host startup for ledger and primitive stores	Prepares storage, opens connection, checkpoints, hydrates catalog	Uses shared generation via StorageRuntime	Reopen path validates before host construction	SOL tests	DSEMD-3,DSEMD-5
DSEMD-INV-041	packages/agent/src/engine/primitives/stores.rs	Rust	engine_durability	primitive-store-owner	Bundles SQLite primitive stores under one path	Each store constructor owns its schema validation	Shared unified DB path	Prevents split DB ownership	engine substrate tests	DSEMD-1,DSEMD-5
DSEMD-INV-042	packages/agent/src/domains/settings/profile/mod.rs	Rust	profile_auth	settings-owner	Server authoritative settings docs	Settings writes serialized in SettingsStore	Profile schema version is profile-owned	Malformed settings fail fast	settings tests	DSEMD-1,DSEMD-7
DSEMD-INV-043	packages/agent/src/domains/settings/profile/storage/loader.rs	Rust	profile_auth	settings-loader-owner	Profile TOML loading and sparse overlay merge	Read-only load; writes elsewhere	Profile version owned by foundation profile	Malformed TOML fails instead of repairing	settings tests	DSEMD-1,DSEMD-7
DSEMD-INV-044	packages/agent/src/domains/settings/profile/store.rs	Rust	profile_auth	settings-store-owner	Atomic sparse user profile writes	Global write lock and temp-file persist	Profile version emitted in TOML	Failed validation preserves existing file	settings tests	DSEMD-1,DSEMD-3,DSEMD-7
DSEMD-INV-045	packages/agent/src/app/lifecycle/onboarding/mod.rs	Rust	profile_auth	auth-owner	Auth JSON bearer token initialization	Auth writes serialized through lock	Auth JSON schema owned by auth storage	Corrupt auth surfaces error/remediation	auth tests	DSEMD-1,DSEMD-7
DSEMD-INV-046	scripts/tron-lib.sh	Shell	script_cli	cli-runtime-owner	Canonical CLI `TRON_HOME` and DB path variables	Shell setup creates directories	No DB generation writes	Provides path used by logs/status/reset scripts	script audit	DSEMD-1,DSEMD-7
DSEMD-INV-047	scripts/tron.d/dev.sh	Shell	script_cli	dev-owner	Dev server background log and takeover flow	Stops installed service before binding	Uses canonical DB path via tron-lib	Reports health/listener JSON for automation	script audit	DSEMD-3,DSEMD-7
DSEMD-INV-048	scripts/tron-lib.d/logs.sh	Shell	script_cli	logs-owner	Bounded log query CLI	Read-only SQLite query	Uses current unified DB path	Does not mutate logs while reading	ODA tests	DSEMD-6,DSEMD-7
DSEMD-INV-049	scripts/tron-lib.d/service.sh	Shell	script_cli	service-owner	Status/start/stop/uninstall helpers	Service operations do not delete DB by default	Runtime state is preserved unless explicit flags	Status reports database path	script audit	DSEMD-1,DSEMD-7
DSEMD-INV-050	scripts/reset-db	Shell	script_cli	dev-reset-owner	Manual local DB reset helper	Explicit SQL deletes selected runtime tables	No generation migration; manual operator action	Prompts before destructive reset	script audit	DSEMD-4,DSEMD-7,DSEMD-8
DSEMD-INV-051	scripts/benchmarks/bench.py	Python	script_cli	benchmark-owner	Benchmark temp Tron home DB path	Temp fixture DB only	Uses canonical `tron.sqlite` inside fake home	Does not mutate real runtime DB	bench audit	DSEMD-1,DSEMD-7
DSEMD-INV-052	packages/ios-app/Sources/Engine/Persistence/SQLite/EventDatabase.swift	Swift	ios_projection	ios-persistence-owner	Local iOS projection SQLite DB	Serialized by iOS database actor	iOS projection schema only	Projection cache does not own server truth	iOS docs/tests	DSEMD-1,DSEMD-7
DSEMD-INV-053	packages/ios-app/Sources/Engine/Persistence/SQLite/Schema/DatabaseSchema.swift	Swift	ios_projection	ios-persistence-owner	iOS local projection schema/user_version	iOS SQLite transactions	Schema version is local projection only	Can rebuild from server truth	iOS docs/tests	DSEMD-1,DSEMD-7
DSEMD-INV-054	packages/ios-app/Sources/Support/Storage/PairedServerTokenStore.swift	Swift	ios_projection	ios-token-owner	Keychain paired token storage	Keychain write API	No server DB generation	Device credential custody separate from server auth	iOS tests	DSEMD-1,DSEMD-7
DSEMD-INV-055	packages/ios-app/docs/architecture.md	Markdown	ios_projection	ios-doc-owner	Thin-client/projection documentation	No runtime mutation	Local storage is projection/cache	Documents server-authoritative boundary	iOS docs	DSEMD-1,DSEMD-7
DSEMD-INV-056	packages/agent/docs/primitive-code-cleanup-file-inventory.tsv	TSV	predecessor_inventory	pcc-owner	PCC tracked-file inventory	No runtime mutation	Adds DSEMD tracked artifacts	Prevents PCC tracked-file drift	PCC invariant	DSEMD-0,DSEMD-8
DSEMD-INV-057	packages/agent/docs/true-primitive-cleanup-retention-inventory.tsv	TSV	predecessor_inventory	tpc-owner	TPC retained-source inventory	No runtime mutation	Adds DSEMD tracked artifacts	Prevents TPC tracked-source drift	TPC invariant	DSEMD-0,DSEMD-8
DSEMD-INV-058	packages/agent/docs/hierarchical-rearchitecture-file-inventory.tsv	TSV	predecessor_inventory	hra-owner	HRA tracked-file inventory	No runtime mutation	Adds DSEMD tracked artifacts	Prevents HRA inventory drift	HRA invariant	DSEMD-0,DSEMD-8
DSEMD-INV-059	packages/agent/docs/hierarchical-rearchitecture-current-ownership-map.tsv	TSV	predecessor_inventory	hra-owner	HRA current ownership map	No runtime mutation	Adds DSEMD tracked artifacts	Prevents HRA ownership drift	HRA invariant	DSEMD-0,DSEMD-8
DSEMD-INV-060	packages/agent/docs/off-plan-saa-authorship-teardown-cleanup-inventory.tsv	TSV	predecessor_inventory	opsaa-owner	OPSAA predecessor inventory	No runtime mutation	Classifies DSEMD as hardening, not SAA resurrection	Prevents successor scope drift	OPSAA invariant	DSEMD-0,DSEMD-8
DSEMD-INV-061	packages/agent/docs/performance-resource-governance-inventory.tsv	TSV	predecessor_inventory	perf-owner	PERF storage and retention inventory	No runtime mutation	Performance / Resource Governance extends DSEMD storage/WAL/retention proof	Prevents storage retention proof drift	PERF invariant	DSEMD-0,DSEMD-8
DSEMD-INV-062	packages/agent/docs/configuration-profile-environment-discipline-inventory.tsv	TSV	predecessor_inventory	cpe-owner	CPE settings/profile/env inventory	No runtime mutation	Configuration / Profile / Environment Discipline extends DSEMD profile/default seeding and malformed config proof	Prevents configuration storage drift	CPE invariant	DSEMD-0,DSEMD-8
DSEMD-INV-063	packages/agent/docs/release-install-upgrade-rollback-discipline-inventory.tsv	TSV	predecessor_inventory	riurd-owner	RIURD release/install inventory	No runtime mutation	Release / Install / Upgrade / Rollback Discipline extends DSEMD DB-lock, setup, uninstall, and rollback proof	Prevents release/install storage lifecycle drift	RIURD invariant	DSEMD-0,DSEMD-8
DSEMD-INV-064	packages/agent/docs/ios-thin-client-generic-runtime-shell-inventory.tsv	TSV	predecessor_inventory	iostc-owner	IOSTC local persistence inventory	No runtime mutation	iOS Thin Client / Generic Runtime Shell extends DSEMD local projection cache, SQLite schema, draft, paired-server, and sync-cursor proof	Prevents iOS cache ownership drift	IOSTC invariant	DSEMD-1,DSEMD-8
DSEMD-INV-065	packages/agent/docs/developer-experience-repo-hygiene-automation-scorecard.md	Markdown	predecessor_inventory	dxrha-owner	DXRHA workflow scorecard	No runtime mutation	Developer Experience / Repo Hygiene / Automation records setup, runtime-state, ignored-artifact, and generated-project discipline	Prevents contributor workflow storage drift	DXRHA invariant	DSEMD-0,DSEMD-8
DSEMD-INV-066	packages/agent/docs/developer-experience-repo-hygiene-automation-evidence-manifest.md	Markdown	predecessor_inventory	dxrha-owner	DXRHA evidence manifest	No runtime mutation	Developer Experience / Repo Hygiene / Automation records `git ls-files -ci --exclude-standard` and XcodeGen drift proof	Prevents ignored/generated storage artifact drift	DXRHA invariant	DSEMD-0,DSEMD-8
DSEMD-INV-067	packages/agent/docs/developer-experience-repo-hygiene-automation-inventory.md	Markdown	predecessor_inventory	dxrha-owner	DXRHA workflow inventory	No runtime mutation	Developer Experience / Repo Hygiene / Automation records setup, ignored_artifact, generated_project, and branch_handoff taxonomy	Prevents workflow state ownership drift	DXRHA invariant	DSEMD-0,DSEMD-8
DSEMD-INV-068	packages/agent/docs/developer-experience-repo-hygiene-automation-inventory.tsv	TSV	predecessor_inventory	dxrha-owner	DXRHA workflow TSV	No runtime mutation	Developer Experience / Repo Hygiene / Automation TSV records runtime-state and ignored-artifact workflow rows	Prevents workflow state ownership drift	DXRHA invariant	DSEMD-0,DSEMD-8
DSEMD-INV-069	packages/agent/tests/developer_experience_repo_hygiene_automation_invariants.rs	Rust	predecessor_inventory	dxrha-owner	DXRHA static gate	Test process only	Developer Experience / Repo Hygiene / Automation invariant source-checks README runtime-state docs and ignored-file audit	Prevents workflow storage drift	DXRHA invariant	DSEMD-0,DSEMD-8
DSEMD-INV-070	packages/agent/docs/documentation-evidence-scorecard-integrity-scorecard.md	Markdown	predecessor_inventory	desi-owner	DESI scorecard	No runtime mutation	Documentation / Evidence / Scorecard Integrity records storage docs and evidence integrity	Prevents storage documentation drift	DESI invariant	DSEMD-0,DSEMD-8
DSEMD-INV-071	packages/agent/docs/documentation-evidence-scorecard-integrity-evidence-manifest.md	Markdown	predecessor_inventory	desi-owner	DESI evidence manifest	No runtime mutation	Documentation / Evidence / Scorecard Integrity records DSEMD rerun and command proof	Prevents storage evidence drift	DESI invariant	DSEMD-0,DSEMD-8
DSEMD-INV-072	packages/agent/docs/documentation-evidence-scorecard-integrity-inventory.md	Markdown	predecessor_inventory	desi-owner	DESI inventory	No runtime mutation	Documentation / Evidence / Scorecard Integrity records active/historical doc classification	Prevents storage inventory drift	DESI invariant	DSEMD-0,DSEMD-8
DSEMD-INV-073	packages/agent/docs/documentation-evidence-scorecard-integrity-inventory.tsv	TSV	predecessor_inventory	desi-owner	DESI inventory TSV	No runtime mutation	Documentation / Evidence / Scorecard Integrity TSV records DSEMD artifacts and predecessor rows	Prevents storage inventory drift	DESI invariant	DSEMD-0,DSEMD-8
DSEMD-INV-074	packages/agent/tests/documentation_evidence_scorecard_integrity_invariants.rs	Rust	predecessor_inventory	desi-owner	DESI static gate	Test process only	Documentation / Evidence / Scorecard Integrity invariant source-checks evidence integrity and static target parity	Prevents storage docs drift	DESI invariant	DSEMD-0,DSEMD-8
DSEMD-INV-075	packages/agent/docs/self-sufficient-agent-runtime-readiness-scorecard.md	Docs	predecessor_inventory	ssarr-owner	SSARR readiness docs	Documentation only	Scorecard records migration policy as future prerequisite	Prevents storage readiness overclaims	SSARR invariant	DSEMD-0,DSEMD-8
DSEMD-INV-076	packages/agent/docs/self-sufficient-agent-runtime-readiness-evidence-manifest.md	Docs	predecessor_inventory	ssarr-owner	SSARR readiness evidence	Documentation only	Evidence records no storage migration changes	Prevents storage evidence drift	SSARR invariant	DSEMD-0,DSEMD-8
DSEMD-INV-077	packages/agent/docs/self-sufficient-agent-runtime-readiness-inventory.md	Docs	predecessor_inventory	ssarr-owner	SSARR readiness inventory	Documentation only	Inventory maps future migration policy risks for agent-authored state	Prevents unowned state storage claims	SSARR invariant	DSEMD-0,DSEMD-8
DSEMD-INV-078	packages/agent/docs/self-sufficient-agent-runtime-readiness-inventory.tsv	Docs	predecessor_inventory	ssarr-owner	SSARR readiness machine inventory	Documentation only	TSV records storage/resource/state surfaces as extension points	Prevents untracked storage-surface drift	SSARR invariant	DSEMD-0,DSEMD-8
DSEMD-INV-079	packages/agent/tests/self_sufficient_agent_runtime_readiness_invariants.rs	Rust	predecessor_inventory	ssarr-owner	SSARR static gate	Test process only	Invariant rejects unowned checked-in state and learned-memory stores	Prevents storage successor-feature resurrection	SSARR invariant	DSEMD-0,DSEMD-8
DSEMD-INV-080	packages/agent/docs/primitive-minimality-closure-scorecard.md	Docs	predecessor_inventory	pmc-owner	PMC minimality docs	Documentation only	Scorecard records storage and DB as no-change scope	Prevents storage minimality overclaims	PMC invariant	DSEMD-0,DSEMD-8
DSEMD-INV-081	packages/agent/docs/primitive-minimality-closure-evidence-manifest.md	Docs	predecessor_inventory	pmc-owner	PMC minimality evidence	Documentation only	Evidence records no storage migration changes	Prevents storage evidence drift	PMC invariant	DSEMD-0,DSEMD-8
DSEMD-INV-082	packages/agent/docs/primitive-minimality-closure-inventory.md	Docs	predecessor_inventory	pmc-owner	PMC minimality inventory	Documentation only	Inventory maps engine query helpers as retained audit substrate	Prevents unowned storage deletion claims	PMC invariant	DSEMD-0,DSEMD-8
DSEMD-INV-083	packages/agent/docs/primitive-minimality-closure-inventory.tsv	Docs	predecessor_inventory	pmc-owner	PMC minimality machine inventory	Documentation only	TSV records DB migrations as no-change scope	Prevents untracked storage-surface drift	PMC invariant	DSEMD-0,DSEMD-8
DSEMD-INV-084	packages/agent/tests/primitive_minimality_closure_invariants.rs	Rust	predecessor_inventory	pmc-owner	PMC static gate	Test process only	Invariant rejects DB migration expansion in the closure diff	Prevents storage successor-feature churn	PMC invariant	DSEMD-0,DSEMD-8
DSEMD-INV-085	packages/agent/src/engine/durability/resources/module_dependencies_definitions.rs	Rust	engine_durability	engine-resource-owner	module_dependency_request module_dependency_decision module_dependency_policy resource schemas	Append-only generic resource versions	Resource schema and payload versions are explicit and require provider-safe materialization	Prevents untracked storage schema drift without SQLite migration	Module-dependencies tests and DSEMD invariant	DSEMD-1,DSEMD-3,DSEMD-8
