path	language	surface	observed_signal	correlation_ids	redaction_boundary	retention_or_query_behavior	proof_target	oda_rows
packages/agent/src/domains/session/replay/mod.rs	rust	session_event	replay manifest export	sessionId eventId traceId invocationId idempotency key stream cursor queue receipt	error details normalized and hashes canonical	read-only manifest with section hashes	determinism_replayability_invariants	ODA-2,ODA-3,ODA-6,ODA-7
packages/agent/src/shared/protocol/model_audit.rs	rust	session_event	provider request audit DTO	sessionId providerType model	credential custody outside DTO	metadata audit event before provider stream	determinism_replayability provider audit tests	ODA-2,ODA-6
packages/agent/src/domains/agent/loop/turn_runner/persistence/mod.rs	rust	session_event	turn-runner persistence	sessionId workspaceId turn provider audit ids	event payload owner redaction policy	provider audit persisted before model response	DRC provider audit wiring	ODA-2,ODA-6
packages/agent/src/domains/agent/loop/turn_runner/mod.rs	rust	session_event	turn execution ordering	sessionId turn trace provider audit ids	provider errors mapped before event emission	audit persistence gates model response	agent runner provider audit tests	ODA-2,ODA-3,ODA-6
packages/agent/src/domains/model/responder/mod.rs	rust	session_event	provider request audit construction	sessionId providerType model	context and stream options normalized	audit built before respond stream opens	model responder tests	ODA-2,ODA-6
packages/agent/src/engine/durability/ledger/mod.rs	rust	engine_ledger	ledger trait and idempotency model	invocationId traceId sessionId idempotency key	no payload redaction at trait boundary	durable invocation and idempotency owner	ODA source guards	ODA-2,ODA-7
packages/agent/src/engine/durability/ledger/sqlite_store/mod.rs	rust	engine_ledger	SQLite ledger store	invocationId traceId parentInvocationId sessionId workspaceId idempotency key	errors stored as structured outcomes	session replay lists invocations and idempotency entries	primitive_trace_execution and DRC replay tests	ODA-2,ODA-7
packages/agent/src/engine/authority/grants/mod.rs	rust	engine_ledger	grant lifecycle and budget events	grantId invocationId functionId traceId	grant policy avoids credential payloads	grant events append lifecycle and budget consumption	SACB authority tests	ODA-3,ODA-7
packages/agent/src/engine/durability/queue/mod.rs	rust	engine_ledger	queue model and attempt records	queue receipt invocationId traceId attempt ids	payload hashes in replay queue rows	status retry dead-letter cancellation retained	SOL and DRC queue tests	ODA-3,ODA-7
packages/agent/src/engine/durability/queue/sqlite_store.rs	rust	engine_ledger	SQLite queue persistence	queue receipt sessionId workspaceId invocationId	attempt payload stored under engine owner	replay order stable by queue created_at receipt_id	DRC replay ordering tests	ODA-3,ODA-7
packages/agent/src/engine/durability/streams/mod.rs	rust	engine_ledger	stream model	streamId cursor topic traceId sessionId workspaceId	payload hashes in replay stream rows	cursor ordered stream history	SOL and DRC stream tests	ODA-2,ODA-7
packages/agent/src/engine/catalog/registry/catalog_changes.rs	rust	engine_ledger	catalog change audit	catalogRevision workerId functionId	provenance not credential payloads	catalog changes persisted by ledger	ODA source guards	ODA-7
packages/agent/src/engine/runtime/triggers.rs	rust	engine_ledger	trigger and enqueue decisions	triggerId invocationId queue receipt traceId	errors recorded through trigger runtime	enqueue decisions publish queue lifecycle event	CSD and SOL runtime tests	ODA-3,ODA-7
packages/agent/src/transport/runtime/queue_drainer.rs	rust	engine_ledger	queue delivery runtime	queue receipt invocationId attempt ids	traceId from queued invocation	delivery attempts retained on queue item	CSD and SOL queue tests	ODA-3,ODA-7
packages/ios-app/Sources/Engine/Protocol/System/EngineProtocolTypes+System.swift	swift	client_diagnostics	log DTOs and params	log id sessionId workspaceId traceId	client DTO excludes bearer token fields	optional filter params preserve existing callers	LogsClientTests	ODA-4,ODA-5
packages/ios-app/Sources/Engine/Transport/Clients/LogsClient.swift	swift	client_diagnostics	iOS logs client	sessionId workspaceId traceId filters	no diagnostics product API or token exposure	limit clamped before engine read	LogsClientTests and source guards	ODA-4,ODA-5
packages/ios-app/Sources/Support/Diagnostics/DiagnosticsBundleTypes.swift	swift	client_diagnostics	diagnostics bundle DTOs	log id hash session hash workspace hash trace hash	messages redacted and IDs hashed	bounded bundle fields only	DiagnosticsBundleBuilderTests	ODA-5
packages/ios-app/Sources/Support/Diagnostics/DiagnosticsBundleBuilder.swift	swift	client_diagnostics	user-initiated diagnostics attachment	session hash workspace hash trace hash origin hash	DiagnosticsRedactor and hash boundary	max iOS logs server logs sessions events MetricKit bytes	DiagnosticsBundleBuilderTests	ODA-5
packages/ios-app/Sources/Support/Diagnostics/ClientLogIngestionService.swift	swift	client_diagnostics	client log ingestion planner	idempotency request id log fingerprint	DiagnosticsRedactor before send	self-feeding logs::ingest chatter filtered	ClientLogIngestionServiceTests	ODA-4,ODA-5
packages/ios-app/Sources/Support/Diagnostics/DiagnosticsRedactor.swift	swift	client_diagnostics	iOS diagnostics redaction	none for secrets	redacts bearer API OAuth paths	auth and path redaction parity	DiagnosticsRedactorTests	ODA-5
packages/ios-app/Sources/Support/Diagnostics/TronLogger.swift	swift	client_diagnostics	local in-memory client logs	timestamp category level	no durable secret storage and redaction before OS log	bounded recent log reads	TronLoggerTests	ODA-4,ODA-5
packages/ios-app/Sources/Support/Composition/DependencyContainer.swift	swift	client_diagnostics	production diagnostics endpoint	sessionId workspaceId traceId from logs result	active server metadata token-free	recent server logs fetched only when connected	DiagnosticsBundleBuilderTests	ODA-5
packages/ios-app/Tests/Infrastructure/Guards/SourceGuardTests+BuildAndProject.swift	swift	static_gate	iOS diagnostics source guards	logs::ingest and diagnostics endpoint	no system::get_diagnostics and no diagnostics loop	source guard for logs and diagnostics	SourceGuardTests	ODA-4,ODA-5
packages/ios-app/Tests/Support/Diagnostics/DiagnosticsBundleBuilderTests.swift	swift	static_gate	diagnostics bundle regression tests	session workspace trace raw and hash values	raw IDs absent and hashes present	bounded bundle fixture tests	DiagnosticsBundleBuilderTests	ODA-5
packages/ios-app/Tests/Engine/Transport/Clients/LogsClientTests.swift	swift	static_gate	iOS logs client regression tests	sessionId workspaceId traceId filters	no token fields in DTO	focused client DTO tests	LogsClientTests	ODA-4
packages/mac-app/Sources/MenuBar/Presentation/MenuBarLogReader.swift	swift	mac_diagnostics	Mac logs window reader	log id sessionId workspaceId traceId	bearer token only in Authorization header from token reader	bounded logs::recent request	MenuBarLogReaderTests	ODA-4,ODA-5
packages/mac-app/Tests/MenuBar/Presentation/MenuBarLogReaderTests.swift	swift	static_gate	Mac logs reader tests	sessionId workspaceId traceId decoded	no secret fixture values	focused decode and format tests	MenuBarLogReaderTests	ODA-4
packages/mac-app/Sources/Support/Diagnostics/DiagnosticsRedactor.swift	swift	mac_diagnostics	Mac diagnostics redaction	none for secrets	redacts bearer API OAuth paths	redaction parity with iOS	DiagnosticsRedactorTests	ODA-5
packages/mac-app/Sources/Support/Feedback/FeedbackComposer.swift	swift	mac_diagnostics	Mac feedback issue composer	server description and recent logs	logs redacted before issue body	URL length bounded with clipboard fallback	FeedbackComposerTests	ODA-5
scripts/tron-lib.d/logs.sh	shell	cli_diagnostics	CLI log query	sessionId workspaceId traceId	exact SQL literal quoting and no auth reads	limit validated and JSON rows machine-readable	ODA source guards	ODA-4,ODA-8
scripts/tron-lib.d/service.sh	shell	cli_diagnostics	status JSON and dev diagnostics	listenerPid pidFilePid devLaunchdLabel	no secrets emitted	status JSON bounded to service state	ODA source guards	ODA-8
packages/ios-app/docs/architecture.md	markdown	client_diagnostics	iOS architecture docs	hashed server-log correlation IDs	no secrets by documentation scope	progressive docs for diagnostics boundary	SourceGuardTests and ODA guards	ODA-5,ODA-9
packages/agent/docs/performance-resource-governance-evidence-manifest.md	Markdown	predecessor_inventory	PERF resource-boundary evidence	branch commit verification commands	existing redaction and error surfaces	Performance / Resource Governance extends ODA bounded diagnostics proof	PERF invariant	ODA-4,ODA-8
