id	path	surface_kind	owner	readiness_dimension	current_extension_point	future_scope	implementation_state	risk_or_blocker	proof	evidence_policy	scorecard_rows
SSARR-INV-033	packages/agent/docs/off-plan-saa-authorship-teardown-cleanup-evidence-manifest.md	historical_evidence	opsaa-docs-owner	historical_quarry_classification	Historical cleanup evidence for removed off-plan SAA/generated-worker work	Retained only as provenance for deleted stale successor feature chain	historical_evidence	Historical wording can be mistaken for current architecture	OPSAA evidence explicitly says stale branches are not completion evidence	Allowed historical evidence with classification	SSARR-0,SSARR-8
SSARR-INV-034	packages/agent/docs/off-plan-saa-authorship-teardown-cleanup-scorecard.md	historical_evidence	opsaa-docs-owner	historical_quarry_classification	Closed cleanup scorecard for removed off-plan SAA current-architecture claims	Future self-adapting-agent work remains successor/readiness scope	historical_evidence	Contains SAA terms by design	OPSAA invariant classifies and guards against resurrection	Historical cleanup scorecard retained as evidence	SSARR-0,SSARR-8
SSARR-INV-035	packages/agent/docs/primitive-engine-teardown-scorecard.md	historical_future_readiness	pet-docs-owner	historical_quarry_classification	PET future-readiness wording names self-adapting agent learned rules memory and generated workers	Retained as historical teardown readiness context not implementation proof	historical_evidence	Future wording could be read as current completion	SSARR inventory classifies PET wording and negative guards reject implementation claims	Historical scorecard remains provenance	SSARR-1,SSARR-3,SSARR-8
SSARR-INV-036	packages/agent/docs/primitive-engine-teardown-evidence-manifest.md	historical_future_readiness	pet-docs-owner	historical_quarry_classification	PET evidence records successor work as out of teardown scope	Retained as historical evidence for why SSARR is readiness only	historical_evidence	Old evidence includes future successor terms	PET evidence states successor work owns self-adapting construction learned rules memory and generated workers	Allowed historical evidence with classification	SSARR-0,SSARR-8
SSARR-INV-037	packages/agent/docs/ios-thin-client-generic-runtime-shell-inventory.md	ios_successor_guard	iostc-docs-owner	public_protocol_ios_shell	IOSTC inventory rejects self-adapting-agent UI and fixed product panels	Future successor UI must remain generic or receive separate scorecard	static_gate	Successor UI wording can look like product scope	IOSTC invariant and SSARR term guard classify this as forbidden-successor wording	Active current iOS guard docs	SSARR-7,SSARR-8
SSARR-INV-038	packages/agent/docs/provider-model-boundary-discipline-scorecard.md	provider_boundary_docs	pmbd-docs-owner	tool_synthesis	PMBD quarantines stale SAA/generated-worker chain and excludes Self-Sufficient Runtime work	Provider boundary remains current while successor work is out of scope	historical_evidence	Lineage wording could be mistaken for SSARR completion	PMBD scorecard explicitly says SSARR work is not continued there	Historical lineage classification	SSARR-0,SSARR-4,SSARR-8
SSARR-INV-039	packages/agent/docs/public-protocol-api-contract-discipline-scorecard.md	protocol_docs	ppacd-docs-owner	tool_synthesis	PPACD says public protocol hardening does not implement self-adapting behavior or generated workers	Public protocol remains narrow and versioned for future work	historical_evidence	Protocol readiness wording can overclaim implementation	PPACD scorecard scope exclusions are source evidence	Historical predecessor proof	SSARR-4,SSARR-7,SSARR-8
SSARR-INV-040	packages/agent/docs/data-integrity-storage-evolution-migration-discipline-scorecard.md	storage_docs	dsemd-docs-owner	agent_authored_state	DSEMD excludes self-adapting features generated worker execution and public launch behavior	Storage migration discipline is precondition only	historical_evidence	Storage readiness can be misread as feature support	DSEMD scorecard scope exclusion is explicit	Historical predecessor proof	SSARR-5,SSARR-6,SSARR-8
SSARR-INV-041	packages/agent/docs/release-install-upgrade-rollback-discipline-scorecard.md	release_docs	riurd-docs-owner	historical_quarry_classification	RIURD quarantines later-looking self-sufficient runtime branches as non-evidence	Release/install work remains manual-only and not successor feature work	historical_evidence	Branch wording can be mistaken for completion	RIURD scorecard stale branch note is explicit	Historical predecessor proof	SSARR-0,SSARR-8
SSARR-INV-042	packages/agent/docs/primitive-minimality-closure-scorecard.md	scorecard	pmc-docs-owner	static_gates_docs	Closed minimality closure scorecard after SSARR	Future feature work must not treat PMC as successor implementation approval	static_gate	Scorecard can drift from evidence if not parsed	PMC invariant checks weighted rows	Scorecard is active current PMC artifact	SSARR-0,SSARR-8,SSARR-9
SSARR-INV-043	packages/agent/docs/primitive-minimality-closure-evidence-manifest.md	evidence_manifest	pmc-docs-owner	static_gates_docs	Source audit removal batches failed-attempt record and residual risks	Evidence must record actual commands and no placeholders	static_gate	Evidence drift can overclaim verification	PMC invariant checks required command strings and no placeholders	Evidence is active current closeout proof	SSARR-0,SSARR-8,SSARR-9
SSARR-INV-044	packages/agent/docs/primitive-minimality-closure-inventory.md	inventory	pmc-docs-owner	static_gates_docs	Minimality closure controlled vocabulary and retained-contract notes	Inventory must distinguish removed helper residue from retained contracts	static_gate	Inventory drift can misclassify historical evidence as current behavior	PMC invariant checks vocabulary and matrix markers	Inventory is active current classification	SSARR-1,SSARR-8,SSARR-9
SSARR-INV-045	packages/agent/docs/primitive-minimality-closure-inventory.tsv	inventory	pmc-docs-owner	static_gates_docs	Machine-readable PMC inventory with removed retained and static-gate rows	Every PMC row and retained contract class must have coverage	static_gate	TSV schema drift would weaken source-backed classification	PMC invariant parses header vocab rows and coverage	Machine inventory is active current proof	SSARR-1,SSARR-8,SSARR-9
SSARR-INV-046	packages/agent/tests/primitive_minimality_closure_invariants.rs	invariant_test	pmc-test-owner	static_gates_docs	Static and source-backed PMC guard over artifacts deleted helpers retained contracts and parity	Future minimality wording and artifacts must be classified or rejected	static_gate	Guard vocabulary needs updates for new closure terms	cargo test --test primitive_minimality_closure_invariants	Focused invariant is closeout proof	SSARR-8,SSARR-9,SSARR-10
