id	old_path_patterns	feature_family	classification	current_replacement	user_value_hypothesis	modern_interpretation	data_authority_owner	functional_without_agent_backend	future_slice_order	evidence_source	validation_requirement	phase2_bucket_refs	scorecard_rows
IARM-SURFACE-011	packages/ios-app/Sources/Services/Audio/;packages/ios-app/Sources/Views/VoiceNotes/;packages/ios-app/Sources/ViewModels/Chat/ChatViewModel+Transcription.swift;packages/ios-app/Sources/ViewModels/Handlers/TranscriptionCoordinator.swift	voice notes dictation and audio capture	phase1_local_native	none	Voice input is a useful low-friction signal for mobile agent interaction.	Rebuild as simple platform-native dictation or local audio capture first; defer server transcription/model management until Phase 2.	iOS platform audio	yes	phase1_slice_2	git diff old reference to HEAD	Swift audio/coordinator tests plus simulator and physical-device microphone validation	BPRC-FEATURE-13	IARM-1,IARM-4,IARM-5
IARM-SURFACE-012	packages/ios-app/Sources/Views/Attachments/;packages/ios-app/Sources/Models/Features/Attachment.swift;packages/ios-app/Sources/Models/Features/AttachmentCapability.swift;packages/ios-app/Sources/Models/Share/SharedContent.swift	attachments camera and document affordances	phase1_local_native	packages/ios-app/Sources/Session/Attachments;packages/ios-app/Sources/UI/Chat/Composer	Attachments are daily-use input affordances and can be functional without new agent capabilities.	Use current attachment model; review camera/document sheet ergonomics through the composer menu slice.	iOS session attachments	yes	phase1_slice_1	git diff old reference to HEAD	attachment picker/input tests plus simulator screenshots	not_applicable	IARM-2,IARM-4
IARM-SURFACE-013	packages/ios-app/Sources/Views/InputBar/;packages/ios-app/Sources/ViewModels/State/InputBarState.swift;packages/ios-app/Sources/ViewModels/State/PullUpPanelState.swift	composer menu pull-up and input affordances	phase1_local_native	packages/ios-app/Sources/UI/Chat/Composer;packages/ios-app/Sources/Session/Chat/State	Input menu, pull-up affordances, mentions, queued chips, and action buttons are the first Phase 1 UX review target.	Rebuild a minimal composer menu that exposes only functional current actions and approved review-only concepts.	iOS chat composer	yes	phase1_slice_1	git diff old reference to HEAD	composer state/view tests plus iPhone and iPad screenshots	BPRC-FEATURE-08;BPRC-FEATURE-11	IARM-4,IARM-6
IARM-SURFACE-014	packages/ios-app/Sources/Views/Chat/;packages/ios-app/Sources/ViewModels/Chat/;packages/ios-app/Sources/ViewModels/Handlers/;packages/ios-app/Sources/ViewModels/Managers/;packages/ios-app/Sources/ViewModels/State/ChatSheet.swift;packages/ios-app/Sources/ViewModels/State/ContextTrackingState.swift;packages/ios-app/Sources/ViewModels/State/ContextRefreshGate.swift;packages/ios-app/Sources/ViewModels/State/DisplayStreamState.swift;packages/ios-app/Sources/ViewModels/State/ModelPickerState.swift;packages/ios-app/Sources/ViewModels/State/OnboardingSetupSnapshot.swift;packages/ios-app/Sources/ViewModels/State/OnboardingState.swift;packages/ios-app/Sources/ViewModels/State/SettingsState.swift;packages/ios-app/Sources/ViewModels/State/SheetReadOnlyPolicy.swift;packages/ios-app/Sources/ViewModels/State/StreamingRecoverySnapshot.swift;packages/ios-app/Sources/ViewModels/State/ThinkingDetailState.swift;packages/ios-app/Sources/ViewModels/State/ThinkingState.swift;packages/ios-app/Sources/ViewModels/Utilities/MessageIndex.swift;packages/ios-app/Sources/ViewModels/Utilities/MessageFinder.swift;packages/ios-app/Sources/Models/Features/DraftMetadata.swift	chat shell state coordinators and timeline	superseded_current_shell	packages/ios-app/Sources/Session/Chat;packages/ios-app/Sources/UI/Chat	Chat shell behavior was rebuilt around current session/coordinator owners.	Use current shell as the base; review only visual cues and local affordance gaps, not legacy orchestration.	iOS chat shell	yes	phase1_slice_4	git diff old reference to HEAD	chat view model and UI tests for actual changes	BPRC-FEATURE-08;BPRC-FEATURE-20	IARM-2,IARM-4
IARM-SURFACE-015	packages/ios-app/Sources/Models/Messages/;packages/ios-app/Sources/Models/Tokens/;packages/ios-app/Sources/Models/Features/ThinkingBlock.swift;packages/ios-app/Sources/Views/MessageBubble/;packages/ios-app/Sources/Views/Capabilities/CapabilityInvocationDetailComponents.swift;packages/ios-app/Sources/Views/Capabilities/CapabilityInvocationViews.swift;packages/ios-app/Sources/Views/Capabilities/CapabilityResultRenderers.swift;packages/ios-app/Sources/Views/Capabilities/Shared/;packages/ios-app/Sources/Views/Capabilities/Thinking/	message bubbles capability evidence and thinking views	superseded_current_shell	packages/ios-app/Sources/Session/Timeline;packages/ios-app/Sources/UI/Capabilities;packages/ios-app/Sources/UI/Chat/Messages	Generic chat evidence and capability rendering are current supported surfaces.	Polish visual treatment only; do not revive fixed capability identity beyond current server facts.	iOS timeline rendering	yes	phase1_slice_4	git diff old reference to HEAD	timeline reconstruction and capability rendering tests	BPRC-FEATURE-20;BPRC-FEATURE-21	IARM-2,IARM-4
IARM-SURFACE-016	packages/ios-app/Sources/Views/Components/;packages/ios-app/Sources/Views/Chat/Indicators/	shared visual cues components and indicators	phase1_local_native	packages/ios-app/Sources/UI/Components;packages/ios-app/Sources/UI/Chat/Messages/Indicators	Shared visual cues are useful if they clarify agent status without adding policy.	Review for minimal utility: status, loading, thinking, toasts, search, segmented controls, and motion restraint.	iOS UI components	yes	phase1_slice_4	git diff old reference to HEAD	component tests and simulator screenshots	not_applicable	IARM-2,IARM-4,IARM-6
IARM-SURFACE-017	packages/ios-app/Sources/Views/Settings/;packages/ios-app/Sources/Views/Onboarding/	settings onboarding provider model and pairing affordances	phase1_server_fact	packages/ios-app/Sources/UI/Settings;packages/ios-app/Sources/UI/Onboarding	Settings and onboarding are current functional surfaces and important for real users.	Polish current flows over server snapshots, pairing state, and provider/model facts only.	iOS settings and pairing	yes	phase1_slice_5	git diff old reference to HEAD	settings/onboarding tests plus simulator screenshots	BPRC-FEATURE-23	IARM-2,IARM-4
IARM-SURFACE-018	packages/ios-app/Sources/Views/System/	system diagnostics detail sheets	phase1_server_fact	packages/ios-app/Sources/UI/System;packages/ios-app/Sources/Support/Diagnostics	Logs and provider/system details help users understand the local agent system.	Keep functional diagnostics; defer memory/worktree/compaction controls unless current server facts support them.	iOS diagnostics and server facts	yes	phase1_slice_5	git diff old reference to HEAD	diagnostics/log tests plus screenshots	BPRC-FEATURE-05;BPRC-FEATURE-10;BPRC-FEATURE-18	IARM-2,IARM-4,IARM-5
IARM-SURFACE-019	packages/ios-app/Sources/Views/Notifications/;packages/ios-app/Sources/Services/NotificationStore.swift;packages/ios-app/Sources/Services/Notifications/;packages/ios-app/Sources/Views/Capabilities/NotificationDelivery/;packages/ios-app/Sources/Views/MessageBubble/NotificationViews.swift;packages/ios-app/Sources/ViewModels/Handlers/ChatNotificationCoordinator.swift	notification inbox and delivery affordances	phase1_review_only	none	Notifications may be useful as a local attention and event-review surface.	Review a local inbox concept first; do not fake APNs or server device-broker behavior.	iOS local notification state	review	phase1_slice_6	git diff old reference to HEAD	local-only tests if approved; APNs tests deferred	BPRC-FEATURE-12	IARM-4,IARM-5,IARM-6
IARM-SURFACE-020	packages/ios-app/Sources/Views/PromptLibrary/;packages/ios-app/Sources/ViewModels/State/PromptLibraryState.swift	prompt history and snippet affordances	phase1_review_only	none	Prompt snippets can speed repeated mobile workflows if kept private and simple.	Review local or resource-backed snippets from first principles; do not restore old prompt-library API by default.	iOS local state or future resource owner	review	phase1_slice_3	git diff old reference to HEAD	prompt state/view tests after approved design	BPRC-FEATURE-11	IARM-4,IARM-6
IARM-SURFACE-021	packages/ios-app/Sources/Views/Skills/;packages/ios-app/Sources/Services/Storage/SkillStore.swift;packages/ios-app/Sources/Models/Features/Rules.swift;packages/ios-app/Sources/Models/Features/Skill.swift	skills sheets badges and mention concepts	phase1_review_only	none	Skill-like sheets may be useful as a way to inspect adaptable agent capabilities.	Review the concept through current catalog/resources; real skill activation is Phase 2.	future skill or catalog owner	review	phase1_slice_1	git diff old reference to HEAD	static no-fake-skill guard plus future module tests	BPRC-FEATURE-10;BPRC-FEATURE-14	IARM-4,IARM-5,IARM-6
IARM-SURFACE-022	packages/ios-app/Sources/Views/AgentControl/;packages/ios-app/Sources/Views/AuditDetails/;packages/ios-app/Sources/ViewModels/State/AuditDetailsState.swift;packages/ios-app/Sources/ViewModels/State/AuditDetailsWorkerArtifactProjection.swift;packages/ios-app/Sources/ViewModels/State/AuditDetailsWorkerPackProjection.swift	agent control audit and cockpit predecessor surfaces	phase2_agent_execution	packages/ios-app/Sources/UI/AgentCockpit;packages/ios-app/Sources/UI/RuntimeSurfaces	Old agent-control panels mixed context, skills, rules, memory, source control, analytics, and worker artifacts.	Use current Agent cockpit and runtime surfaces; restore only module-backed facts or approved local affordance fragments.	server resources and future modules	no	phase2_full_plan	git diff old reference to HEAD	worker/resource UI tests after module contracts	BPRC-FEATURE-01;BPRC-FEATURE-06;BPRC-FEATURE-10;BPRC-FEATURE-19	IARM-2,IARM-5
IARM-SURFACE-023	packages/ios-app/Sources/Views/EngineApproval/;packages/ios-app/Sources/ViewModels/State/EngineApprovalState.swift;packages/ios-app/Sources/ViewModels/Handlers/EngineApprovalCoordinator.swift	approval and freshness workflows	phase2_agent_execution	none	Approvals are important but must represent durable authority decisions.	Restore only after server approval resources with expiry, scope, requester, and evidence exist.	server authority resources	no	phase2_full_plan	git diff old reference to HEAD	server authority tests plus iOS decoder/view tests	BPRC-FEATURE-09	IARM-5
IARM-SURFACE-024	packages/ios-app/Sources/Views/Process/;packages/ios-app/Sources/Views/Capabilities/Process/;packages/ios-app/Sources/ViewModels/State/ProcessState.swift;packages/ios-app/Sources/ViewModels/Chat/ChatViewModel+ProcessEvents.swift	process jobs and terminal-like surfaces	phase2_agent_execution	none	Process visibility is useful only if backed by durable jobs and cancellation.	Do not restore process UI until job resources, streams, and authority are implemented.	server job resources	no	phase2_full_plan	git diff old reference to HEAD	job/process server tests plus iOS stream tests	BPRC-FEATURE-03;BPRC-FEATURE-15	IARM-5
IARM-SURFACE-025	packages/ios-app/Sources/Views/SourceChanges/;packages/ios-app/Sources/Views/System/WorktreeStatusView.swift;packages/ios-app/Sources/Views/AgentControl/SourceControlCardState.swift;packages/ios-app/Sources/Views/AgentControl/SourceControlSheet.swift;packages/ios-app/Sources/ViewModels/State/GitWorkflowState.swift;packages/ios-app/Sources/ViewModels/State/GitTileGating.swift;packages/ios-app/Sources/ViewModels/State/WorktreeIsolationState.swift;packages/ios-app/Sources/ViewModels/State/WorktreeStatusCache.swift;packages/ios-app/Sources/ViewModels/Chat/ChatViewModel+Repo.swift;packages/ios-app/Sources/ViewModels/Chat/ChatViewModel+Worktree.swift;packages/ios-app/Sources/Utilities/GitHubURLParser.swift	source changes git worktree and repo affordances	phase2_agent_execution	none	Source-control UI is valuable but cannot be truthful without server worktree state; Slice 6D adds only backend local branch-start candidate evidence, not native UI.	Restore as a resource-backed worktree graph after git/worktree module contracts exist.	server worktree and git modules	no	phase2_full_plan	git diff old reference to HEAD	git/worktree server tests plus iOS source-control tests	BPRC-FEATURE-05;BPRC-FEATURE-16	IARM-5
IARM-SURFACE-026	packages/ios-app/Sources/Views/Subagents/;packages/ios-app/Sources/ViewModels/State/SubagentState.swift;packages/ios-app/Sources/ViewModels/State/SubagentEventFormatter.swift;packages/ios-app/Sources/ViewModels/Chat/ChatViewModel+SubagentEvents.swift	subagent chips details and result affordances	phase2_agent_execution	none	Subagent state is a key future signal for parallel autonomous work.	Restore after subagents are durable jobs/workers with parent-child causality and result resources.	server subagent orchestration	no	phase2_full_plan	git diff old reference to HEAD	subagent server tests plus iOS projection tests	BPRC-FEATURE-07	IARM-5
IARM-SURFACE-027	packages/ios-app/Sources/Views/UserInteraction/;packages/ios-app/Sources/ViewModels/State/UserInteractionState.swift;packages/ios-app/Sources/ViewModels/Handlers/UserInteractionCoordinator.swift;packages/ios-app/Sources/ViewModels/Chat/ChatViewModel+UserInteraction.swift	user questions and interaction sheets	phase2_agent_execution	packages/ios-app/Sources/Engine/Protocol/Interaction	User-question UX is important but must be backed by typed request/answer state.	Restore when goal/queue/question resources exist; avoid local-only fake agent questions.	server goal and question resources	no	phase2_full_plan	git diff old reference to HEAD	server interaction tests plus iOS answer-flow tests	BPRC-FEATURE-08	IARM-5
IARM-SURFACE-028	packages/ios-app/Sources/Views/Work/;packages/ios-app/Sources/ViewModels/State/WorkDashboardState.swift;packages/ios-app/Sources/ViewModels/State/MessageQueueState.swift	work dashboard goals queues and progress	phase2_agent_execution	none	A work dashboard is useful only if it reflects durable goals, queues, and snapshots.	Restore after goal and queue resources exist; Phase 1 may only review composer affordance hooks.	server goals queues and resources	no	phase2_full_plan	git diff old reference to HEAD	goal/queue server tests plus iOS dashboard tests	BPRC-FEATURE-08;BPRC-FEATURE-17	IARM-5
IARM-SURFACE-029	packages/ios-app/Sources/Views/Session/;packages/ios-app/Sources/Views/SessionTree/;packages/ios-app/Sources/Models/Dashboard/	session setup import tree and workspace affordances	phase2_agent_execution	packages/ios-app/Sources/Session;packages/ios-app/Sources/Engine/Persistence	Basic session list and chat exist, but import, clone, workspace, tree, and analytics views depended on removed product state.	Keep current session shell; restore import/tree/workspace flows only with server graph contracts.	server session graph and worktree modules	no	phase2_full_plan	git diff old reference to HEAD	session/import/worktree tests per restored contract	BPRC-FEATURE-05;BPRC-FEATURE-16;BPRC-FEATURE-20	IARM-2,IARM-5
IARM-SURFACE-030	packages/ios-app/Sources/Views/Capabilities/Display/;packages/ios-app/Sources/Views/AuditDetails/GeneratedUISurfaceView.swift;packages/ios-app/Sources/ViewModels/State/DisplayStreamState.swift;packages/ios-app/Sources/ViewModels/Chat/ChatViewModel+DisplayStream.swift	display streams generated web and runtime surfaces	superseded_current_shell	packages/ios-app/Sources/UI/RuntimeSurfaces	Slice 8A adds web_fetch web_source source provenance, Slice 8B adds read-only source inspection as an accepted server foundation, and Slice 8C accepted implementation improves HTML/XHTML citation text metadata while current generated runtime surfaces replace the fixed generated UI and stream display direction.	Use current generic renderer for web_source/resource refs; add specialized display only with a reviewed module contract and proof generic rendering is insufficient.	server ui_surface resources;web_source resource	yes	not_scheduled	git diff old reference to HEAD	runtime surface renderer tests and screenshots;web_source specialized rendering only after generic rendering proves insufficient	BPRC-FEATURE-04;BPRC-FEATURE-19;BPRC-FEATURE-21	IARM-2,IARM-5
IARM-SURFACE-031	packages/ios-app/Sources/Services/Network/Clients/MediaClient.swift	media and transcription backend client	phase2_agent_execution	none	Media/transcription backend state may matter after local voice affordance proves useful.	Defer server transcription, model download, and media storage until a resource-backed media module exists.	server media module	no	phase2_full_plan	git diff old reference to HEAD	media storage and iOS upload tests	BPRC-FEATURE-13;BPRC-FEATURE-22	IARM-5
IARM-SURFACE-032	packages/ios-app/Sources/Views/Settings/Pages/PluginSourcesPage.swift;packages/ios-app/Sources/Services/Network/Clients/PluginSourceClient.swift	external plugin sources and MCP-adjacent UI	phase2_agent_execution	none	External tool sources are useful only with source identity, sandbox policy, and conformance gates.	Restore as catalog/source-provider UI after MCP or external-source module exists.	server external tool source module	no	phase2_full_plan	git diff old reference to HEAD	MCP/source conformance tests plus iOS source UI tests	BPRC-FEATURE-14;BPRC-FEATURE-24	IARM-5
IARM-SURFACE-033	packages/ios-app/Sources/Services/Infrastructure/APNsEnvironment.swift;packages/ios-app/Sources/Services/Notifications/PushNotificationService.swift;packages/ios-app/Sources/App/AppDelegate.swift	push notification and device broker plumbing	phase2_agent_execution	none	Push delivery may be valuable, but it requires device authority and token lifecycle.	Do not restore APNs until server device broker and privacy/retention policy exist.	server device broker	no	phase2_full_plan	git diff old reference to HEAD	APNs/device tests and entitlements review	BPRC-FEATURE-12;BPRC-FEATURE-22	IARM-5
IARM-SURFACE-034	packages/ios-app/Sources/Views/System/MemoryRetainDetailSheet.swift;packages/ios-app/Sources/Views/AgentControl/MemorySection.swift;packages/ios-app/Sources/Views/AgentControl/RulesSectionViews.swift;packages/ios-app/Sources/Views/AgentControl/ContextDetailView.swift;packages/ios-app/Sources/Views/AgentControl/ContextMarkdownContent.swift;packages/ios-app/Sources/ViewModels/Handlers/MemoryCoordinator.swift;packages/ios-app/Sources/ViewModels/Chat/ChatViewModel+HookEvents.swift	context memory rules hooks and learned-state surfaces	phase2_agent_execution	none	Learned state is central to a self-updating agent but must be inspectable and verified.	Restore only as agent-authored or module-owned resources with provenance and evals.	server learned-state resources	no	phase2_full_plan	git diff old reference to HEAD	memory/rules/hooks server tests plus iOS resource rendering tests	BPRC-FEATURE-10;BPRC-FEATURE-21	IARM-5,IARM-6
IARM-SURFACE-035	packages/ios-app/Sources/Services/Network/Clients/CronClient.swift;packages/ios-app/Sources/Services/Network/Clients/FilesystemClient.swift;packages/ios-app/Sources/Services/Network/Clients/ImportClient.swift;packages/ios-app/Sources/Services/Network/Clients/JobClient.swift;packages/ios-app/Sources/Services/Network/Clients/MiscClient.swift;packages/ios-app/Sources/Services/Network/Clients/PromptLibraryClient.swift;packages/ios-app/Sources/Services/Network/Clients/SkillClient.swift;packages/ios-app/Sources/Services/Network/Clients/WorktreeClient.swift	removed product-domain client set	phase2_agent_execution	none	Old clients reveal the breadth of backend parity still missing.	Keep this as the Phase 2 reminder row; each client returns only with its owning module and tests.	server modules	no	phase2_full_plan	git diff old reference to HEAD	module-specific server and iOS tests	BPRC-FEATURE-02;BPRC-FEATURE-03;BPRC-FEATURE-11;BPRC-FEATURE-15;BPRC-FEATURE-16;BPRC-FEATURE-17;BPRC-FEATURE-18;BPRC-FEATURE-24	IARM-5
