id	path	language	surface	current_role	saa_rows	proof	residual_risk
SAA-INV-015	packages/agent/src/domains/capability/operations/state.rs	rust	execute_operation	scoped state operations	SAA-3	state memory fallback path	typed resources are preferred for durable artifacts
SAA-INV-016	packages/agent/src/domains/capability/operations/filesystem.rs	rust	execute_operation	file read/write boundary	SAA-5	workspace root enforcement	file writes remain explicit mutation
SAA-INV-017	packages/agent/src/domains/capability/operations/trace.rs	rust	observability	trace record creation and completion	SAA-4,SAA-9	trace hashes and provider context	replay scale redaction remains future risk
SAA-INV-018	packages/agent/src/domains/capability/operations/replay.rs	rust	observability	replay manifest execute operation	SAA-9	read-only replay export	replay read intentionally untraced
SAA-INV-019	packages/agent/src/domains/capability/operations/logs.rs	rust	observability	log_recent execute operation	SAA-9	bounded logs access	log filtering remains session scoped
SAA-INV-020	packages/agent/src/domains/agent/loop/primitive_surface.rs	rust	model_surface	provider primitive resolver	SAA-2	only EXECUTE_FUNCTION_ID is projected	discovery changes can affect provider surface
SAA-INV-021	packages/agent/src/domains/agent/loop/capability_invocation_executor/grant.rs	rust	promotion_boundary	per-call execute child grant	SAA-2,SAA-7	resource caps and no promotion authority	resourceSelectors wildcard is a current substrate compromise
SAA-INV-022	packages/agent/src/domains/agent/loop/capability_invocation_executor/mod.rs	rust	model_surface	execute invocation path	SAA-2,SAA-8	derived grant and runtime metadata	no autonomous loop is started here
SAA-INV-023	packages/agent/src/domains/model/providers/openai/message_converter/mod.rs	rust	model_surface	provider clarification text	SAA-2	execute operation list and catalog-target rejection	other providers must mirror wording
SAA-INV-024	packages/agent/src/domains/model/providers/openai/message_converter/tests.rs	rust	closeout_gate	provider clarification tests	SAA-2	resource_create guidance assertion	test does not cover every provider
SAA-INV-025	packages/agent/src/engine/durability/resources/definitions.rs	rust	typed_resource	built-in resource kinds	SAA-3	agent_memory agent_rule schemas	future schemas need migration review
SAA-INV-026	packages/agent/src/engine/durability/resources/mod.rs	rust	typed_resource	resource module docs and exports	SAA-3	progressive disclosure update	docs can drift without static tests
SAA-INV-027	packages/agent/src/engine/durability/resources/validation.rs	rust	typed_resource	resource payload validation	SAA-3,SAA-6	schema and relation enforcement	semantic quality is outside schema validation
SAA-INV-028	packages/agent/src/engine/durability/resources/ui_surface.rs	rust	runtime_ui	ui_surface schema validation	SAA-6	bounded generic runtime UI schema	renderer richness remains schema bounded
SAA-INV-029	packages/agent/src/engine/primitives/workers.rs	rust	typed_resource	resource worker namespace claims	SAA-3	agent_memory and agent_rule claims	namespace list must track built-ins
SAA-INV-030	packages/agent/src/engine/primitives/resource/mod.rs	rust	typed_resource	resource primitive handlers	SAA-4,SAA-5	generic create update link inspect list	adapter uses this trusted substrate
SAA-INV-031	packages/agent/src/engine/primitives/resource/materialized_file.rs	rust	typed_resource	materialized file helpers	SAA-5	hash and file materialization policy	patch apply remains explicit
SAA-INV-032	packages/agent/src/engine/tests/durability/resource_contracts.rs	rust	closeout_gate	resource definition tests	SAA-3	memory/rule schema assertions	unit coverage not full semantic proof
SAA-INV-033	packages/agent/src/engine/tests/durability/resource_wrappers.rs	rust	closeout_gate	goal artifact decision wrapper tests	SAA-4	existing resource loop proof	fixture adds execute-level proof
SAA-INV-034	packages/agent/src/engine/tests/durability/materialized_files.rs	rust	closeout_gate	materialized file durability tests	SAA-5	hash and discard behavior	workspace mutation remains controlled elsewhere
SAA-INV-035	packages/agent/tests/primitive_trace_execution.rs	rust	observability	existing execute trace tests	SAA-9	trace list get replay regressions	SAA target adds resource operation trace proof
SAA-INV-036	packages/agent/tests/primitive_trace_execution_support/mod.rs	rust	observability	existing execute fixture support	SAA-9	grant and trace helpers	legacy helper lacks SAA resource grants
SAA-INV-037	packages/agent/src/transport/engine/contracts.rs	rust	promotion_boundary	public engine promote contract	SAA-7	explicit engine::promote boundary	future endpoint policy must validate refs
SAA-INV-038	packages/agent/src/engine/runtime/external_workers/validation.rs	rust	promotion_boundary	worker token validation	SAA-7,SAA-8	scoped tokens and wildcard rejection for workers	generated artifacts still need host grant
SAA-INV-039	packages/agent/src/engine/runtime/worker_protocol.rs	rust	promotion_boundary	external worker protocol	SAA-7	scoped worker token builders	live registration remains host-owned
SAA-INV-040	packages/agent/src/engine/runtime/external_workers/registration.rs	rust	promotion_boundary	external worker registration	SAA-7	ownership and trigger checks	not exercised by SAA fixture
SAA-INV-041	packages/ios-app/Sources/UI/RuntimeSurfaces/GeneratedRuntimeSurfaceView.swift	swift	runtime_ui	generic generated UI renderer	SAA-6	UiSurfaceDTO rendering	no feature-name route should be added
SAA-INV-042	packages/ios-app/Sources/UI/RuntimeSurfaces/GeneratedRuntimeSurfaceView+RenderingHelpers.swift	swift	runtime_ui	renderer helper extension	SAA-6	generic formatting helpers	visual regressions need iOS tests
SAA-INV-043	packages/ios-app/Tests/UI/RuntimeSurfaces/GeneratedUIRendererTests.swift	swift	runtime_ui	iOS generated UI tests	SAA-6	agent-created surface render and submit	Xcode target names may drift
SAA-INV-044	packages/ios-app/Tests/Infrastructure/Guards/SourceGuardTests+Hierarchy.swift	swift	closeout_gate	iOS source guard hierarchy	SAA-6,SAA-8	fixed product mode rejection	source guard must track new roots
SAA-INV-045	packages/mac-app/Tests/Infrastructure/Guards/MacSourceGuardTests.swift	swift	closeout_gate	Mac source guard	SAA-8	fixed product and helper boundary checks	Mac generated project can drift
SAA-INV-046	scripts/tron.d/quality.sh	shell	closeout_gate	local closeout target list	SAA-0,SAA-10	self_adapting_agent_authorship target	manual script edits can drift
SAA-INV-047	.github/workflows/ci.yml	yaml	closeout_gate	GitHub closeout target list	SAA-0,SAA-10	CI static gate parity	GitHub runtime may differ from local
SAA-INV-048	README.md	markdown	closeout_gate	canonical project reference	SAA-0,SAA-10	living-doc links and target list	README must be kept synchronized
SAA-INV-049	scripts/personal-info-guard.sh	shell	closeout_gate	personal info literal guard	SAA-10	no user literal regression	guard depends on pattern coverage
SAA-INV-050	packages/agent/docs/observability-diagnostics-auditability-scorecard.md	markdown	observability	prior ODA scorecard baseline	SAA-9	trace replay audit predecessor	used as baseline only
