id	feature_family	old_evidence_paths	current_replacement_or_gap	classification	primitive_owner	capability_owner	ios_surface	authority_data_owner	memory_involvement	backend_dependency	recommended_slice	user_decision_needed	validation_requirement	status	bprc_refs	iarm_refs	scorecard_rows
P2AER-INV-011	approval safety freshness expiry	packages/agent/docs/security-authority-capability-boundaries-scorecard.md;feature index section 9;IARM-SURFACE-023	Slice 2 implements durable `approval_request` and `approval_decision` resources, `approval.lifecycle` stream events, idempotent decision recording, and a reusable fail-closed check for approved/denied/expired/pending/missing/malformed/stale/scope mismatch outcomes; Slice 2 hardening adds schema alignment coverage for resource kind/schema ids, output contracts, and persisted payload required fields; it does not add native iOS approval UI or choose risky default approval policy.	modular_capability_package	authority grant primitive plus resource/stream substrate	approval package	native approval surface after contract and policy decision	approval request/decision resources	audit_only	module_contract	Slice 2	Define risk-class taxonomy, default expiry windows, interruption behavior, and native approval UX before risky package rollout.	Approval resource/stream tests, fail-closed check tests, idempotency/revision tests, replay/evidence explanation tests, schema alignment guard, SACB/TMB/HRA/TPC/PCC invariants	current_baseline	BPRC-FEATURE-09	IARM-SURFACE-023	P2AER-2;P2AER-5;P2AER-6
P2AER-INV-012	web research browse fetch search	feature index section 4;IARM-SURFACE-030	Accepted Slice 8A adds execute-only `web_fetch`, `domains/web`, declared-network authority checks, bounded direct fetch, sanitized URL/final URL evidence, content type handling, deterministic truncation/redaction metadata, captured-byte SHA-256 evidence, idempotent `web_source` resource/cache evidence, trace/replay refs, and `web.lifecycle` stream evidence; Accepted Slice 8B adds execute-only read operations `web_source_list` and `web_source_inspect` for bounded current-session citation fields without network I/O; Accepted Slice 8C adds deterministic HTML/XHTML readable-text extraction before redaction, bounded/redacted textEvidence extraction metadata, raw-byte hash preservation, and old web_source compatibility without adding provider-visible web operations; Accepted Slice 8D adds execute-only `web_source_archive`, append-only archived lifecycle metadata, default active/fetched listing, explicit archived inclusion, exact archived inspect, and no-network archive/list/inspect behavior; Accepted Slice 8E adds execute-only `web_robots_check`, one-origin robots.txt fetch under declared network authority, `web.write`/`resource.read`/`resource.write`/`kind:web_robots_policy` authority checks, deterministic bounded `web_robots_policy` evidence, sitemap refs as metadata only, and production HTTPS-only robots fetches; Accepted Slice 8F adds optional `web_fetch` robots evidence linkage with paired `webRobotsPolicyResourceId` and `expectedWebRobotsPolicyVersionId`, exact current-session allow policy validation and non-displayed target fingerprint matching before target network I/O, bounded `robotsPolicyRefs` on web_source list/inspect, and conditional robots-policy read grants only when both robots fields are non-empty strings; search providers, browser automation, crawling beyond the single robots policy fetch, sitemap traversal, login/cookies/session reuse, deletion/pruning/automatic TTL cleanup, public `/engine` web APIs, native iOS source UI, and network-enabled jobs remain deferred to later Slice 8 sub-slices.	modular_capability_package	network authority and resource primitives	web_research package	generic source/provenance rendering	web_source and web_robots_policy resource evidence	audit_only	module_contract	Slice 8F accepted	Continue fresh discovery for the next Phase 2 slice while deferring search providers, browser automation scope, crawling, sitemap traversal, deletion/pruning/TTL cleanup, and native source UI until separate slices.	Network denial, deterministic loopback fetch, URL validation, redirect/final URL evidence, response/output truncation, source hash, redaction after extraction, idempotent cache replay, HTML extraction/noise removal, safe title redaction/bounds, JSON/XML/plain/binary/malformed/oversized/non-UTF8 behavior, old web_source inspection compatibility, web_source list/inspect scope/version/authority/bounds tests, web_source archive CAS/scope/authority/idempotency/filtering/inspect/no-network tests, robots allow/deny parser evidence, missing/malformed/oversized robots bodies, sitemap metadata-only behavior, robots authority fail-closed ordering, unsafe robots URL/redirect/DNS rejection, production HTTP loopback rejection, robots-linked fetch allow/deny/wrong-kind/wrong-session/stale-version/non-current/origin-target mismatch denial before target I/O, sensitive-query target fingerprint mismatch denial, explicit null robots field ordinary-fetch compatibility, missing robots-policy read grant denial, bounded robots refs in source list/inspect, provider schema non-goal rejection, IPv6 internal target rejection, static inventory coverage, and dependency review tests	current_baseline	BPRC-FEATURE-04	IARM-SURFACE-030	P2AER-2;P2AER-5
P2AER-INV-013	git worktrees source control branches diffs conflicts PRs	feature index sections 5 and 16;IARM-SURFACE-025;IARM-SURFACE-029	Slice 6A implements read-only Git status and staged/unstaged diff evidence through `git_status`/`git_diff`; accepted Slice 6B adds index-only Git stage/unstage through `git_stage`/`git_unstage`, `domains/git`, and `capability::execute`; stage/unstage require explicit trusted-root relative paths, idempotency, reason, expected HEAD, conflict rejection, bounded before/after evidence, `git_index_change` resources, and `git.lifecycle` stream events; accepted Slice 6C adds staged-index commit evidence only through `git_commit` with expected HEAD, expected index tree, idempotency, reason, hook/editor/signing suppression, HEAD drift guarding, `git_commit` resources, and `git.lifecycle` events; accepted Slice 6D adds local branch-start through `git_branch_start`, `git_branch_start` resources, and `git.branch_started` lifecycle evidence while preserving index/worktree content and avoiding checkout; accepted Slice 6E adds read-only local branch inventory evidence through `git_branch_inventory` in `domains/git` before any broader branch mutation; worktree graph resources, branch deletion/rename, arbitrary checkout, conflict workflows, merges, rebases, resets, stash/clean, fetch/pull/push, PR handoff, repo/tree/import domains, and SourceChanges native surface remain deferred.	modular_capability_package	filesystem/jobs/resources	git_worktree package	native source-control review after mutating server contract	git_index_change resource; git_commit resource; git_branch_start resource; future worktree resource graph	audit_only	module_contract	Slice 6E	Push/PR approval, branch deletion/rename policy, arbitrary checkout policy, worktree graph shape, and conflict delegation remain later source-control decisions.	Repo detection, clean/dirty state, staged/unstaged/untracked summaries, detached HEAD, missing/upstream ahead-behind, nested/non-repo/out-of-root paths, stale expected HEAD, absolute/traversal/missing paths, conflicted pathspecs, non-repo and nested-repo misuse, bounded/truncated status and diff output, textconv suppression, idempotency replay, git_index_change resource evidence, git.lifecycle stream events, staged-index commit freshness via expected head and expected index tree, hook/editor/signing suppression, merge/sequencer rejection, symbolic HEAD drift rejection, git_commit resource evidence, branch-start freshness/preservation/resource/stream evidence, branch inventory sorting/bounds/upstream/oversized-metadata evidence, and schema/static guards excluding non-goal Git operations	current_baseline	BPRC-FEATURE-05;BPRC-FEATURE-16	IARM-SURFACE-025;IARM-SURFACE-029	P2AER-2;P2AER-5
P2AER-INV-014	memory core contract hot-swappable engines	feature index section 10;IARM-SURFACE-034;SSARR inventory learned_rules_memory row	Slice 3 implements the memory domain, built-in memory_engine/memory_policy/memory_record/memory_prompt_trace/memory_eval_run/memory_migration_envelope resource definitions, disabled/active/shadow/compare policy state, redacted retain/edit/tombstone/list/inspect, migration import/export, and prompt trace audit with no hidden body-content inclusion.	true_primitive	resource/event/context primitives	memory contract with replaceable engines	generic resource/runtime audit first; native memory settings/audit still after workflow proof	memory resources and policy	memory_core	engine_substrate	Slice 3	Default remains explicit disabled until configured; future user decisions still own retention defaults, privacy classes, and automatic retention.	Memory schema, redaction, disabled mode, prompt inclusion trace, migration import/export, resource-backed output contracts, and no-hidden-body tests	current_baseline	BPRC-FEATURE-10	IARM-SURFACE-034	P2AER-4;P2AER-5
P2AER-INV-015	semantic vector memory retrieval engine	feature index section 1 fastembed/sqlite-vec removal;feature index section 10	Accepted Slice 18A adds metadata-only memory_query and memory_decision evidence primitives for bounded query intent, filters, selected/excluded refs, reason codes, redaction proof, trace/replay refs, deterministic timestamps, idempotency fingerprints, and explicit read-only execute authority/resource selectors; vector registry/search, embeddings, index rebuilds, ranking, and semantic retrieval remain absent behind that contract.	modular_capability_package	memory contract	semantic_memory engine package	memory audit comparison surface	memory_query and memory_decision evidence resources	reads_memory	module_contract	Accepted Slice 18A	Approve embeddings/local model/dependency policy and A/B eval datasets before any semantic retrieval engine.	Query/decision evidence schema, scope isolation, authority denial, stale/wrong-kind refs, redaction/bounds, lifecycle, deterministic timestamp, idempotency, no body/raw payload leakage, and execute grant selector tests	current_baseline	BPRC-FEATURE-01;BPRC-FEATURE-10	IARM-SURFACE-034	P2AER-4
P2AER-INV-016	episodic trace memory	feature index section 10;README trace/replay sections	Accepted Slice 18A records inert memory_query and memory_decision trace/replay refs and lifecycle evidence, but no episodic retrieval engine converts events into prompt memory.	modular_capability_package	trace/replay/event primitives	episodic_memory engine	generic trace and memory audit	trace_refs plus memory_query/memory_decision evidence resources	reads_memory	module_contract	Accepted Slice 18A	Decide which events can become episodic memory before any event-to-memory conversion.	Trace refs, stale event filtering, retrieval reason, privacy redaction, query/decision refs, no prompt-inclusion side-effect tests, and read-only execute grant selector tests	current_baseline	BPRC-FEATURE-10	IARM-SURFACE-034	P2AER-4
P2AER-INV-017	procedural skills rules hooks learned behavior	feature index section 10;IARM-SURFACE-021;IARM-SURFACE-034;AGENTS managed skills rule	Accepted Slice 11A adds inert procedural_record resources for skill/rule/hook/procedure provenance/eval/status metadata plus read-only procedural_state_list and procedural_state_inspect execute operations with trusted current-session/workspace context, explicit non-wildcard procedural.read/resource.read authority, procedural_record resource-kind grants, exact kind:procedural_record and proceduralKind:* selectors, stored kind/schema/version/status revalidation, bounded redacted projections, and proof that repo-managed skills, skill-copy/bootstrap prompt wiring, activation, triggers, learned behavior, autonomous execution, scheduler work, tool execution, worker/package/job/process/network launch, MCP lifecycle, package install/catalog registration, trust promotion, public /engine expansion, settings/profile migrations, browser/search/crawl/login scope, native fixed UI, and result merge remain absent.	modular_capability_package	resource/eval provenance primitives	procedural package	generic resource audit first; native procedure audit after contract	procedural_record resources	audit_only	module_contract	Accepted Slice 11A	Decide if agent-authored rules are allowed, required eval thresholds, trigger categories, disable/edit/delete semantics, and prompt-inclusion policy in later slices.	Procedural record resource schema, list/inspect authority and scope denial, stored kind/schema/version/status revalidation, malformed payload denial, bounds/truncation, secret/grant/env/path/raw metadata redaction, provider schema non-goal rejection, runtime grant scoping, no repo-managed skills or bootstrap skill-copy wiring, and relevant static inventory coverage	current_baseline	BPRC-FEATURE-10	IARM-SURFACE-021;IARM-SURFACE-034	P2AER-4;P2AER-5
P2AER-INV-018	prompt history snippets prompt artifacts	feature index section 11;IARM-SURFACE-020	Accepted Slice 16A adds backend-only `domains/prompt_artifacts`, built-in `prompt_artifact` resources, `prompt_artifacts.lifecycle` stream evidence, and execute-only `prompt_artifact_record`, `prompt_artifact_list`, and `prompt_artifact_inspect` operations for explicit opt-in prompt artifact metadata only. It stores artifact kind, title/summary/preview, content refs or fingerprints, retention state, lifecycle/trace/replay/source refs, and fingerprinted idempotency evidence while rejecting raw prompt bodies, provider-visible raw prompt payloads, automatic prompt-history capture, prompt injection/context inclusion, learned behavior, unsafe paths, secrets, token-like material, and raw idempotency keys.	modular_capability_package	resource/privacy primitives	prompt_artifact package	Prompt UI after resource contract; current recent input remains local	prompt_artifact resources	writes_memory	module_contract	Accepted Slice 16A	Choose native snippet/template UI, automatic prompt-history capture policy, prompt injection/context-inclusion semantics, learned behavior coupling, and settings/profile migration only after the accepted metadata foundation.	Exact prompt_artifact authority/resource selectors, `promptArtifactResourceId` authorization scanner coverage, bounded/redacted projections, deterministic injected timestamps with no prompt-artifact DRC finding, no raw prompt/provider payload/idempotency/path/secret leakage, no automatic capture/injection/learned-behavior side effects	current_baseline	BPRC-FEATURE-11	IARM-SURFACE-020	P2AER-1;P2AER-5
P2AER-INV-019	artifact store reports renders screenshots generated outputs	README install directory workspace tree;resource kernel docs	Generic resources, blobs, workspace folders, and Slice 3 memory bodyRef/reference custody exist; report/render package workflows remain future module work.	true_primitive	resource/blob/storage primitives	artifact-backed packages	generic runtime surfaces	artifact resources and blobs	writes_memory	engine_substrate	Slice 3	Future user decisions still own artifact retention defaults and native review workflows.	Blob refs, hashes, retention, replay, memory-record reference tests, and generic resource redaction tests	current_baseline	BPRC-FEATURE-10;BPRC-FEATURE-22	IARM-SURFACE-030;IARM-SURFACE-034	P2AER-4;P2AER-6
P2AER-INV-020	event protocol DTO persistence breadth	feature index sections 20 and 21;IARM-SURFACE-005;IARM-SURFACE-007	Accepted Slice 19A adds event catalog parity only: generated event count, README/progressive docs synchronization, loop-protocol domain guards, and retired product event rejection without adding variants or resurrecting DTOs.	true_primitive	event store and protocol owner	module packages own product events	iOS plugins only after server events	server events and iOS cache	audit_only	engine_substrate	Accepted Slice 19A	User decision per native surface; no stale DTO resurrection.	Event schema count/category docs parity, retired product event rejection, unknown fallback/replay compatibility, iOS decoder docs audit	current_baseline	BPRC-FEATURE-20;BPRC-FEATURE-21	IARM-SURFACE-005;IARM-SURFACE-007	P2AER-2;P2AER-6
P2AER-INV-021	database storage migrations retention tables	feature index section 22;README database schema	Accepted Slice 20A adds source-backed README Database Schema table-catalog parity against active SQLite schema sources while preserving the clean-break resource substrate and adding no new migration.	true_primitive	session/event/resource storage owners	module packages own projections	no direct iOS DB truth	server database/resources	audit_only	engine_substrate	Accepted Slice 20A	Future decisions still own when a package needs a table instead of resources.	README/schema-source parity guard, migration, rollback, retention, replay, storage-generation tests	current_baseline	BPRC-FEATURE-22	IARM-SURFACE-006;IARM-SURFACE-031	P2AER-2;P2AER-6
P2AER-INV-022	settings profile controls parity	feature index section 23;AGENTS settings parity rule	Slice 21A implementation candidate adds source-backed README Key Configuration/default parity and iOS editable-setting decode/update/state/UI catalog guards for current settings; removed module settings remain absent and no new setting or profile migration is introduced.	true_primitive	settings profile owner	module packages own settings fields	iOS control required for user-editable settings	settings profile	audit_only	engine_substrate	Slice 21A implementation candidate	User decision remains required for every future new setting default and iOS control shape.	README/default catalog parity, strict schema, default drift, sparse overlay, iOS editable-setting parity, no settings/profile migration	pending_review	BPRC-FEATURE-23	IARM-SURFACE-010;IARM-SURFACE-017;IARM-SURFACE-018	P2AER-2;P2AER-6;P2AER-7
P2AER-INV-023	dependency restoration review	feature index section 24;Cargo.toml current state	Removed dependencies remain absent until owning module requires them.	deferred	package owner per dependency	module packages	no direct iOS surface	package dependency policy	none	module_contract	Slice 14	Approve dependency per feature with security/profile review.	Cargo diff, license/security review, focused package tests, README dependency notes	planned	BPRC-FEATURE-24	IARM-SURFACE-032;IARM-SURFACE-035	P2AER-2;P2AER-6
P2AER-INV-024	model provider reasoning traces thought status streaming	packages/agent/docs/ios-affordance-restoration-progress.md#phase-1-slice-4-chat-visual-cues-status-and-error-affordances;README provider/model sections	Accepted Slice 17A adds metadata-only provider reasoning/status evidence at the existing model/responder audit and turn-persistence boundaries: requested reasoning level, provider/model ids, bounded stop/status, thinking-emitted boolean, reasoning/thought token counts, provider-audit refs, trace/replay refs, typed assistant/stream payload compatibility, and explicit redaction policy. It does not invent hidden chain-of-thought, persist raw provider reasoning payloads, add summaries, expose new provider-visible operations, or add native UI.	server_fact_rendering_only	model provider/responder owner	none	chat/capability evidence rendering	model audit, token records, catalog report resources	audit_only	engine_substrate	Accepted Slice 17A	Reasoning-used summary wording and native display remain deferred; catalog capability evidence renders only from current server facts.	Model audit redaction, provider stream boundary, assistant/turn-end streaming payload compatibility, token accounting, DRC protocol-doc parity, no raw reasoning/provider payload/path/secret leakage, provider-model boundary invariant, and no fake chain-of-thought tests	current_baseline	BPRC-FEATURE-20;BPRC-FEATURE-21	IARM-SURFACE-015;IARM-SURFACE-016	P2AER-1;P2AER-7
P2AER-INV-025	capability evidence rendering generated runtime surfaces	IARM-SURFACE-015;IARM-SURFACE-030;packages/ios-app/docs/architecture.md	Generic capability chips and generated runtime surfaces exist; Runtime Cockpit now adds a native Discovery tab backed by live catalog DTOs and `catalog_discovery_report` resources, with no fixed legacy product panel or generated-surface auto-publication.	server_fact_rendering_only	resource/runtime surface owner	module packages provide ui_surface	Runtime Cockpit discovery plus generic runtime surfaces	server resources	audit_only	none	Slice 1	Native Discovery tab approved because it is backed by current catalog/resource facts; further native surfaces still require stable contracts.	iOS renderer tests, DTO/projection/client tests, source guards, runtime surface schema tests	current_baseline	BPRC-FEATURE-19;BPRC-FEATURE-20	IARM-SURFACE-015;IARM-SURFACE-030	P2AER-7
P2AER-INV-026	APNs device broker notification inbox delivery badges	feature index section 12;IARM-SURFACE-019;IARM-SURFACE-033;Phase 1 Slice 6 progress ledger	Accepted Slice 13 adds server-owned `domains/device` and `domains/notifications`, built-in `device_registration`, `notification`, and `notification_delivery` resource schemas, `device.lifecycle` and `notifications.lifecycle` stream evidence, and execute-only `device_register`, `device_unregister`, `device_list`, `device_inspect`, `notification_send`, `notification_list`, `notification_inspect`, `notification_mark_read`, and `notification_mark_all_read` operations. raw APNs tokens never provider-visible; APNs environment is explicit; push defaults opt-in/disabled; no fake local inbox is created; live APNs transport, APNs entitlements, native iOS inbox, public notification APIs, and physical-device push delivery remain deferred.	modular_capability_package	device/notification resource primitives	device and notifications domains	native inbox and push after backend plus device proof	device_registration, notification, and notification_delivery resources	audit_only	module_contract	Accepted Slice 13	Decide live APNs provider credentials, native inbox/deep-link UX, and physical-device push validation in a later slice.	Device register/unregister, APNs token redaction, environment handling, read state, badge semantics, delivery failure evidence, retention defaults, authority/resource checks, scope isolation, replay refs, provider schema behavior, and iOS/APNs absence guards	current_baseline	BPRC-FEATURE-12	IARM-SURFACE-019;IARM-SURFACE-033	P2AER-1;P2AER-5;P2AER-7
P2AER-INV-027	event-backed notification families for tools	IARM Slice 6 deferral list source-control/process/job/subagent/approval/web/research/skills/rules/memory notifications	Accepted Slice 13 defines the server-owned event-family foundation: notification sends accept bounded families, device registrations store opt-in family policy, delivery evidence records family opt-out separately from disabled transport, and default families cover approval, question, goal, schedule, web, git, job, subagent, memory, and system records. Automatic routing from every owning feature event remains deferred to those feature packages.	deferred	notification resources	owning tool packages plus notification package	inbox rows after source events exist	tool resources and notification resources	reads_memory	module_contract	Accepted Slice 13	Choose per-feature notification defaults and routing triggers as each feature package lands.	Per-family validation, default family policy, family opt-out delivery evidence, no fake local inbox tests, provider schema non-goal rejection	current_baseline	BPRC-FEATURE-03;BPRC-FEATURE-04;BPRC-FEATURE-05;BPRC-FEATURE-07;BPRC-FEATURE-09;BPRC-FEATURE-10;BPRC-FEATURE-12	IARM-SURFACE-019	P2AER-1;P2AER-5
