id	path	language	surface	owner	wire_direction	versioning	strictness	authority_or_idempotency	verification	ppacd_rows
PPACD-INV-011	packages/agent/src/transport/engine/socket/mod.rs	Rust	engine_transport	engine-transport-owner	bidirectional	Protocol message handlers are source-versioned	Unknown or malformed frames become transport errors	Correlation id stays outside idempotency semantics	Rust socket tests	PPACD-2,PPACD-3,PPACD-6
PPACD-INV-012	packages/agent/src/transport/engine/mod.rs	Rust	engine_transport	engine-transport-owner	transport to engine	Public method dispatch source-versioned	Canonical target rejection before dispatch	Authority derived from contracts and target function	SACB and PPACD invariant	PPACD-3,PPACD-4
PPACD-INV-013	packages/agent/src/engine/invocation/host/meta.rs	Rust	engine_meta_response	engine-host-owner	engine to transport	Delegated response versioned by source	Child envelope excludes internal worker/catalog revisions	Parent and child authority stay internal	Rust unit tests and PPACD invariant	PPACD-4,PPACD-5,PPACD-9
PPACD-INV-014	packages/agent/src/engine/invocation/host/meta_invocation.rs	Rust	engine_meta_response	engine-host-owner	engine internal	Delegated child preparation source-versioned	Malformed public invoke payload fails before child prepare	Parent budget and authority enforced before child	SACB invariant	PPACD-3,PPACD-4
PPACD-INV-015	packages/agent/src/shared/server/protocol.rs	Rust	server_protocol	shared-server-owner	server to clients	Protocol DTOs source-versioned	Public payloads avoid hidden runtime state	No caller-supplied authority fields	Shared protocol tests	PPACD-5,PPACD-7
PPACD-INV-016	packages/agent/src/shared/server/error_mapping/mod.rs	Rust	server_protocol	shared-server-owner	server to clients	Error mapping source-versioned	Canonical failure envelopes sanitized	No raw provider secrets in public errors	Failure semantics tests	PPACD-5,PPACD-9
PPACD-INV-017	packages/agent/src/shared/server/failure.rs	Rust	server_protocol	shared-server-owner	server to clients	Failure schema source-versioned	Canonical envelope fields explicit	Trace/session/invocation references are public-safe	Failure semantics tests	PPACD-5
PPACD-INV-018	packages/agent/src/shared/server/events.rs	Rust	server_protocol	shared-server-owner	server to clients	Event payload factories source-versioned	Neutral payload fields explicit	Trace and parent invocation remain correlation metadata	ODA and socket tests	PPACD-6
PPACD-INV-019	packages/agent/src/shared/protocol/events/mod.rs	Rust	server_protocol	shared-protocol-owner	server to clients	Event protocol modules source-versioned	CamelCase payload fields explicit	No hidden runtime grant fields	Event protocol tests	PPACD-6
PPACD-INV-020	packages/agent/src/domains/session/event_store/types/mod.rs	Rust	server_protocol	session-domain-owner	server storage to clients	Event-store types source-versioned	Stored/live event parity is explicit	No client-minted authority through event reconstruction	Event-store type tests	PPACD-6,PPACD-7
PPACD-INV-021	packages/agent/src/domains/settings/profile/types/mod.rs	Rust	settings_auth_model_session	settings-domain-owner	server to clients	Profile settings source-versioned	Server settings remain profile TOML truth	Settings updates do not create authority scopes	Settings tests and README parity	PPACD-7
PPACD-INV-022	packages/agent/src/domains/settings/contract.rs	Rust	settings_auth_model_session	settings-domain-owner	client to server	Settings contract source-versioned	Request schemas own public fields	No server-only setting outside public DTO parity	Settings tests	PPACD-7
PPACD-INV-023	packages/agent/src/domains/auth/credentials/mod.rs	Rust	settings_auth_model_session	auth-domain-owner	server internal to clients	Auth credential storage source-versioned	Public auth DTOs avoid secret value exposure	Bearer and provider secrets stay in auth custody	SACB tests	PPACD-7,PPACD-9
PPACD-INV-024	packages/agent/src/domains/model/providers/mod.rs	Rust	settings_auth_model_session	model-domain-owner	server to clients	Provider model DTOs source-versioned	Public model metadata excludes raw provider errors/secrets	Model selection cannot mint provider credentials or raw error internals	Model provider tests	PPACD-7,PPACD-9
PPACD-INV-025	packages/ios-app/Sources/Engine/Protocol/Core/EngineProtocolTypes.swift	Swift	ios_protocol	ios-protocol-owner	client and server	Public DTOs source-versioned	Context and child decoders expose only public fields	iOS cannot mint authority/runtime metadata	iOS protocol tests and PPACD invariant	PPACD-4,PPACD-5,PPACD-8
PPACD-INV-026	packages/ios-app/Sources/Engine/Protocol/Core/FailurePayload.swift	Swift	ios_protocol	ios-protocol-owner	server to client	Canonical failure payload source-versioned	Failure details decoded from server envelope	Public errors prefer server-authored failure	iOS protocol/event tests	PPACD-5,PPACD-8
PPACD-INV-027	packages/ios-app/Sources/Engine/Protocol/Settings/EngineProtocolTypes+Settings.swift	Swift	ios_protocol	ios-settings-owner	bidirectional	Settings DTO parity source-versioned	ServerSettings and update fields stay explicit	Settings cannot create server-only hidden authority	Settings protocol tests	PPACD-7,PPACD-8
PPACD-INV-028	packages/ios-app/Sources/Engine/Transport/WebSocket/EngineConnectionProtocolFrames.swift	Swift	ios_transport	ios-transport-owner	client to server	Frame encoders source-versioned	Public frame context uses narrowed DTO	Invoke/subscribe/poll omit authority/runtime metadata	iOS protocol tests	PPACD-2,PPACD-4,PPACD-8
PPACD-INV-029	packages/ios-app/Sources/Engine/Transport/WebSocket/EngineConnection+Requests.swift	Swift	ios_transport	ios-transport-owner	client to server	Request helpers source-versioned	Transport options route through public context	Correlation id and idempotency key remain separate	Engine client tests	PPACD-3,PPACD-4,PPACD-8
PPACD-INV-030	packages/ios-app/Sources/Engine/Transport/WebSocket/EngineClient.swift	Swift	ios_transport	ios-transport-owner	client to server	Client facade source-versioned	Session/workspace context remains public only	No raw internal transport metadata outside protocol layer	Engine client tests	PPACD-4,PPACD-8
PPACD-INV-031	packages/ios-app/Sources/Engine/Transport/Clients/EngineDomainClient.swift	Swift	ios_transport	ios-domain-client-owner	client to server	Domain helper source-versioned	Repository helpers build public context only	Session context cannot carry authority scopes	Engine client tests	PPACD-4,PPACD-8
PPACD-INV-032	packages/ios-app/Sources/Engine/Events/Payloads/CapabilityInvocationPayloads.swift	Swift	ios_protocol	ios-events-owner	server to client	Event payload decoders source-versioned	Canonical failure extraction explicit	Event details stay server-authored	Event plugin tests	PPACD-5,PPACD-6,PPACD-8
PPACD-INV-033	packages/ios-app/docs/architecture.md	Markdown	ios_docs	ios-doc-owner	documentation	iOS thin-client docs source-versioned	Docs describe repository/transport boundaries	Public protocol remains generic runtime shell	Docs plus PPACD inventory	PPACD-8,PPACD-10
PPACD-INV-034	packages/ios-app/docs/events.md	Markdown	ios_docs	ios-doc-owner	documentation	Event docs source-versioned	Docs describe neutral event plugin payloads	No product-specific protocol revival	Docs plus event tests	PPACD-6,PPACD-8
PPACD-INV-035	packages/ios-app/Tests/Engine/Protocol/EngineProtocolTypesTests.swift	Swift	ios_protocol	ios-test-owner	test	Protocol test class source-versioned	Tests execute public context and child metadata guards	Regression coverage for authority/runtime leak attempts	iOS 26.5 simulator test	PPACD-4,PPACD-5,PPACD-8
PPACD-INV-036	packages/ios-app/Tests/Engine/Protocol/ProtocolConstantsTests.swift	Swift	ios_protocol	ios-test-owner	test	Protocol constants test source-versioned	Protocol constants remain explicit	Version and method constants stay public-owned	iOS 26.5 simulator test	PPACD-2,PPACD-8
PPACD-INV-037	packages/ios-app/Tests/Engine/Transport/WebSocket/EngineClientTests.swift	Swift	ios_transport	ios-test-owner	test	Engine client test source-versioned	Client behavior stays behind transport facade	Session context remains public-scoped	iOS 26.5 simulator test	PPACD-4,PPACD-8
PPACD-INV-038	packages/agent/docs/primitive-code-cleanup-file-inventory.tsv	TSV	predecessor_inventory	pcc-owner	documentation	PCC inventory updated for PPACD files	Prevents tracked-file drift	New PPACD docs/tests are classified	PCC invariant	PPACD-0,PPACD-9
PPACD-INV-039	packages/agent/docs/true-primitive-cleanup-retention-inventory.tsv	TSV	predecessor_inventory	tpc-owner	documentation	TPC inventory updated for PPACD files	Prevents retained-source drift	New PPACD docs/tests are classified	TPC invariant	PPACD-0,PPACD-9
PPACD-INV-040	packages/agent/docs/hierarchical-rearchitecture-file-inventory.tsv	TSV	predecessor_inventory	hra-owner	documentation	HRA file inventory updated for PPACD files	Prevents hierarchy inventory drift	New PPACD docs/tests have owners	HRA invariant	PPACD-0,PPACD-9
PPACD-INV-041	packages/agent/docs/hierarchical-rearchitecture-current-ownership-map.tsv	TSV	predecessor_inventory	hra-owner	documentation	HRA ownership map updated for PPACD files	Prevents ownership drift	New PPACD docs/tests have owners	HRA invariant	PPACD-0,PPACD-9
PPACD-INV-042	packages/agent/docs/security-authority-capability-boundaries-inventory.tsv	TSV	predecessor_inventory	sacb-owner	documentation	SACB inventory updated for PPACD security-marker files	Prevents authority/security marker drift	New PPACD docs/tests are boundary-classified	SACB invariant	PPACD-0,PPACD-9
PPACD-INV-043	packages/agent/docs/off-plan-saa-authorship-teardown-cleanup-inventory.tsv	TSV	predecessor_inventory	opsaa-owner	documentation	OPSAA inventory updated for PPACD files	Prevents successor-scope confusion	PPACD classified as original hardening	OPSAA invariant	PPACD-0,PPACD-9
PPACD-INV-044	packages/agent/docs/provider-model-boundary-discipline-scorecard.md	Markdown	predecessor_inventory	pmbd-owner	documentation	PMBD provider/model boundary artifacts extend PPACD public protocol hardening evidence	Static PMBD invariant rejects stale boundary closure	Provider/model public protocol implications are documented	PMBD invariant	PPACD-7,PPACD-9
PPACD-INV-045	packages/agent/docs/provider-model-boundary-discipline-evidence-manifest.md	Markdown	predecessor_inventory	pmbd-owner	documentation	PMBD provider/model boundary artifacts extend PPACD public protocol hardening evidence	Evidence manifest records verification commands	Provider/model public protocol implications are documented	PMBD invariant	PPACD-7,PPACD-9
PPACD-INV-046	packages/agent/docs/provider-model-boundary-discipline-inventory.md	Markdown	predecessor_inventory	pmbd-owner	documentation	PMBD provider/model boundary artifacts extend PPACD public protocol hardening evidence	Inventory records protocol/audit/token surfaces	Provider/model public protocol implications are documented	PMBD invariant	PPACD-7,PPACD-9
PPACD-INV-047	packages/agent/docs/provider-model-boundary-discipline-inventory.tsv	TSV	predecessor_inventory	pmbd-owner	documentation	PMBD provider/model boundary artifacts extend PPACD public protocol hardening evidence	TSV schema checked by PMBD invariant	Provider/model public protocol implications are documented	PMBD invariant	PPACD-7,PPACD-9
PPACD-INV-048	packages/agent/tests/provider_model_boundary_discipline_invariants.rs	Rust	predecessor_inventory	pmbd-owner	static gate	PMBD provider/model boundary artifacts extend PPACD public protocol hardening evidence	Static target guards provider wire and audit boundaries	Provider/model public protocol implications are documented	PMBD invariant	PPACD-7,PPACD-9
PPACD-INV-049	packages/agent/docs/performance-resource-governance-inventory.tsv	TSV	predecessor_inventory	perf-owner	documentation	Performance / Resource Governance extends PPACD frame/payload boundary proof	TSV schema checked by PERF invariant	Server frame and payload limits use existing public error surfaces	PERF invariant	PPACD-7,PPACD-9
PPACD-INV-050	packages/agent/docs/configuration-profile-environment-discipline-inventory.tsv	TSV	predecessor_inventory	cpe-owner	documentation	Configuration / Profile / Environment Discipline extends PPACD settings DTO and iOS decoder strictness evidence	TSV schema checked by CPE invariant	Server settings payload remains authoritative and malformed data fails closed	CPE invariant	PPACD-7,PPACD-9
PPACD-INV-051	packages/agent/docs/release-install-upgrade-rollback-discipline-inventory.tsv	TSV	predecessor_inventory	riurd-owner	documentation	Release / Install / Upgrade / Rollback Discipline extends PPACD health and settings-startup proof	TSV schema checked by RIURD invariant	Server health remains the service-success contract for CLI and Mac wrapper paths	RIURD invariant	PPACD-7,PPACD-9
PPACD-INV-052	packages/agent/docs/ios-thin-client-generic-runtime-shell-inventory.tsv	TSV	predecessor_inventory	iostc-owner	documentation	iOS Thin Client / Generic Runtime Shell extends PPACD iOS DTO and decoder parity proof	TSV schema checked by IOSTC invariant	iOS protocol remains a thin /engine client surface with generic errors and runtime payloads	IOSTC invariant	PPACD-7,PPACD-8,PPACD-9
PPACD-INV-053	packages/agent/docs/developer-experience-repo-hygiene-automation-scorecard.md	Markdown	predecessor_inventory	dxrha-owner	documentation	Developer Experience / Repo Hygiene / Automation extends PPACD docs and CI target coverage evidence	Scorecard checked by DXRHA invariant	Public protocol docs remain covered by static-gate workflow parity	DXRHA invariant	PPACD-7,PPACD-9
PPACD-INV-054	packages/agent/docs/developer-experience-repo-hygiene-automation-evidence-manifest.md	Markdown	predecessor_inventory	dxrha-owner	documentation	Developer Experience / Repo Hygiene / Automation records closeout evidence for docs/CI changes	Manifest checked by DXRHA invariant	Public protocol docs changes trigger local and GitHub static gates	DXRHA invariant	PPACD-7,PPACD-9
PPACD-INV-055	packages/agent/docs/developer-experience-repo-hygiene-automation-inventory.md	Markdown	predecessor_inventory	dxrha-owner	documentation	Developer Experience / Repo Hygiene / Automation inventory records README and protocol-doc upkeep workflow	Inventory checked by DXRHA invariant	Public protocol docs remain a contributor-workflow surface	DXRHA invariant	PPACD-7,PPACD-9
PPACD-INV-056	packages/agent/docs/developer-experience-repo-hygiene-automation-inventory.tsv	TSV	predecessor_inventory	dxrha-owner	documentation	Developer Experience / Repo Hygiene / Automation TSV records docs_upkeep and github_ci workflow rows	TSV schema checked by DXRHA invariant	Public protocol docs changes trigger static-gate parity	DXRHA invariant	PPACD-7,PPACD-9
PPACD-INV-057	packages/agent/tests/developer_experience_repo_hygiene_automation_invariants.rs	Rust	predecessor_inventory	dxrha-owner	documentation	Developer Experience / Repo Hygiene / Automation invariant source-checks README/CI workflow surfaces	Static gate checked by local and GitHub CI	Public protocol docs remain covered by named closeout targets	DXRHA invariant	PPACD-7,PPACD-9
PPACD-INV-058	packages/agent/docs/documentation-evidence-scorecard-integrity-scorecard.md	Markdown	predecessor_inventory	desi-owner	documentation	Documentation / Evidence / Scorecard Integrity extends PPACD docs evidence integrity	Scorecard checked by DESI invariant	Public protocol docs remain covered by active scorecard integrity proof	DESI invariant	PPACD-7,PPACD-9
PPACD-INV-059	packages/agent/docs/documentation-evidence-scorecard-integrity-evidence-manifest.md	Markdown	predecessor_inventory	desi-owner	documentation	Documentation / Evidence / Scorecard Integrity records PPACD rerun and command evidence	Manifest checked by DESI invariant	Public protocol docs changes require concrete evidence	DESI invariant	PPACD-7,PPACD-9
PPACD-INV-060	packages/agent/docs/documentation-evidence-scorecard-integrity-inventory.md	Markdown	predecessor_inventory	desi-owner	documentation	Documentation / Evidence / Scorecard Integrity inventory records protocol docs and evidence surfaces	Inventory checked by DESI invariant	Public protocol docs remain an active current surface	DESI invariant	PPACD-7,PPACD-9
PPACD-INV-061	packages/agent/docs/documentation-evidence-scorecard-integrity-inventory.tsv	TSV	predecessor_inventory	desi-owner	documentation	Documentation / Evidence / Scorecard Integrity TSV records PPACD artifacts and predecessor rows	TSV schema checked by DESI invariant	Public protocol docs changes trigger static-gate parity	DESI invariant	PPACD-7,PPACD-9
PPACD-INV-062	packages/agent/tests/documentation_evidence_scorecard_integrity_invariants.rs	Rust	predecessor_inventory	desi-owner	documentation	Documentation / Evidence / Scorecard Integrity invariant source-checks active docs and evidence integrity	Static gate checked by local and GitHub CI	Public protocol docs remain covered by named closeout targets	DESI invariant	PPACD-7,PPACD-9
PPACD-INV-063	packages/agent/docs/self-sufficient-agent-runtime-readiness-scorecard.md	Docs	predecessor_inventory	ssarr-owner	documentation	SSARR scorecard keeps public protocol readiness separate from tool synthesis	Static gate checked by SSARR invariant	Public protocol promote remains user-owned engine visibility promotion	SSARR invariant	PPACD-7,PPACD-9
PPACD-INV-064	packages/agent/docs/self-sufficient-agent-runtime-readiness-evidence-manifest.md	Docs	predecessor_inventory	ssarr-owner	documentation	SSARR evidence records public protocol audit and no source changes	Static gate checked by SSARR invariant	Public protocol evidence stays source-backed	SSARR invariant	PPACD-7,PPACD-9
PPACD-INV-065	packages/agent/docs/self-sufficient-agent-runtime-readiness-inventory.md	Docs	predecessor_inventory	ssarr-owner	documentation	SSARR inventory maps public protocol and iOS shell readiness	Static gate checked by SSARR invariant	Public protocol inventory remains narrow and versioned	SSARR invariant	PPACD-7,PPACD-9
PPACD-INV-066	packages/agent/docs/self-sufficient-agent-runtime-readiness-inventory.tsv	Docs	predecessor_inventory	ssarr-owner	documentation	SSARR TSV records protocol readiness dimensions	Static gate checked by SSARR invariant	Public protocol machine coverage includes no synthesis API claim	SSARR invariant	PPACD-7,PPACD-9
PPACD-INV-067	packages/agent/tests/self_sufficient_agent_runtime_readiness_invariants.rs	Rust	predecessor_inventory	ssarr-owner	documentation	SSARR invariant rejects public synthesis promotion claims and target widening	Static gate checked by local and GitHub CI	Public protocol guard remains source-only	SSARR invariant	PPACD-7,PPACD-9
PPACD-INV-068	packages/agent/docs/primitive-minimality-closure-scorecard.md	Docs	predecessor_inventory	pmc-owner	documentation	PMC scorecard keeps public protocol unchanged	Static gate checked by PMC invariant	Public protocol surface remains unchanged	PMC invariant	PPACD-7,PPACD-9
PPACD-INV-069	packages/agent/docs/primitive-minimality-closure-evidence-manifest.md	Docs	predecessor_inventory	pmc-owner	documentation	PMC evidence records no public protocol source changes	Static gate checked by PMC invariant	Public protocol evidence stays source-backed	PMC invariant	PPACD-7,PPACD-9
PPACD-INV-070	packages/agent/docs/primitive-minimality-closure-inventory.md	Docs	predecessor_inventory	pmc-owner	documentation	PMC inventory maps public protocol as no-expansion scope	Static gate checked by PMC invariant	Public protocol inventory remains narrow and versioned	PMC invariant	PPACD-7,PPACD-9
PPACD-INV-071	packages/agent/docs/primitive-minimality-closure-inventory.tsv	Docs	predecessor_inventory	pmc-owner	documentation	PMC TSV records no protocol expansion	Static gate checked by PMC invariant	Public protocol machine coverage includes no new method claim	PMC invariant	PPACD-7,PPACD-9
PPACD-INV-072	packages/agent/tests/primitive_minimality_closure_invariants.rs	Rust	predecessor_inventory	pmc-owner	documentation	PMC invariant rejects public protocol source expansion in the closure diff	Static gate checked by local and GitHub CI	Public protocol guard remains source-only	PMC invariant	PPACD-7,PPACD-9
PPACD-INV-073	packages/agent/src/domains/capability/contract.rs	Rust	server_protocol	capability-domain-owner	provider to engine	Execute operation schema source-versioned inside the single `capability::execute` primitive	Schema tests reject non-goal operations and cover procedural state read-only fields	Procedural inspection does not add public `/engine` methods, client-minted authority, activation, triggers, prompt injection, or execution behavior	Capability contract tests and PPACD invariant	PPACD-3,PPACD-4,PPACD-9
PPACD-INV-074	packages/agent/src/domains/capability/operations/procedural.rs	Rust	server_protocol	capability-domain-owner	provider to engine	Adapter routes only procedural_state_list and procedural_state_inspect through existing execute	Focused procedural tests reject unsupported operation values and require explicit read grants	Procedural state remains a provider-visible read-only projection rather than public protocol expansion	Procedural tests and PPACD invariant	PPACD-3,PPACD-4,PPACD-9
PPACD-INV-075	packages/agent/src/domains/capability/operations/media.rs	Rust	server_protocol	capability-domain-owner	provider to engine	Adapter routes media_create media_list media_inspect and media_archive through existing execute only	Focused media tests require trusted context exact media/resource grants idempotency and redacted projections	Media artifact custody remains a provider-visible execute operation family rather than public `/engine` API expansion	Media tests and PPACD invariant	PPACD-3,PPACD-4,PPACD-9
PPACD-INV-076	packages/agent/src/domains/media/mod.rs	Rust	server_protocol	media-domain-owner	engine internal	Media domain registers backend resource foundation functions behind domain registration without adding public HTTP methods	Focused media tests and capability contract tests validate execute-only access and no raw-audio projection	Media remains backend resource custody; native capture UI public media APIs and server transcription model changes are deferred	Media tests and PPACD invariant	PPACD-3,PPACD-4,PPACD-9
PPACD-INV-077	packages/agent/src/domains/model/providers/openai/message_converter/mod.rs	Rust	server_protocol	model-provider-owner	provider instructions	Provider guidance documents media execute operations raw media rejection blob-ref-only storage and redacted projections	Message converter tests assert the media guidance remains in prompt clarification text	Provider instructions expose media as bounded execute operation values only and do not add provider-visible raw audio or public API claims	Message converter tests and PPACD invariant	PPACD-3,PPACD-4,PPACD-9
PPACD-INV-078	packages/agent/src/domains/capability/media_contract.rs	Rust	server_protocol	capability-domain-owner	provider to engine	Media execute request fields are source-versioned beside the single capability::execute primitive	Capability contract tests assert media fields are present without adding separate provider tools	Media schema fields remain execute parameters and do not create public media API methods	Capability contract tests and PPACD invariant	PPACD-3,PPACD-4,PPACD-9
PPACD-INV-079	packages/agent/src/domains/capability/contract.rs	Rust	server_protocol	capability-domain-owner	provider to engine	Execute operation schema source-versioned inside the single `capability::execute` primitive	Schema tests cover prompt_artifact record list inspect fields and reject non-goal operations	Prompt artifact operations remain execute values and do not add public `/engine` methods or prompt-library APIs	Capability contract tests and PPACD invariant	PPACD-3,PPACD-4,PPACD-9
PPACD-INV-080	packages/agent/src/domains/capability/operations/prompt_artifacts.rs	Rust	server_protocol	capability-domain-owner	provider to engine	Adapter routes only prompt_artifact_record prompt_artifact_list and prompt_artifact_inspect through existing execute	Focused prompt-artifact tests require trusted context exact prompt/resource grants idempotency and redacted projections	Prompt artifacts remain a provider-visible execute operation family rather than public prompt API expansion	Prompt-artifact tests and PPACD invariant	PPACD-3,PPACD-4,PPACD-9
PPACD-INV-081	packages/agent/src/domains/prompt_artifacts/mod.rs	Rust	server_protocol	prompt-artifact-domain-owner	engine internal	Prompt-artifacts domain registers backend resource foundation functions behind domain registration without adding public HTTP methods	Focused prompt-artifact tests and capability contract tests validate execute-only access and no raw prompt projection	Prompt artifacts remain backend metadata custody; native prompt UI prompt injection automatic capture and public prompt APIs are deferred	Prompt-artifact tests and PPACD invariant	PPACD-3,PPACD-4,PPACD-9
PPACD-INV-082	packages/agent/src/domains/model/providers/openai/message_converter/mod.rs	Rust	server_protocol	model-provider-owner	provider instructions	Provider guidance documents prompt_artifact execute operations raw prompt rejection metadata-only storage and redacted projections	Message converter tests assert the prompt-artifact guidance remains in prompt clarification text	Provider instructions expose prompt artifacts as bounded execute operation values only and do not add provider-visible raw prompt or public API claims	Message converter tests and PPACD invariant	PPACD-3,PPACD-4,PPACD-9
PPACD-INV-083	packages/agent/src/domains/capability/prompt_artifacts_contract.rs	Rust	server_protocol	capability-domain-owner	provider to engine	Prompt-artifact execute request fields are source-versioned beside the single capability::execute primitive	Capability contract tests assert prompt-artifact fields are present without adding separate provider tools	Prompt-artifact schema fields remain execute parameters and do not create public prompt API methods	Capability contract tests and PPACD invariant	PPACD-3,PPACD-4,PPACD-9
PPACD-INV-084	packages/agent/src/domains/capability/module_install_contract.rs	Rust	server_protocol	capability-domain-owner	provider to engine	Module-install execute request and decision fields are source-versioned beside the single capability::execute primitive	Capability contract tests assert module-install fields are present without adding separate provider tools	Module-install schema fields remain execute parameters and do not create public install or marketplace API methods	Capability contract tests and PPACD invariant	PPACD-3,PPACD-4,PPACD-9
PPACD-INV-085	packages/agent/src/domains/capability/operations/module_install.rs	Rust	server_protocol	capability-domain-owner	provider to engine	Adapter routes only module_install_request and module_install_decision record/list/inspect through existing execute	Focused module-install tests require trusted context exact module-install/resource grants idempotency approval evidence and redacted projections	Module install remains a provider-visible metadata-only execute operation family rather than public install API expansion	Module-install tests and PPACD invariant	PPACD-3,PPACD-4,PPACD-9
PPACD-INV-086	packages/agent/src/domains/module_install/mod.rs	Rust	server_protocol	module-install-domain-owner	engine internal	Module-install domain registers backend resource foundation functions behind domain registration without adding public HTTP methods	Focused module-install tests and capability contract tests validate execute-only access and no physical install projection	Module install remains backend metadata custody; physical install activation package management public marketplace APIs and native panels are deferred	Module-install tests and PPACD invariant	PPACD-3,PPACD-4,PPACD-9
PPACD-INV-087	packages/agent/src/domains/model/providers/openai/message_converter/mod.rs	Rust	server_protocol	model-provider-owner	provider instructions	Provider guidance documents module-install execute operations approval gate requirements metadata-only storage and redacted projections	Message converter tests assert the module-install guidance remains in prompt clarification text	Provider instructions expose module install as bounded execute operation values only and do not add provider-visible physical install authority or public API claims	Message converter tests and PPACD invariant	PPACD-3,PPACD-4,PPACD-9
PPACD-INV-088	packages/agent/src/domains/capability/module_lifecycle_contract.rs	Rust	server_protocol	capability-domain-owner	provider to engine	Module-lifecycle execute request and decision fields are source-versioned beside the single capability::execute primitive	Capability contract tests assert module-lifecycle fields are present without adding separate provider tools	Module-lifecycle schema fields remain execute parameters and do not create public activation or marketplace API methods	Capability contract tests and PPACD invariant	PPACD-3,PPACD-4,PPACD-9
PPACD-INV-089	packages/agent/src/domains/capability/operations/module_lifecycle.rs	Rust	server_protocol	capability-domain-owner	provider to engine	Adapter routes only module_lifecycle request decision list inspect through existing execute	Focused module-lifecycle tests require trusted context exact module-lifecycle/resource grants idempotency approval evidence current-version freshness and redacted projections	Module lifecycle remains a provider-visible metadata-only execute operation family rather than public activation API expansion	Module-lifecycle tests and PPACD invariant	PPACD-3,PPACD-4,PPACD-9
PPACD-INV-090	packages/agent/src/domains/module_lifecycle/mod.rs	Rust	server_protocol	module-lifecycle-domain-owner	engine internal	Module-lifecycle domain registers backend resource foundation functions behind domain registration without adding public HTTP methods	Focused module-lifecycle tests and capability contract tests validate execute-only access and no activation execution projection	Module lifecycle remains backend metadata custody; runtime execution package management public marketplace APIs and native panels are deferred	Module-lifecycle tests and PPACD invariant	PPACD-3,PPACD-4,PPACD-9
