id	record_type	path_or_feature	surface_kind	owner	classification	current_state	required_before_restoration	server_impact	ios_impact	proof	regression_gate	scorecard_rows
BPRC-INV-011	baseline_reference	packages/agent/docs/primitive-baseline-vs-modular-capability-engine-feature-index.md	feature_index	bprc-docs-owner	active_current	current_baseline	Source feature index for restoration backlog and residue classification	Defines missing server buckets	Defines missing iOS buckets	Inventory contains 24 backlog rows	baseline_pre_restoration_closure_invariants	BPRC-2,BPRC-4,BPRC-8
BPRC-INV-012	substrate	packages/agent/src/engine/mod.rs	engine_fabric	engine-owner	source_truth	current_baseline	Keep engine as worker/function/trigger fabric	Workers own functions and triggers	No iOS semantics in engine	Source docs mention workers own functions and triggers	baseline_pre_restoration_closure_invariants	BPRC-5,BPRC-9
BPRC-INV-013	substrate	packages/agent/src/engine/runtime	external_worker_runtime	engine-runtime-owner	source_truth	current_baseline	Future workers must use runtime protocol and grants	Hosts worker lifecycle and invocation proxy	Projects through engine streams	Runtime docs and existing tests	baseline_pre_restoration_closure_invariants	BPRC-5,BPRC-9
BPRC-INV-014	substrate	packages/agent/src/engine/catalog	catalog	engine-catalog-owner	source_truth	current_baseline	Future functions/triggers register through live catalog	Discovery and revision substrate	Runtime catalog data feeds iOS generic views	Engine module docs and catalog source	baseline_pre_restoration_closure_invariants	BPRC-5,BPRC-9
BPRC-INV-015	substrate	packages/agent/src/engine/durability/resources	resource_kernel	engine-resource-owner	source_truth	current_baseline	Future artifacts rules memory UI and outputs use resources	Typed resource custody substrate	Generic ui_surface rendering substrate	Engine module docs and resource source	baseline_pre_restoration_closure_invariants	BPRC-5,BPRC-9
BPRC-INV-016	substrate	packages/agent/src/domains/capability/contract.rs	model_execute_contract	capability-owner	source_truth	current_baseline	Provider-visible surface remains one execute primitive	No old capability search or inspect tools	No iOS DTO expansion from provider tools	Source check for single capability::execute	baseline_pre_restoration_closure_invariants	BPRC-3,BPRC-5
BPRC-INV-017	substrate	packages/ios-app/Sources/UI/RuntimeSurfaces	ios_runtime_surfaces	ios-ui-owner	source_truth	current_baseline	Future feature UI defaults to generic runtime surfaces	Server-authored ui_surface data renders generically	No fixed product panel restoration	SourceGuard and BPRC fixed-root checks	baseline_pre_restoration_closure_invariants	BPRC-6,BPRC-9
BPRC-INV-018	entry_contract	packages/agent/docs/baseline-pre-restoration-closure-inventory.md	pre_restoration_contract	bprc-docs-owner	scope_boundary	future_contract	Every future feature must satisfy the entry contract	Server module owner schema authority tests docs rollback	Generic or native iOS parity decision required	Inventory entry contract section	baseline_pre_restoration_closure_invariants	BPRC-9
BPRC-FEATURE-01	restoration_backlog	capability-discovery-routing-intent	capability_discovery	future-module-owner	future_restoration	not_in_baseline	Worker-owned catalog search resolver schema evidence conformance and repair states	Server adds modular discovery worker not provider-visible tool sprawl	iOS renders generic catalog/runtime state until native view justified	Feature index section 1	baseline_pre_restoration_closure_invariants	BPRC-2,BPRC-9
BPRC-FEATURE-02	restoration_backlog	filesystem-capability-suite	filesystem	future-module-owner	future_restoration	not_in_baseline	Bounded filesystem worker path policy diffs patch evidence rollback	Server adds worker-owned file functions beyond primitive read write	iOS generic result surface first native file UI requires contract	Feature index section 2	baseline_pre_restoration_closure_invariants	BPRC-2,BPRC-9
BPRC-FEATURE-03	restoration_backlog	process-jobs-sandbox	process_jobs	future-module-owner	future_restoration	not_in_baseline	Durable job subsystem stream replay cancellation resource accounting authority	Server separates sync process_run from durable job worker	iOS process UI only after job protocol is stable	Feature index section 3	baseline_pre_restoration_closure_invariants	BPRC-2,BPRC-9
BPRC-FEATURE-04	restoration_backlog	web-browser-research	web_browser	future-module-owner	future_restoration	not_in_baseline	Accepted Slice 8A covers direct web_fetch authority provenance fetch cache redaction and web_source records; Slice 8B accepted implementation adds read-only web_source list/inspect citation fields; Slice 8C accepted implementation improves HTML/XHTML readable text extraction and bounded/redacted citation metadata; Slice 8D accepted implementation adds append-only web_source archive lifecycle metadata; Slice 8E accepted implementation adds narrow web_robots_check and web_robots_policy evidence; Slice 8F implementation candidate links optional allow robots evidence into web_fetch provenance without search browser crawl sitemap traversal login deletion pruning TTL cleanup public API or iOS source UI scope	Server adds web worker not shell side channel	iOS source/provenance rendering through generic surfaces first	Feature index section 4;P2AER-INV-012	baseline_pre_restoration_closure_invariants	BPRC-2,BPRC-9
BPRC-FEATURE-05	restoration_backlog	worktree-git-source-control	worktree_git	future-module-owner	future_restoration	not_in_baseline	Slices 6A-6D restore read-only status/diff, index stage/unstage, commit evidence, and a local branch-start candidate; worktree graph, remote push/PR, conflict workflows, merge/rebase/reset, and arbitrary checkout remain deferred	Server adds worktree/git worker-owned functions	iOS SourceChanges returns only after protocol contract	Feature index section 5	baseline_pre_restoration_closure_invariants	BPRC-2,BPRC-9
BPRC-FEATURE-06	restoration_backlog	worker-launch-sandbox-self-extension	worker_launch	future-module-owner	future_restoration	not_in_baseline	Worker launch policy source provenance package identity install update uninstall grants conformance	Server adds launch manager separate from worker protocol host	iOS activation UI requires runtime resource contract	Feature index section 6	baseline_pre_restoration_closure_invariants	BPRC-2,BPRC-9
BPRC-FEATURE-07	restoration_backlog	subagents-parallel-work	subagents	future-module-owner	future_restoration	not_in_baseline	Model as durable jobs workers parent child causality cancellation result resources	Server adds orchestration worker not hidden agent queue	iOS chips/sheets only after durable result protocol	Feature index section 7	baseline_pre_restoration_closure_invariants	BPRC-2,BPRC-9
BPRC-FEATURE-08	restoration_backlog	agent-queue-goals-user-questions	agent_queue_goals	future-module-owner	future_restoration	not_in_baseline	Objective provenance interruptibility typed user-question resources	Server adds goal/queue worker over engine queues/resources	iOS Work/UserInteraction returns via generic or stable native surface	Feature index section 8	baseline_pre_restoration_closure_invariants	BPRC-2,BPRC-9
BPRC-FEATURE-09	restoration_backlog	approval-freshness	approval	future-module-owner	future_restoration	not_in_baseline	Durable authority decision resources expiry scope requester evidence	Server adds approval worker not hidden router side channel	iOS approval view only after decision resource protocol	Feature index section 9	baseline_pre_restoration_closure_invariants	BPRC-2,BPRC-9
BPRC-FEATURE-10	restoration_backlog	context-rules-hooks-skills-memory	context_rules_memory	future-module-owner	future_restoration	not_in_baseline	Accepted Slice 11A adds inert procedural_record resource custody and read-only procedural_state_list/procedural_state_inspect evidence only; activation triggers prompt injection learned behavior autonomous execution scheduler work tool execution repo-managed skills and skill-copy wiring remain absent	Server adds no repo-managed memory rules skills and no activation plane	iOS shows learned/adapted state only through verified resources after later contract review	Feature index section 10;P2AER-INV-017	baseline_pre_restoration_closure_invariants	BPRC-2,BPRC-9
BPRC-FEATURE-11	restoration_backlog	prompt-library	prompt_library	future-module-owner	future_restoration	not_in_baseline	Accepted Slice 16A adds backend-only prompt_artifact metadata resources with retention lifecycle trace replay source refs and redacted projections; raw prompts provider payloads automatic capture injection learned behavior and native prompt UI remain deferred	Server adds prompt artifact resource foundation through capability execute without prompt injection, raw prompt storage, public prompt APIs, or prompt_library worker expansion	iOS prompt UI only after resource contract privacy tests and native UX decision	Feature index section 11;P2AER-INV-018	baseline_pre_restoration_closure_invariants	BPRC-2,BPRC-9
BPRC-FEATURE-12	restoration_backlog	notifications-apns-device-broker	notifications_device	future-module-owner	future_restoration	not_in_baseline	Accepted Slice 13 adds durable device_registration, notification, and notification_delivery resource custody with explicit APNs environment, hash-only token custody, opt-in push policy, read state, badge semantics, retention, and delivery evidence only; live APNs transport, APNs entitlements, native inbox/deep links, public notification APIs, and physical-device push delivery remain absent	Server adds notification/device resource foundation via capability execute without live APNs side effects	iOS inbox/bell only after device broker contract and native inbox UI	Feature index section 12;P2AER-INV-026;P2AER-INV-027	baseline_pre_restoration_closure_invariants	BPRC-2,BPRC-9
BPRC-FEATURE-13	restoration_backlog	voice-notes-transcription-audio-media	media_transcription	future-module-owner	future_restoration	not_in_baseline	Accepted Slice 14A covers backend-only media_artifact resource custody, blob refs, bounded metadata, retention, lifecycle evidence, redacted projections, MIME/size limits, fingerprinted idempotency evidence, and local transcription metadata while native voice-note UI, capture permissions, server transcription model changes, and provider-visible raw audio remain deferred	Server adds media resource foundation through capability execute without public media API or raw audio projection	iOS audio UI only after upload/storage contract	Feature index section 13;P2AER-INV-029	baseline_pre_restoration_closure_invariants	BPRC-2,BPRC-9
BPRC-FEATURE-14	restoration_backlog	mcp-external-tool-sources	mcp_tools	future-module-owner	future_restoration	not_in_baseline	Source identity sandbox policy schema provenance conformance gates	Server adds MCP as catalog registration provider	iOS external-source UI only after module contract	Feature index section 14	baseline_pre_restoration_closure_invariants	BPRC-2,BPRC-9
BPRC-FEATURE-15	restoration_backlog	program-execution	program_execution	future-module-owner	future_restoration	not_in_baseline	Isolated worker boundary deterministic IO resource limits authority	Server adds program worker not embedded harness runtime	iOS program output generic surface first	Feature index section 15	baseline_pre_restoration_closure_invariants	BPRC-2,BPRC-9
BPRC-FEATURE-16	restoration_backlog	import-repository-tree-history	import_repo_tree	future-module-owner	future_restoration	not_in_baseline	Accepted Slice 14B adds backend-only import_history_record custody for bounded generic session/resource lineage, replay refs, lifecycle evidence, and exact authority while raw import payloads, repository trees, import execution, and native tree UI remain deferred	Server adds import-history resource foundation through capability execute without repository browsing or raw tree projection	iOS tree/import native UI only after graph contract and proof generic graph rendering is insufficient	Feature index section 16;P2AER-INV-030	baseline_pre_restoration_closure_invariants	BPRC-2,BPRC-9
BPRC-FEATURE-17	restoration_backlog	cron-background-automation-scheduling	cron_scheduling	future-module-owner	future_restoration	not_in_baseline	Accepted Slice 12 adds durable schedule and schedule_run resource custody with explicit trigger evaluation run records authority missed-run and cancellation policy only; hidden cron loops feature execution APNs delivery native schedule UI and result merge remain absent	Server adds scheduler resource foundation via trigger substrate without hidden worker loop	iOS schedule UI only after run record protocol	Feature index section 17;P2AER-INV-028	baseline_pre_restoration_closure_invariants	BPRC-2,BPRC-9
BPRC-FEATURE-18	restoration_backlog	system-update-diagnostics-product-surface	system_update	future-module-owner	future_restoration	not_in_baseline	Accepted Slice 14C adds backend-only update_diagnostic_record resource metadata custody with signed-release provenance and no deploy path	Server adds update diagnostic metadata records through capability execute; live update checks, install/restart, package bytes, endpoint custody, and deploy automation remain absent	iOS update status only after signed update contract and native UI decision	Feature index section 18;P2AER-INV-031	baseline_pre_restoration_closure_invariants	BPRC-2,BPRC-9
BPRC-FEATURE-19	restoration_backlog	fixed-ios-product-panels	ios_product_panels	future-module-owner	future_restoration	not_in_baseline	Native panels require stable platform contract and generic-surface insufficiency	Server must expose module resources/events first	iOS fixed roots remain absent until justified	Feature index section 19	baseline_pre_restoration_closure_invariants	BPRC-2,BPRC-3,BPRC-9
BPRC-FEATURE-20	restoration_backlog	ios-client-dto-event-persistence-breadth	ios_dto_events	future-module-owner	future_restoration	not_in_baseline	DTOs derived only from current server module contracts	Server module contracts must exist before DTOs	iOS decoders/tests follow protocol not old models	Feature index section 20	baseline_pre_restoration_closure_invariants	BPRC-2,BPRC-6,BPRC-9
BPRC-FEATURE-21	restoration_backlog	event-protocol-surface	event_protocol	future-module-owner	future_restoration	not_in_baseline	Module-owned versioned schema events replay compatibility unknown fallback	Server adds events only for true module state changes	iOS plugin/decoder tests required per event	Feature index section 21	baseline_pre_restoration_closure_invariants	BPRC-2,BPRC-9
BPRC-FEATURE-22	restoration_backlog	database-storage-tables	database_storage	future-module-owner	future_restoration	not_in_baseline	Migrations rollback compatibility retention resource-table preference	Server adds tables only when resources insufficient	iOS persistence only after migration/decoder proof	Feature index section 22	baseline_pre_restoration_closure_invariants	BPRC-2,BPRC-9
BPRC-FEATURE-23	restoration_backlog	settings-profile-controls	settings_profile	future-module-owner	future_restoration	not_in_baseline	Server profile schema validation iOS decode update parity README	Server adds settings only with module owner	iOS control required for every user-editable setting	Feature index section 23	baseline_pre_restoration_closure_invariants	BPRC-2,BPRC-9
BPRC-FEATURE-24	restoration_backlog	dependencies-removed-behavior	dependencies	future-module-owner	future_restoration	not_in_baseline	Dependency contract enters only with owning module tests and security review	Server dependency additions must be justified per feature	iOS dependency impact reviewed per feature	Feature index section 24	baseline_pre_restoration_closure_invariants	BPRC-2,BPRC-9
