id	path	surface_kind	owner	release_risk	current_discipline	proof	scorecard_rows
RIURD-INV-018	.github/workflows/release-mac.yml	release_workflow	release-owner	Mac release packaging can omit helper, plist, signing, notarization, or DMG checks	Tag/manual dry-run workflow stages helper, generates project, verifies helper/plist, signs, notarizes, staples, and publishes draft release	release_install_upgrade_rollback_discipline_invariants	RIURD-6,RIURD-7,RIURD-8
RIURD-INV-019	.github/workflows/release-ios.yml	release_workflow	release-owner	iOS release can drift from shared version or generated project	Release workflow validates VERSION.env, regenerates tracked project, diffs it, tests, archives, exports, uploads, and supports dry-run	release_install_upgrade_rollback_discipline_invariants	RIURD-7,RIURD-8
RIURD-INV-020	.codex/environments/environment.toml	environment	codex-env-owner	local toolbar actions could invoke production deploy	Actions start or stop dev server and build/install/launch iOS variants only	release_install_upgrade_rollback_discipline_invariants	RIURD-3,RIURD-4
RIURD-INV-021	packages/agent/src/shared/foundation/paths/mod.rs	rust_startup	foundation-owner	server path constants can drift from install tree	Canonical Tron home, run, database, profiles, auth, wrapper lock, and onboarded marker helpers are centralized	release_install_upgrade_rollback_discipline_invariants	RIURD-1,RIURD-4
RIURD-INV-022	packages/agent/src/shared/foundation/paths/tests.rs	rust_startup	foundation-owner	path helper tests can miss install layout regressions	Existing path tests cover resolved homes and marker/path shapes	paths tests	RIURD-4
RIURD-INV-023	packages/agent/src/app/bootstrap/mod.rs	rust_startup	app-bootstrap-owner	startup could skip directory, auth, DB, settings, or shutdown ownership	Module docs and run_server phases own init_directories, auth token, database lock, profile runtime, logging, server bind, and graceful shutdown	source audit	RIURD-1,RIURD-2,RIURD-4
RIURD-INV-024	packages/agent/src/app/bootstrap/server.rs	rust_startup	app-bootstrap-owner	server could bind a different public surface silently	TronServer binds CLI-owned host/port and exposes health plus engine routes only	source audit	RIURD-2
RIURD-INV-025	packages/agent/src/app/bootstrap/config.rs	rust_startup	app-bootstrap-owner	settings could own port 9847 incorrectly	ServerConfig from settings uses CLI bind host and port while settings own heartbeat tuning	config tests	RIURD-2
RIURD-INV-026	packages/agent/src/app/bootstrap/disk.rs	rust_startup	app-bootstrap-owner	bootstrap disk helpers could create unintended paths	Disk bootstrap remains app-owned support under explicit startup phases	source audit	RIURD-4
RIURD-INV-027	packages/agent/src/app/cli/mod.rs	cli	rust-cli-owner	Rust CLI flags could diverge from script ownership	Port remains a CLI flag consumed by bootstrap, not a profile setting	source audit	RIURD-2
RIURD-INV-028	packages/agent/src/app/lifecycle/shutdown.rs	rust_startup	app-lifecycle-owner	shutdown could leave tasks or DB state dirty	Shutdown coordinator owns graceful task and callback drainage	PERF and source audit	RIURD-2,RIURD-5
RIURD-INV-029	packages/agent/src/domains/session/event_store/sqlite/process_lock.rs	rust_startup	storage-owner	two server processes could race one database	OS-level flock on tron.sqlite.lock aborts second process	startup source audit	RIURD-2
RIURD-INV-030	packages/agent/src/transport/mod.rs	rust_startup	transport-owner	transport could create alternate server lifecycle	Transport owns protocol framing only; bootstrap owns bind and shutdown	source audit	RIURD-2
RIURD-INV-031	packages/agent/src/transport/engine/socket/mod.rs	rust_startup	transport-owner	engine socket health/auth could be mistaken for lifecycle owner	Socket module owns WebSocket sessions; service health remains /health source	source audit	RIURD-2
RIURD-INV-032	packages/agent/src/transport/http/auth.rs	rust_startup	transport-owner	bearer auth could be confused with install auth seeding	HTTP auth verifies bearer token from auth.json and does not write install state	source audit	RIURD-4
RIURD-INV-033	packages/mac-app/project.yml	generated_project	mac-app-owner	Mac generated project could drift from source	XcodeGen project source copies helper Library and Constitution defaults and signs helper apps	release_install_upgrade_rollback_discipline_invariants	RIURD-6,RIURD-7
RIURD-INV-034	packages/mac-app/.gitignore	generated_project	mac-app-owner	ignored generated Mac project could become tracked accidentally	TronMac.xcodeproj is explicitly ignored and CI/release verify ignored status	release_install_upgrade_rollback_discipline_invariants	RIURD-7
RIURD-INV-035	packages/mac-app/Sources/App/Lifecycle/TronMacApp.swift	mac_wrapper	mac-app-owner	wrapper startup could manage service from wrong mode	AppDelegate dispatches command modes, skips side effects under tests, acquires wrapper lock, and installs menu bar	source audit	RIURD-4,RIURD-6
RIURD-INV-036	packages/mac-app/Sources/App/Lifecycle/MacRuntimeVariant.swift	mac_wrapper	mac-app-owner	Debug or misplaced release could own production registration	Variant detection requires installed release at /Applications for production management and keeps Debug companion constrained	source audit	RIURD-6
RIURD-INV-037	packages/mac-app/Sources/App/Lifecycle/MacAppStartupMaintenance.swift	update_rollback	mac-app-owner	update finalization could restart during dev or mark success before health	Restarts only existing onboarded manageable release when no dev server is active; records version only after health	source audit and Mac tests	RIURD-5,RIURD-6
RIURD-INV-038	packages/mac-app/Sources/App/CommandMode/MacCommandLineMode.swift	mac_wrapper	mac-app-owner	internal wrapper command flags could become public policy surface	Only start-server-and-quit and uninstall-and-quit command modes are parsed	source audit	RIURD-4,RIURD-6
RIURD-INV-039	packages/mac-app/Sources/App/CommandMode/MacCommandModeServerStarter.swift	update_rollback	mac-app-owner	CLI start through wrapper could report loaded but unhealthy	Validates app/helper, loads SMAppService, waits for health, records version only on success	MacCommandModeServerStarterTests	RIURD-5,RIURD-6
RIURD-INV-040	packages/mac-app/Sources/App/Composition/EnvironmentSetup.swift	mac_wrapper	mac-app-owner	live environment could bypass testable ownership	All file, process, health, launch-agent, and version marker effects pass through Sendable DI	source audit	RIURD-4,RIURD-6
RIURD-INV-041	packages/mac-app/Sources/Server/Paths/TronPaths.swift	mac_wrapper	mac-app-owner	Mac path and port constants could fork from CLI	Production port 9847, isolated port 9848, release app path, labels, BundleProgram, env, and lock paths live in one owner	release_install_upgrade_rollback_discipline_invariants	RIURD-2,RIURD-4,RIURD-6
RIURD-INV-042	packages/mac-app/Sources/Server/Paths/ServerSettingsProfile.swift	setup_install	mac-app-owner	Mac settings cache could seed stale profile shape	Caches only tailscaleIp in sparse user settings overlay	CPE and source audit	RIURD-4
RIURD-INV-043	packages/mac-app/Sources/Server/LaunchAgent/LaunchAgentManaging.swift	service_manager	mac-app-owner	SMAppService interface could leak launchctl policy	Protocol narrows load, unload, restart, isLoaded, and runtimeInfo	source audit	RIURD-6
RIURD-INV-044	packages/mac-app/Sources/Server/LaunchAgent/LiveLaunchAgentManager.swift	service_manager	mac-app-owner	SMAppService could register over external server or stale helper	Refuses external port/DB-lock owners, repairs stale runtime/build/LWCR, and uses SMAppService for register/unregister	release_install_upgrade_rollback_discipline_invariants	RIURD-2,RIURD-6
RIURD-INV-045	packages/mac-app/Sources/Server/ProcessControl/DevServerStopper.swift	dev_server	mac-app-owner	menu stop action could kill production helper	Re-probes current listener and signals only verified dev server process	release_install_upgrade_rollback_discipline_invariants	RIURD-2,RIURD-6
RIURD-INV-046	packages/mac-app/Sources/Server/ProcessControl/ServerProcessProbe.swift	dev_server	mac-app-owner	port owner classification could mislabel production as dev	Marks dev only when command contains Tron-Dev.app helper path	source audit	RIURD-2,RIURD-6
RIURD-INV-047	packages/mac-app/Sources/Server/ProcessControl/TronUninstaller.swift	setup_install	mac-app-owner	uninstall could delete durable user data	Unregisters via SMAppService and removes only runtime state plus optional settings/auth resets	release_install_upgrade_rollback_discipline_invariants	RIURD-4,RIURD-6
RIURD-INV-048	packages/mac-app/Sources/Server/ProcessControl/SingleInstanceLock.swift	mac_wrapper	mac-app-owner	multiple wrappers could race UI state	Per-wrapper fcntl lock prevents duplicate same-bundle wrapper instances	Mac tests and docs	RIURD-6
RIURD-INV-049	packages/mac-app/Sources/Server/Health/ServerHealthAwaiter.swift	service_manager	mac-app-owner	start-like actions could skip health wait	Shared health awaiter provides bounded post-start health gate	source audit	RIURD-2,RIURD-5,RIURD-6
RIURD-INV-050	packages/mac-app/Sources/Server/Health/ServerStatusPoller.swift	service_manager	mac-app-owner	menu could report stale LaunchAgent metadata during dev	Successful ping probes actual port owner and reports dev takeover PID/uptime	source audit	RIURD-2,RIURD-6
RIURD-INV-051	packages/mac-app/Sources/MenuBar/Actions/MenuBarActionHandler.swift	mac_wrapper	mac-app-owner	menu actions could manage wrong owner	Menu start/restart/resume paths use InstallLaunchAgentRunner and health awaiter; dev stop action stays separate	source audit	RIURD-2,RIURD-6
RIURD-INV-052	packages/mac-app/Sources/Support/Onboarding/ExistingInstallDetector.swift	setup_install	mac-app-owner	install wizard could trust partial helper/plist/signature state	Validates helper bundle, helper binary, LaunchAgent plist, signature, app location, and plist shape	source audit	RIURD-4,RIURD-6
RIURD-INV-053	packages/mac-app/Sources/Support/Onboarding/InstallPlanner.swift	setup_install	mac-app-owner	install plan could write app bundle artifacts at runtime	Pure planner validates existing bundled helper/plist and renders SMAppService-compatible plist	source audit	RIURD-4,RIURD-6
RIURD-INV-054	packages/mac-app/Sources/Support/Onboarding/OnboardedSentinelWriter.swift	setup_install	mac-app-owner	first-run sentinel could be written non-atomically	Writer owns onboarded sentinel creation under internal/run	Mac tests	RIURD-4
RIURD-INV-055	packages/mac-app/Sources/Wizard/Steps/InstallStep.swift	setup_install	mac-app-owner	wizard could advance before installed server heartbeat	Install step validates release location, helper, current plist, SMAppService registration, and ping before success	source audit	RIURD-4,RIURD-6
RIURD-INV-056	packages/mac-app/Sources/Resources/Library/LaunchAgents/com.tron.server.plist	service_manager	mac-app-owner	production plist could point at wrong port/helper	Production bundled LaunchAgent uses com.tron.server, BundleProgram Tron Server.app, and port 9847	release_install_upgrade_rollback_discipline_invariants	RIURD-2,RIURD-6
RIURD-INV-057	packages/mac-app/Sources/Resources/Library/LaunchAgents/com.tron.server.dev.plist	service_manager	mac-app-owner	isolated install plist could fight production port	Isolated bundled LaunchAgent uses com.tron.server.dev, Tron Server Dev.app, port 9848, and TRON_HOME_NAME=.tron-dev	release_install_upgrade_rollback_discipline_invariants	RIURD-2,RIURD-6
RIURD-INV-058	packages/mac-app/Tests/Server/LaunchAgent/LiveLaunchAgentManagerTests.swift	mac_wrapper	mac-test-owner	SMAppService boundary regressions could go untested	Tests cover stale runtime repair, parent build refresh, LWCR refresh, external server refusal, and unregister preflight	Mac tests	RIURD-6
RIURD-INV-059	packages/mac-app/Tests/Server/ProcessControl/DevServerStopperTests.swift	dev_server	mac-test-owner	dev stop regressions could kill non-dev owner	Tests refuse non-dev process and cover TERM/KILL behavior	Mac tests	RIURD-2,RIURD-6
RIURD-INV-060	packages/mac-app/Tests/App/Lifecycle/MacAppStartupMaintenanceTests.swift	update_rollback	mac-test-owner	update finalization regressions could record unhealthy helper	Tests missing marker restart, unhealthy no-record, recorded skip, dev takeover deferral, and wizard completion record	Mac tests	RIURD-5,RIURD-6
RIURD-INV-061	packages/mac-app/Tests/App/CommandMode/MacCommandModeServerStarterTests.swift	update_rollback	mac-test-owner	command-mode start could mark failed update as finalized	Tests record finalized version only on healthy command-mode start	Mac tests	RIURD-5,RIURD-6
RIURD-INV-062	packages/mac-app/Tests/Server/Paths/TronPathsTests.swift	mac_wrapper	mac-test-owner	Mac path constants could drift from production/isolated split	Tests label, port, environment, BundleProgram, and plist shape	Mac tests	RIURD-2,RIURD-6
RIURD-INV-063	packages/mac-app/Tests/Support/Onboarding/ExistingInstallDetectorTests.swift	setup_install	mac-test-owner	install validation could accept stale plist/signature	Tests current plist shape, env, associated bundle IDs, and signature classification	Mac tests	RIURD-4,RIURD-6
RIURD-INV-064	packages/mac-app/Tests/Support/Onboarding/InstallPlannerTests.swift	setup_install	mac-test-owner	install planner could miss helper/plist absence	Tests helper/plist validation and rendered plist shape	Mac tests	RIURD-4,RIURD-6
RIURD-INV-065	packages/mac-app/Tests/Server/ProcessControl/TronUninstallerTests.swift	setup_install	mac-test-owner	uninstall preservation could regress	Tests unregister and runtime cleanup behavior	Mac tests	RIURD-4,RIURD-6
RIURD-INV-066	packages/mac-app/docs/architecture.md	docs_ci	mac-doc-owner	Mac wrapper docs can drift from launch/service ownership	Architecture doc records SMAppService, dev takeover, update finalization, uninstall, and generated-project policy	RIURD docs audit	RIURD-6,RIURD-8
RIURD-INV-067	packages/mac-app/docs/development.md	docs_ci	mac-doc-owner	Mac development docs can drift from local release and clean setup	Development doc records helper staging, local Release testing, tron dev, uninstall, and release workflow	RIURD docs audit	RIURD-4,RIURD-7,RIURD-8
RIURD-INV-068	packages/ios-app/project.yml	generated_project	ios-owner	iOS project source could drift from release settings	XcodeGen source owns tracked iOS schemes and version/build settings	CI and release-ios checks	RIURD-7
RIURD-INV-069	packages/ios-app/TronMobile.xcodeproj/project.pbxproj	generated_project	ios-owner	tracked iOS generated project can drift	CI/release regenerate then git diff tracked project	XcodeGen drift check	RIURD-7,RIURD-10
RIURD-INV-070	packages/ios-app/TronMobile.xcodeproj/xcshareddata/xcschemes/Tron.xcscheme	generated_project	ios-owner	tracked production scheme can drift	XcodeGen source regenerates scheme and CI diffs tracked project	XcodeGen drift check	RIURD-7
RIURD-INV-071	packages/ios-app/TronMobile.xcodeproj/xcshareddata/xcschemes/Tron Fast.xcscheme	generated_project	ios-owner	tracked fast scheme can drift	XcodeGen source regenerates scheme and CI diffs tracked project	XcodeGen drift check	RIURD-7
RIURD-INV-072	packages/ios-app/TronMobile.xcodeproj/xcshareddata/xcschemes/Tron Beta.xcscheme	generated_project	ios-owner	tracked beta scheme can drift	XcodeGen source regenerates scheme and CI diffs tracked project	XcodeGen drift check	RIURD-7
RIURD-INV-073	README.md	docs_ci	docs-owner	root docs can omit release/install ownership	README documents RIURD artifacts, CLI, Mac app, Deployment, install tree, service ownership, and CI target	release_install_upgrade_rollback_discipline_invariants	RIURD-8
RIURD-INV-074	packages/agent/docs/configuration-profile-environment-discipline-inventory.tsv	predecessor_inventory	cpe-owner	CPE settings/profile/env assumptions can drift into release setup	Predecessor row links RIURD release/install proof	RIURD predecessor gate	RIURD-8
RIURD-INV-075	packages/agent/docs/performance-resource-governance-inventory.tsv	predecessor_inventory	perf-owner	resource governance assumptions can drift into startup/restart	Predecessor row links RIURD port/process/startup proof	RIURD predecessor gate	RIURD-8
RIURD-INV-076	packages/agent/docs/provider-model-boundary-discipline-inventory.tsv	predecessor_inventory	pmbd-owner	provider defaults/auth assumptions can drift through install/update	Predecessor row links RIURD release packaging and setup proof	RIURD predecessor gate	RIURD-8
RIURD-INV-077	packages/agent/docs/public-protocol-api-contract-discipline-inventory.tsv	predecessor_inventory	ppacd-owner	protocol health/settings assumptions can drift through app wrapper	Predecessor row links RIURD health-gated service ownership	RIURD predecessor gate	RIURD-8
RIURD-INV-078	packages/agent/docs/off-plan-saa-authorship-teardown-cleanup-inventory.tsv	predecessor_inventory	opsaa-owner	stale release branches can be mistaken for completion	Predecessor row records stale release branch quarantine	RIURD predecessor gate	RIURD-8
RIURD-INV-079	packages/agent/docs/data-integrity-storage-evolution-migration-discipline-inventory.tsv	predecessor_inventory	dsemd-owner	storage generation and DB-lock assumptions can drift into restart/rollback	Predecessor row links RIURD DB lock and rollback proof	RIURD predecessor gate	RIURD-8
RIURD-INV-080	packages/agent/docs/observability-diagnostics-auditability-inventory.tsv	predecessor_inventory	oda-owner	diagnostic visibility can drift for dev/install status	Predecessor row links RIURD status/dev sentinel evidence	RIURD predecessor gate	RIURD-8
RIURD-INV-081	packages/agent/docs/security-authority-capability-boundaries-inventory.tsv	predecessor_inventory	sacb-owner	authority/secrets assumptions can drift into install/uninstall	Predecessor row links RIURD SMAppService and auth preservation proof	RIURD predecessor gate	RIURD-8
RIURD-INV-082	packages/agent/docs/concurrency-scheduling-discipline-inventory.tsv	predecessor_inventory	csd-owner	task lifecycle assumptions can drift into dev/background LaunchAgent	Predecessor row links RIURD launchd-backed dev takeover proof	RIURD predecessor gate	RIURD-8
RIURD-INV-083	packages/agent/docs/state-ownership-lifecycle-inventory.tsv	predecessor_inventory	sol-owner	state lifecycle assumptions can drift into setup/uninstall/rollback	Predecessor row links RIURD durable data preservation proof	RIURD predecessor gate	RIURD-8
RIURD-INV-084	packages/agent/docs/failure-semantics-inventory.tsv	predecessor_inventory	fsc-owner	failure semantics can drift into unhealthy deploy/rollback handling	Predecessor row links RIURD fail-closed deploy and rollback proof	RIURD predecessor gate	RIURD-8
RIURD-INV-085	packages/agent/docs/determinism-replayability-inventory.tsv	predecessor_inventory	drc-owner	replay/identity assumptions can drift through release version markers	Predecessor row links RIURD version finalization proof	RIURD predecessor gate	RIURD-8
RIURD-INV-086	packages/agent/docs/true-primitive-cleanup-retention-inventory.tsv	predecessor_inventory	tpc-owner	retained script/helper policy can drift after cleanup	Predecessor row links RIURD retained helper and manual deploy proof	RIURD predecessor gate	RIURD-8
RIURD-INV-087	packages/agent/docs/hierarchical-rearchitecture-file-inventory.tsv	predecessor_inventory	hra-owner	tracked source ownership can omit new RIURD artifacts	Predecessor row links RIURD docs/test artifact ownership	RIURD predecessor gate	RIURD-8
RIURD-INV-088	packages/agent/docs/hierarchical-rearchitecture-current-ownership-map.tsv	predecessor_inventory	hra-owner	current ownership map can omit RIURD artifact owners	Predecessor row links RIURD docs/test ownership	RIURD predecessor gate	RIURD-8
RIURD-INV-089	packages/agent/docs/primitive-code-cleanup-file-inventory.tsv	predecessor_inventory	pcc-owner	cleanup file inventory can omit RIURD retained artifacts	Predecessor row links RIURD docs/test retention	RIURD predecessor gate	RIURD-8
