id	path	surface_kind	owner	classification	proof	evidence_policy	scorecard_rows
DESI-INV-032	packages/agent/tests/performance_resource_governance_invariants.rs	invariant_test	perf-test-owner	active_current	README and closeout target list include PERF	PERF invariant remains retained closeout proof	DESI-1,DESI-7
DESI-INV-033	packages/agent/tests/post_aha_adversarial_closeout_invariants.rs	invariant_test	pac-test-owner	active_current	README and closeout target list include PAC	PAC invariant remains retained closeout proof	DESI-1,DESI-7
DESI-INV-034	packages/agent/tests/post_hra_adversarial_hardening_invariants.rs	invariant_test	aha-test-owner	active_current	README and closeout target list include AHA	AHA invariant remains retained closeout proof	DESI-1,DESI-7
DESI-INV-035	packages/agent/tests/primitive_code_cleanup_invariants.rs	invariant_test	pcc-test-owner	active_current	README and closeout target list include PCC	PCC invariant remains retained closeout proof	DESI-1,DESI-7
DESI-INV-036	packages/agent/tests/primitive_engine_teardown_plan_invariants.rs	invariant_test	pet-test-owner	active_current	README and closeout target list include PET	PET invariant remains retained closeout proof	DESI-1,DESI-7
DESI-INV-037	packages/agent/tests/provider_model_boundary_discipline_invariants.rs	invariant_test	pmbd-test-owner	active_current	README and closeout target list include PMBD	PMBD invariant remains retained closeout proof	DESI-1,DESI-7
DESI-INV-038	packages/agent/tests/public_protocol_api_contract_discipline_invariants.rs	invariant_test	ppacd-test-owner	active_current	README and closeout target list include PPACD	PPACD invariant remains retained closeout proof	DESI-1,DESI-7
DESI-INV-039	packages/agent/tests/release_install_upgrade_rollback_discipline_invariants.rs	invariant_test	riurd-test-owner	active_current	README and closeout target list include RIURD	RIURD invariant remains retained closeout proof	DESI-1,DESI-7
DESI-INV-040	packages/agent/tests/security_authority_capability_boundaries_invariants.rs	invariant_test	sacb-test-owner	active_current	README and closeout target list include SACB	SACB invariant remains retained closeout proof	DESI-1,DESI-7
DESI-INV-041	packages/agent/tests/state_ownership_lifecycle_invariants.rs	invariant_test	sol-test-owner	active_current	README and closeout target list include SOL	SOL invariant remains retained closeout proof	DESI-1,DESI-7
DESI-INV-042	packages/agent/tests/true_modularity_boundary_invariants.rs	invariant_test	tmb-test-owner	active_current	README and closeout target list include TMB	TMB invariant remains retained closeout proof	DESI-1,DESI-7
DESI-INV-043	packages/agent/tests/true_primitive_cleanup_invariants.rs	invariant_test	tpc-test-owner	active_current	README and closeout target list include TPC	TPC invariant remains retained closeout proof	DESI-1,DESI-7
DESI-INV-044	packages/agent/docs/concurrency-scheduling-discipline-scorecard.md	scorecard	csd-docs-owner	active_current	DESI scorecard parser validates CSD rows	Closed scorecard must stay 100/100 with companion evidence	DESI-3,DESI-4
DESI-INV-045	packages/agent/docs/configuration-profile-environment-discipline-scorecard.md	scorecard	cpe-docs-owner	active_current	DESI scorecard parser validates CPE rows	Closed scorecard must stay 100/100 with companion evidence	DESI-3,DESI-4
DESI-INV-046	packages/agent/docs/data-integrity-storage-evolution-migration-discipline-scorecard.md	scorecard	dsemd-docs-owner	active_current	DESI scorecard parser validates DSEMD rows	Closed scorecard must stay 100/100 with companion evidence	DESI-3,DESI-4
DESI-INV-047	packages/agent/docs/determinism-replayability-scorecard.md	scorecard	drc-docs-owner	active_current	DESI scorecard parser validates DRC rows	Closed scorecard must stay 100/100 with companion evidence	DESI-3,DESI-4
DESI-INV-048	packages/agent/docs/developer-experience-repo-hygiene-automation-scorecard.md	scorecard	dxrha-docs-owner	active_current	DESI scorecard parser validates DXRHA rows	Closed scorecard must stay 100/100 with companion evidence	DESI-3,DESI-4
DESI-INV-049	packages/agent/docs/failure-semantics-scorecard.md	scorecard	fsc-docs-owner	active_current	DESI scorecard parser validates FSC rows	Closed scorecard must stay 100/100 with companion evidence	DESI-3,DESI-4
DESI-INV-050	packages/agent/docs/hierarchical-rearchitecture-scorecard.md	scorecard	hra-docs-owner	active_current	DESI scorecard parser validates HRA rows	Closed scorecard must stay 100/100 with companion evidence	DESI-3,DESI-4
DESI-INV-051	packages/agent/docs/ios-thin-client-generic-runtime-shell-scorecard.md	scorecard	iostc-docs-owner	active_current	DESI scorecard parser validates IOSTC rows	Closed scorecard must stay 100/100 with companion evidence	DESI-3,DESI-4
DESI-INV-052	packages/agent/docs/observability-diagnostics-auditability-scorecard.md	scorecard	oda-docs-owner	active_current	DESI scorecard parser validates ODA rows	Closed scorecard must stay 100/100 with companion evidence	DESI-3,DESI-4
DESI-INV-053	packages/agent/docs/off-plan-saa-authorship-teardown-cleanup-scorecard.md	scorecard	opsaa-docs-owner	active_current	DESI scorecard parser validates off-plan authorship teardown rows	Closed scorecard must stay 100/100 with companion evidence	DESI-3,DESI-4
DESI-INV-054	packages/agent/docs/performance-resource-governance-scorecard.md	scorecard	perf-docs-owner	active_current	DESI scorecard parser validates PERF rows	Closed scorecard must stay 100/100 with companion evidence	DESI-3,DESI-4
DESI-INV-055	packages/agent/docs/post-aha-adversarial-closeout-scorecard.md	scorecard	pac-docs-owner	active_current	DESI scorecard parser validates PAC rows	Closed scorecard must stay 100/100 with companion evidence	DESI-3,DESI-4
DESI-INV-056	packages/agent/docs/post-hra-adversarial-hardening-scorecard.md	scorecard	aha-docs-owner	active_current	DESI scorecard parser validates AHA rows	Closed scorecard must stay 100/100 with companion evidence	DESI-3,DESI-4
DESI-INV-057	packages/agent/docs/primitive-code-cleanup-scorecard.md	scorecard	pcc-docs-owner	active_current	DESI scorecard parser validates PCC rows	Closed scorecard must stay 100/100 with companion evidence	DESI-3,DESI-4
DESI-INV-058	packages/agent/docs/primitive-engine-teardown-scorecard.md	scorecard	pet-docs-owner	active_current	DESI scorecard parser validates PET rows	Closed scorecard must stay 100/100 with companion evidence	DESI-3,DESI-4
DESI-INV-059	packages/agent/docs/provider-model-boundary-discipline-scorecard.md	scorecard	pmbd-docs-owner	active_current	DESI scorecard parser validates PMBD rows	Closed scorecard must stay 100/100 with companion evidence	DESI-3,DESI-4
DESI-INV-060	packages/agent/docs/public-protocol-api-contract-discipline-scorecard.md	scorecard	ppacd-docs-owner	active_current	DESI scorecard parser validates PPACD rows	Closed scorecard must stay 100/100 with companion evidence	DESI-3,DESI-4
DESI-INV-061	packages/agent/docs/release-install-upgrade-rollback-discipline-scorecard.md	scorecard	riurd-docs-owner	active_current	DESI scorecard parser validates RIURD rows	Closed scorecard must stay 100/100 with companion evidence	DESI-3,DESI-4
DESI-INV-062	packages/agent/docs/security-authority-capability-boundaries-scorecard.md	scorecard	sacb-docs-owner	active_current	DESI scorecard parser validates SACB rows	Closed scorecard must stay 100/100 with companion evidence	DESI-3,DESI-4
DESI-INV-063	packages/agent/docs/state-ownership-lifecycle-scorecard.md	scorecard	sol-docs-owner	active_current	DESI scorecard parser validates SOL rows	Closed scorecard must stay 100/100 with companion evidence	DESI-3,DESI-4
DESI-INV-064	packages/agent/docs/true-modularity-boundary-scorecard.md	scorecard	tmb-docs-owner	active_current	DESI scorecard parser validates TMB rows	Closed scorecard must stay 100/100 with companion evidence	DESI-3,DESI-4
DESI-INV-065	packages/agent/docs/true-primitive-cleanup-scorecard.md	scorecard	tpc-docs-owner	active_current	DESI scorecard parser validates TPC rows	Closed scorecard must stay 100/100 with companion evidence	DESI-3,DESI-4
DESI-INV-066	packages/agent/docs/concurrency-scheduling-discipline-evidence-manifest.md	evidence_manifest	csd-docs-owner	historical_evidence	DESI companion-evidence guard reads CSD evidence	Historical red/green evidence may preserve old command context	DESI-3,DESI-8
DESI-INV-067	packages/agent/docs/configuration-profile-environment-discipline-evidence-manifest.md	evidence_manifest	cpe-docs-owner	historical_evidence	DESI companion-evidence guard reads CPE evidence	Historical red/green evidence may preserve old command context	DESI-3,DESI-8
DESI-INV-068	packages/agent/docs/data-integrity-storage-evolution-migration-discipline-evidence-manifest.md	evidence_manifest	dsemd-docs-owner	historical_evidence	DESI companion-evidence guard reads DSEMD evidence	Historical red/green evidence may preserve old command context	DESI-3,DESI-8
DESI-INV-069	packages/agent/docs/determinism-replayability-evidence-manifest.md	evidence_manifest	drc-docs-owner	historical_evidence	DESI companion-evidence guard reads DRC evidence	Historical red/green evidence may preserve old command context	DESI-3,DESI-8
DESI-INV-070	packages/agent/docs/developer-experience-repo-hygiene-automation-evidence-manifest.md	evidence_manifest	dxrha-docs-owner	historical_evidence	DESI companion-evidence guard reads DXRHA evidence	Historical red/green evidence may preserve old command context	DESI-3,DESI-8
DESI-INV-071	packages/agent/docs/failure-semantics-evidence-manifest.md	evidence_manifest	fsc-docs-owner	historical_evidence	DESI companion-evidence guard reads FSC evidence	Historical red/green evidence may preserve old command context	DESI-3,DESI-8
DESI-INV-072	packages/agent/docs/hierarchical-rearchitecture-evidence-manifest.md	evidence_manifest	hra-docs-owner	historical_evidence	DESI companion-evidence guard reads HRA evidence	Historical red/green evidence may preserve old command context	DESI-3,DESI-8
DESI-INV-073	packages/agent/docs/ios-thin-client-generic-runtime-shell-evidence-manifest.md	evidence_manifest	iostc-docs-owner	historical_evidence	DESI companion-evidence guard reads IOSTC evidence	Historical red/green evidence may preserve old command context	DESI-3,DESI-8
DESI-INV-074	packages/agent/docs/observability-diagnostics-auditability-evidence-manifest.md	evidence_manifest	oda-docs-owner	historical_evidence	DESI companion-evidence guard reads ODA evidence	Historical red/green evidence may preserve old command context	DESI-3,DESI-8
DESI-INV-075	packages/agent/docs/off-plan-saa-authorship-teardown-cleanup-evidence-manifest.md	evidence_manifest	opsaa-docs-owner	historical_evidence	DESI companion-evidence guard reads off-plan authorship teardown evidence	Historical red/green evidence may preserve old command context	DESI-3,DESI-8
DESI-INV-076	packages/agent/docs/performance-resource-governance-evidence-manifest.md	evidence_manifest	perf-docs-owner	historical_evidence	DESI companion-evidence guard reads PERF evidence	Historical red/green evidence may preserve old command context	DESI-3,DESI-8
DESI-INV-077	packages/agent/docs/post-aha-adversarial-closeout-evidence-manifest.md	evidence_manifest	pac-docs-owner	historical_evidence	DESI companion-evidence guard reads PAC evidence	Historical red/green evidence may preserve old command context	DESI-3,DESI-8
DESI-INV-078	packages/agent/docs/post-hra-adversarial-hardening-evidence-manifest.md	evidence_manifest	aha-docs-owner	historical_evidence	DESI companion-evidence guard reads AHA evidence	Historical red/green evidence may preserve old command context	DESI-3,DESI-8
DESI-INV-079	packages/agent/docs/primitive-code-cleanup-evidence-manifest.md	evidence_manifest	pcc-docs-owner	historical_evidence	DESI companion-evidence guard reads PCC evidence	Historical red/green evidence may preserve old command context	DESI-3,DESI-8
DESI-INV-080	packages/agent/docs/primitive-engine-teardown-evidence-manifest.md	evidence_manifest	pet-docs-owner	historical_evidence	DESI companion-evidence guard reads PET evidence	Historical red/green evidence may preserve old command context	DESI-3,DESI-8
DESI-INV-081	packages/agent/docs/provider-model-boundary-discipline-evidence-manifest.md	evidence_manifest	pmbd-docs-owner	historical_evidence	DESI companion-evidence guard reads PMBD evidence	Historical red/green evidence may preserve old command context	DESI-3,DESI-8
DESI-INV-082	packages/agent/docs/public-protocol-api-contract-discipline-evidence-manifest.md	evidence_manifest	ppacd-docs-owner	historical_evidence	DESI companion-evidence guard reads PPACD evidence	Historical red/green evidence may preserve old command context	DESI-3,DESI-8
DESI-INV-083	packages/agent/docs/release-install-upgrade-rollback-discipline-evidence-manifest.md	evidence_manifest	riurd-docs-owner	historical_evidence	DESI companion-evidence guard reads RIURD evidence	Historical red/green evidence may preserve old command context	DESI-3,DESI-8
DESI-INV-084	packages/agent/docs/security-authority-capability-boundaries-evidence-manifest.md	evidence_manifest	sacb-docs-owner	historical_evidence	DESI companion-evidence guard reads SACB evidence	Historical red/green evidence may preserve old command context	DESI-3,DESI-8
DESI-INV-085	packages/agent/docs/state-ownership-lifecycle-evidence-manifest.md	evidence_manifest	sol-docs-owner	historical_evidence	DESI companion-evidence guard reads SOL evidence	Historical red/green evidence may preserve old command context	DESI-3,DESI-8
DESI-INV-086	packages/agent/docs/true-modularity-boundary-evidence-manifest.md	evidence_manifest	tmb-docs-owner	historical_evidence	DESI companion-evidence guard reads TMB evidence	Historical red/green evidence may preserve old command context	DESI-3,DESI-8
DESI-INV-087	packages/agent/docs/true-primitive-cleanup-evidence-manifest.md	evidence_manifest	tpc-docs-owner	historical_evidence	DESI companion-evidence guard reads TPC evidence	Historical red/green evidence may preserve old command context	DESI-3,DESI-8
DESI-INV-088	packages/agent/docs/concurrency-scheduling-discipline-inventory.md	inventory	csd-docs-owner	active_current	DESI inventory guard tracks CSD inventory	Inventory must classify retained scheduling boundaries	DESI-1,DESI-5
DESI-INV-089	packages/agent/docs/concurrency-scheduling-discipline-inventory.tsv	inventory	csd-docs-owner	predecessor_index	DESI predecessor guard checks CSD TSV	Predecessor index must classify DESI artifacts	DESI-5
DESI-INV-090	packages/agent/docs/configuration-profile-environment-discipline-inventory.md	inventory	cpe-docs-owner	active_current	DESI inventory guard tracks CPE inventory	Inventory must classify retained configuration boundaries	DESI-1,DESI-5
DESI-INV-091	packages/agent/docs/configuration-profile-environment-discipline-inventory.tsv	inventory	cpe-docs-owner	predecessor_index	DESI predecessor guard checks CPE TSV	Predecessor index must classify DESI artifacts	DESI-5
DESI-INV-092	packages/agent/docs/data-integrity-storage-evolution-migration-discipline-inventory.md	inventory	dsemd-docs-owner	active_current	DESI inventory guard tracks DSEMD inventory	Inventory must classify retained storage boundaries	DESI-1,DESI-5
DESI-INV-093	packages/agent/docs/data-integrity-storage-evolution-migration-discipline-inventory.tsv	inventory	dsemd-docs-owner	predecessor_index	DESI predecessor guard checks DSEMD TSV	Predecessor index must classify DESI artifacts	DESI-5
DESI-INV-094	packages/agent/docs/determinism-replayability-inventory.md	inventory	drc-docs-owner	active_current	DESI inventory guard tracks DRC inventory	Inventory must classify retained replay boundaries	DESI-1,DESI-5
DESI-INV-095	packages/agent/docs/determinism-replayability-inventory.tsv	inventory	drc-docs-owner	active_current	DESI inventory guard tracks DRC TSV	Inventory remains active current proof for replay-critical sources	DESI-1,DESI-5
DESI-INV-096	packages/agent/docs/developer-experience-repo-hygiene-automation-inventory.md	inventory	dxrha-docs-owner	active_current	DESI inventory guard tracks DXRHA inventory	Inventory must classify retained workflow boundaries	DESI-1,DESI-5
DESI-INV-097	packages/agent/docs/developer-experience-repo-hygiene-automation-inventory.tsv	inventory	dxrha-docs-owner	predecessor_index	DESI predecessor guard checks DXRHA TSV	Predecessor index must classify DESI artifacts	DESI-5
DESI-INV-098	packages/agent/docs/failure-semantics-inventory.md	inventory	fsc-docs-owner	active_current	DESI inventory guard tracks FSC inventory	Inventory must classify retained failure boundaries	DESI-1,DESI-5
DESI-INV-099	packages/agent/docs/failure-semantics-inventory.tsv	inventory	fsc-docs-owner	active_current	DESI inventory guard tracks FSC TSV	Inventory remains active current proof for failure surfaces	DESI-1,DESI-5
DESI-INV-100	packages/agent/docs/hierarchical-rearchitecture-file-inventory.tsv	predecessor_inventory	hra-docs-owner	predecessor_index	DESI predecessor guard checks HRA file inventory	Predecessor index must classify DESI artifacts	DESI-5
DESI-INV-101	packages/agent/docs/hierarchical-rearchitecture-current-ownership-map.tsv	predecessor_inventory	hra-docs-owner	predecessor_index	DESI predecessor guard checks HRA ownership map	Predecessor index must classify DESI artifacts	DESI-5
DESI-INV-102	packages/agent/docs/hierarchical-rearchitecture-ios-current-ownership-map.tsv	inventory	hra-docs-owner	active_current	DESI inventory guard tracks HRA iOS ownership map	Current ownership map remains retained architecture evidence	DESI-1,DESI-5
DESI-INV-103	packages/agent/docs/hierarchical-rearchitecture-ios-project-map.md	inventory	hra-docs-owner	active_current	DESI inventory guard tracks HRA iOS project map	Current project map remains retained architecture evidence	DESI-1,DESI-5
DESI-INV-104	packages/agent/docs/hierarchical-rearchitecture-plan-summary.md	inventory	hra-docs-owner	historical_evidence	DESI inventory guard tracks HRA plan summary	Plan summary is historical provenance not current architecture authority	DESI-1,DESI-8
DESI-INV-105	packages/agent/docs/ios-thin-client-generic-runtime-shell-inventory.md	inventory	iostc-docs-owner	active_current	DESI inventory guard tracks IOSTC inventory	Inventory must classify retained iOS shell boundaries	DESI-1,DESI-5
DESI-INV-106	packages/agent/docs/ios-thin-client-generic-runtime-shell-inventory.tsv	inventory	iostc-docs-owner	predecessor_index	DESI predecessor guard checks IOSTC TSV	Predecessor index must classify DESI artifacts	DESI-5
DESI-INV-107	packages/agent/docs/observability-diagnostics-auditability-inventory.md	inventory	oda-docs-owner	active_current	DESI inventory guard tracks ODA inventory	Inventory must classify retained observability boundaries	DESI-1,DESI-5
DESI-INV-108	packages/agent/docs/observability-diagnostics-auditability-inventory.tsv	inventory	oda-docs-owner	predecessor_index	DESI predecessor guard checks ODA TSV	Predecessor index must classify DESI artifacts	DESI-5
DESI-INV-109	packages/agent/docs/off-plan-saa-authorship-teardown-cleanup-inventory.md	inventory	opsaa-docs-owner	active_current	DESI inventory guard tracks off-plan authorship teardown inventory	Inventory must classify retained cleanup boundaries	DESI-1,DESI-5
DESI-INV-110	packages/agent/docs/off-plan-saa-authorship-teardown-cleanup-inventory.tsv	inventory	opsaa-docs-owner	predecessor_index	DESI predecessor guard checks off-plan authorship teardown TSV	Predecessor index must classify DESI artifacts	DESI-5
DESI-INV-111	packages/agent/docs/performance-resource-governance-inventory.md	inventory	perf-docs-owner	active_current	DESI inventory guard tracks PERF inventory	Inventory must classify retained resource boundaries	DESI-1,DESI-5
DESI-INV-112	packages/agent/docs/performance-resource-governance-inventory.tsv	inventory	perf-docs-owner	predecessor_index	DESI predecessor guard checks PERF TSV	Predecessor index must classify DESI artifacts	DESI-5
DESI-INV-113	packages/agent/docs/primitive-code-cleanup-file-inventory.tsv	predecessor_inventory	pcc-docs-owner	predecessor_index	DESI predecessor guard checks PCC file inventory	Predecessor index must classify DESI artifacts	DESI-5
DESI-INV-114	packages/agent/docs/primitive-code-cleanup-inventory.md	inventory	pcc-docs-owner	active_current	DESI inventory guard tracks PCC inventory	Inventory must classify retained cleanup boundaries	DESI-1,DESI-5
DESI-INV-115	packages/agent/docs/primitive-engine-teardown-inventory.md	inventory	pet-docs-owner	active_current	DESI inventory guard tracks PET inventory	Inventory must classify retained primitive teardown boundaries	DESI-1,DESI-5
DESI-INV-116	packages/agent/docs/provider-model-boundary-discipline-inventory.md	inventory	pmbd-docs-owner	active_current	DESI inventory guard tracks PMBD inventory	Inventory must classify retained provider boundaries	DESI-1,DESI-5
DESI-INV-117	packages/agent/docs/provider-model-boundary-discipline-inventory.tsv	inventory	pmbd-docs-owner	active_current	DESI inventory guard tracks PMBD TSV	Inventory remains active proof for provider boundaries	DESI-1,DESI-5
DESI-INV-118	packages/agent/docs/public-protocol-api-contract-discipline-inventory.md	inventory	ppacd-docs-owner	active_current	DESI inventory guard tracks PPACD inventory	Inventory must classify retained protocol boundaries	DESI-1,DESI-5
DESI-INV-119	packages/agent/docs/public-protocol-api-contract-discipline-inventory.tsv	inventory	ppacd-docs-owner	predecessor_index	DESI predecessor guard checks PPACD TSV	Predecessor index must classify DESI artifacts	DESI-5
DESI-INV-120	packages/agent/docs/release-install-upgrade-rollback-discipline-inventory.md	inventory	riurd-docs-owner	active_current	DESI inventory guard tracks RIURD inventory	Inventory must classify retained release boundaries	DESI-1,DESI-5
DESI-INV-121	packages/agent/docs/release-install-upgrade-rollback-discipline-inventory.tsv	inventory	riurd-docs-owner	predecessor_index	DESI predecessor guard checks RIURD TSV	Predecessor index must classify DESI artifacts	DESI-5
DESI-INV-122	packages/agent/docs/security-authority-capability-boundaries-inventory.md	inventory	sacb-docs-owner	active_current	DESI inventory guard tracks SACB inventory	Inventory must classify retained security boundaries	DESI-1,DESI-5
DESI-INV-123	packages/agent/docs/security-authority-capability-boundaries-inventory.tsv	inventory	sacb-docs-owner	predecessor_index	DESI predecessor guard checks SACB TSV	Predecessor index must classify DESI artifacts	DESI-5
DESI-INV-124	packages/agent/docs/state-ownership-lifecycle-inventory.md	inventory	sol-docs-owner	active_current	DESI inventory guard tracks SOL inventory	Inventory must classify retained state boundaries	DESI-1,DESI-5
DESI-INV-125	packages/agent/docs/state-ownership-lifecycle-inventory.tsv	inventory	sol-docs-owner	predecessor_index	DESI predecessor guard checks SOL TSV	Predecessor index must classify DESI artifacts	DESI-5
DESI-INV-126	packages/agent/docs/true-modularity-boundary-inventory.md	inventory	tmb-docs-owner	active_current	DESI inventory guard tracks TMB inventory	Inventory must classify retained modularity boundaries	DESI-1,DESI-5
DESI-INV-127	packages/agent/docs/true-modularity-boundary-inventory.tsv	inventory	tmb-docs-owner	active_current	DESI inventory guard tracks TMB TSV	Inventory remains active proof for modularity boundaries	DESI-1,DESI-5
DESI-INV-128	packages/agent/docs/true-primitive-cleanup-retention-inventory.md	inventory	tpc-docs-owner	active_current	DESI inventory guard tracks TPC inventory	Inventory must classify retained primitive cleanup boundaries	DESI-1,DESI-5
DESI-INV-129	packages/agent/docs/true-primitive-cleanup-retention-inventory.tsv	inventory	tpc-docs-owner	predecessor_index	DESI predecessor guard checks TPC TSV	Predecessor index must classify DESI artifacts	DESI-5
DESI-INV-130	packages/agent/docs/post-hra-adversarial-hardening-plan-summary.md	inventory	aha-docs-owner	historical_evidence	DESI inventory guard tracks AHA plan summary	Plan summary is historical provenance not current architecture authority	DESI-1,DESI-8
DESI-INV-131	packages/agent/docs/self-sufficient-agent-runtime-readiness-scorecard.md	scorecard	ssarr-docs-owner	active_current	DESI scorecard parser validates SSARR rows	Closed scorecard must stay 100/100 with companion evidence	DESI-3,DESI-4
DESI-INV-132	packages/agent/docs/self-sufficient-agent-runtime-readiness-evidence-manifest.md	evidence_manifest	ssarr-docs-owner	active_current	DESI companion-evidence guard reads SSARR evidence	Current evidence must record concrete command results	DESI-3,DESI-8
