id	slice	product_outcome	classification	core_involvement	module_owner	user_surface	agent_self_adaptation	implementation_scope	discovery_questions	reject_scope	acceptance_gates	validation	status	predecessors
P3MSA-INV-011	Slice 24C Subagent Delegation Module Pack Activation	Subagent tasks can run as governed delegated work with bounded handoff and reviewable result merge	module_pack	runtime	subagent_module	Generic subagent work cards	active_runtime	Accepted Slice 24C activates subagent_launch status result cancel through capability::execute with explicit jobs_program_execution module-pack delegation, bounded handoff refs, exact subagent task and module runtime/job selectors, delegated runtime/program/job refs, and reviewable merge proposal evidence without silent parent mutation	Which worker runs child task; what context is shared; how are results merged; what approvals are required	Hidden autonomous spawning unbounded context direct parent mutation without evidence raw prompts raw results tool logs local paths secrets raw grant or authority ids public engine expansion fixed native panels package-manager network side effects repo-managed skills production deploy update behavior	Scoped launch; bounded context; status/result/cancel; merge proposal; no silent parent mutation; exact selectors; provider-safe projections	focused subagent module_program_execution provider guidance grant authorization PCC/TPC DESI PMBD PPACD checks; cargo fmt/check; personal-info and no-managed-skills guards	current_baseline	P3MSA-INV-006;Phase 2 Slice 10B
P3MSA-INV-012	Slice 24D Memory Retrieval And Retention Module Pack	Memory retrieval retention and prompt inclusion become swappable audited module behavior	module_pack	storage	memory_engine_module	Memory audit surface after generic cockpit	active_runtime	Accepted Slice 24D keeps a pending-review memory_engine_module manifest plus deterministic resource-backed memory_query retrieval results ranking confidence provenance bounded previews prompt-inclusion memory_decision proof retention edit delete policy evidence exact memory/resource selectors and networkPolicy none	Which future retrieval engine needs approved dependencies; when can bounded previews enter prompt context; which retention actions are policy-supported; whether generic cockpit is enough UI	Embeddings or vector stores without dependency approval hidden prompt injection invented summaries automatic retention without policy raw body/path/secret/provider leakage wildcard selectors public engine expansion package-manager or network side effects	Module manifest; deterministic retrieval provenance; prompt inclusion decision; retention/edit/delete audit; exact selectors; provider redaction; dependency approval if embeddings; no hidden memory	focused memory retrieval/prompt inclusion/retention tests; module registry tests; grant/authorization tests; provider guidance tests; SACB; DRC; CPE if settings touched; personal-info and no-managed-skills guards	current_baseline	P3MSA-INV-007;Phase 2 Slice 18A
P3MSA-INV-013	Slice 24E Procedural Skills Rules And Hooks Module Pack	Learned behavior becomes authorable testable reviewable and reversible module state	module_pack	authority	procedural_module	Procedural audit and activation facts	learned_behavior	Accepted Slice 24E keeps procedural definition activation request and activation decision records as metadata-only reviewed module-pack state with trigger declarations scoped authority validation activation deactivation rollback provenance exact procedural/resource selectors networkPolicy none and no hook firing prompt injection repo-managed skills or code execution	What can trigger automatically; what user review is needed; where are learned rules stored; how are conflicts resolved	Repo-managed bootstrap skills hidden hook firing prompt injection review bypass automatic activation generated/runtime execution package-manager or network side effects	Validation report; activation lifecycle; trigger authority; deactivation rollback; provenance; exact selectors; provider-safe projections; pending-review procedural_module manifest	focused procedural tests; module registry/provider guidance tests; SACB; TMB; PCC/TPC; DESI; SOL caveat verification; personal-info and no-managed-skills guards	current_baseline	P3MSA-INV-003;P3MSA-INV-005;Phase 2 Slice 11A
P3MSA-INV-014	Slice 24F Web Browser And Research Module Pack	Search crawling browser automation and logged-in research return only as authorized modules	module_pack	authority	web_research_module	Research source/citation cockpit surfaces	active_runtime	Accepted Slice 24F adds metadata-only web_research_request web_research_review and web_research_source resource custody plus provider-visible record list inspect operations and a pending-review web_research_module manifest with exact web_research/resource authority selectors and networkPolicy none	Which actual search provider browser driver dependency cookie custody and native research cockpit surfaces are approved in later slices	Broad browser automation in core login/cookie reuse without authority unbounded crawl raw dumps raw HTML browser logs package-manager execution network-enabled runtime defaults public engine APIs fixed native UI and packages/agent/skills	Metadata-only request review source records; bounded source citation robots dependency trace replay refs; exact kind:web_research_* and resource selectors; provider-safe projections; pending-review manifest; no network/browser behavior	focused web_research tests; module registry tests; grant/authorization tests; provider guidance/schema tests; SACB; TMB; PCC/TPC; PMBD; PPACD; DESI; SSARR; ODA; PERF; DRC/SOL caveat verification; personal-info and no-managed-skills guards	current_baseline	P3MSA-INV-007;Phase 2 Slice 8F
P3MSA-INV-015	Slice 24G Notifications And Device Delivery Module Pack	Server notification resources may activate live device delivery and native inbox after explicit product decision	module_pack	authority	notification_delivery_module	Native inbox only from server facts	active_runtime	Implementation-candidate Slice 24G adds a pending-review notification_delivery_module manifest for existing server-owned device_registration notification and notification_delivery resources with exact device and notification operation authority declarations, kind-selector-bounded generic resource authority declarations, networkPolicy none and validation gates for APNs credential custody environment labels entitlement proof physical-device validation delivery-failure evidence provider redaction and native inbox decisions	Should live APNs be enabled; what env; what native inbox shape; what delivery guarantees exist	Fake local inbox raw token exposure production push without explicit env public notification API native inbox without server facts live APNs transport entitlement mutation physical device operations package-manager execution network side effects and raw provider payload leakage	Pending-review module manifest; server-backed device notification delivery resources only; trusted system/admin device register unregister split; exact device/notification operation selectors; kind-selector-bounded generic resource selectors; provider-safe projections; no live APNs or native inbox activation	focused module_registry notification delivery manifest test; focused device/notification/APNs token redaction/credential-custody authority tests; SACB; TMB; PCC/TPC; DESI; SSARR; SOL caveat verification; personal-info and no-managed-skills guards	pending_review	P3MSA-INV-008;Phase 2 Slice 13
P3MSA-INV-016	Slice 24H Import Repository And Update Module Pack	Import repository tree and update metadata can become real workflows only through module contracts	module_pack	authority	import_update_module	Generic import/update activity first	active_runtime	Import execution proposal repository tree action update diagnostic action contracts approval rollback policy	Which workflow is valuable; what raw payloads are needed; what rollback exists; is native UI justified	Production deploy update commands raw tree dumps installer restart commands fixed panels	Approval; rollback; bounded payload custody; no deploy; generic UI first	focused import/repository/update tests; DISD; SACB; README if touched	planned	P3MSA-INV-006;Phase 2 Slice 14E
P3MSA-INV-017	Fixed Old iOS Product Panels	User-visible app surfaces are workflow-specific and contract-backed not old panels	reject_candidate	observability	none	Generic cockpit first	inspect_only	Record rejection of fixed old process source subagent approval notification skill memory work panels	Has a stable module contract proven generic insufficiency; does native UI own server truth; are tests/device proof ready	Direct resurrection of old fixed panels	Source guards and product decision required before any fixed native surface	iOS source guards; IOSTC/IOSAC/IARM as touched	rejected_shape	Phase 2 P2AER-INV-032
P3MSA-INV-018	Broad Product DTO Resurrection	Event protocol and iOS DTO breadth expand only for accepted module resources and stable workflows	reject_candidate	storage	none	Thin client DTOs only when needed	inspect_only	Record rejection of old broad DTO return unless selected by module surface	Which event/resource is stable; does generic rendering suffice; is compatibility covered	Old product DTO tables fixed panels public protocol sprawl	DTO additions tied to accepted module resource; old payload compatibility; protocol tests	PPACD; event catalog tests; iOS protocol tests if touched	rejected_shape	Phase 2 Slice 19A
P3MSA-INV-019	Speculative Dependency Restoration	Removed dependencies return only through approved module dependency requests	reject_candidate	authority	none	Dependency review facts	installable	Record rejection of dependency restoration without module owner and review	Which module owns it; why needed; what risk; what tests; what removal path	Portable PTY interpreters embeddings browser automation APNs signing rendering packages without owner	Dependency guard denies reappearance without approved module rationale	PCC/TPC dependency guard; cargo check; DESI	rejected_shape	Phase 2 Slice 22A
P3MSA-INV-020	Repo-Managed Skills And Bootstrap Behavior	Procedural behavior is agent-authored module state not core repo-managed skills	reject_candidate	none	procedural_module	Procedural audit only	learned_behavior	Record rejection of packages/agent/skills and bootstrap skill-copy wiring	Where does learned behavior live; how is it validated; how is it disabled	Repo-managed first-party skills hidden prompt context bootstrap copy wiring	No packages/agent/skills; procedural module validation before activation	test ! -e packages/agent/skills; SSARR; procedural tests	rejected_shape	Phase 2 Slice 11A
